"","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11"
"68","deferred","1","deferred","0","deferred","1","1","deferred","1","1","0"
"69","0","deferred","deferred","deferred","deferred","1","deferred","deferred","NA","deferred","0"
"70","deferred","1","1","0","0","1","1","deferred","deferred","deferred","deferred"
"71","deferred","1","deferred","0","deferred","1","0","deferred","1","1","0"
"72","deferred","0","deferred","0","deferred","deferred","0","deferred","1","0","0"
"73","deferred","0","deferred","0","0","deferred","deferred","deferred","NA","0","0"
"74","deferred","deferred","1","0","0","1","deferred","deferred","1","1","0"
"75","0","1","1","deferred","0","1","1","deferred","NA","0","0"
"76","deferred","0","deferred","0","deferred","1","deferred","deferred","deferred","deferred","0"
"77","deferred","1","deferred","0","deferred","1","deferred","deferred","1","deferred","deferred"
"78","0","deferred","deferred","0","0","1","0","deferred","1","deferred","deferred"
"79","0","1","0","0","deferred","1","0","deferred","NA","deferred","0"
"80","1","1","1","0","0","1","1","1","NA","deferred","0"
"81","1","deferred","1","deferred","0","1","1","1","deferred","deferred","0"
"82","deferred","1","1","deferred","deferred","1","deferred","1","deferred","deferred","0"
"83","1","1","1","deferred","deferred","1","deferred","deferred","NA","0","0"
"84","deferred","0","deferred","0","0","1","1","deferred","deferred","deferred","0"
"85","deferred","0","deferred","deferred","0","1","1","1","NA","0","0"
"86","deferred","0","0","0","0","1","deferred","deferred","NA","deferred","0"
"87","deferred","deferred","1","deferred","deferred","1","1","deferred","deferred","deferred","deferred"
"88","deferred","1","1","deferred","deferred","1","1","1","1","1","0"
"89","0","0","deferred","0","deferred","1","0","deferred","NA","0","0"
"90","deferred","1","deferred","0","0","1","0","deferred","deferred","0","0"
"91","deferred","deferred","0","0","deferred","1","1","deferred","1","0","0"
"92","0","0","1","0","0","1","0","deferred","deferred","deferred","0"
"93","deferred","0","deferred","0","0","1","0","0","deferred","0","0"
"94","0","0","deferred","deferred","0","1","0","0","NA","0","0"
"95","deferred","0","deferred","0","0","1","0","deferred","deferred","deferred","deferred"
"96","deferred","0","deferred","0","0","1","0","deferred","deferred","deferred","0"
"97","0","0","deferred","0","0","0","0","deferred","NA","0","0"
"98","deferred","deferred","deferred","0","deferred","1","deferred","deferred","1","deferred","0"
"99","0","deferred","deferred","deferred","0","1","0","deferred","NA","deferred","0"
