"","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27"
"110","1","1","1","0","1","1","0","NA","NA","0","0","1","1","1","0","0","1","1","0","1","deferred","0","0","deferred","NA","NA","NA","deferred","1","0","deferred","NA","NA","NA","1","1","1","0"
"111","0","0","0","0","0","deferred","0","0","NA","deferred","0","1","1","1","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","0","1","0","deferred","NA","NA","NA","1","0","1","0"
"112","1","deferred","1","0","0","1","0","deferred","1","0","0","1","1","1","1","0","1","1","0","1","deferred","1","0","1","NA","NA","NA","1","deferred","0","1","1","NA","NA","1","1","1","0"
"113","1","0","1","0","0","1","0","NA","NA","NA","0","1","1","1","1","0","1","1","0","deferred","0","0","0","NA","NA","NA","NA","0","1","0","0","NA","NA","NA","1","0","1","0"
"114","1","0","1","0","0","1","1","deferred","NA","0","deferred","1","1","1","1","0","1","1","deferred","1","0","0","1","NA","NA","NA","NA","deferred","1","deferred","deferred","NA","NA","NA","1","1","1","0"
"115","deferred","1","1","0","0","1","1","deferred","1","1","0","1","1","1","1","0","1","1","deferred","1","1","1","1","1","NA","NA","NA","1","1","0","1","deferred","NA","NA","1","1","1","1"
"116","1","1","1","0","0","1","1","deferred","deferred","0","0","1","1","1","1","0","1","1","0","1","1","1","0","1","NA","NA","NA","1","1","deferred","deferred","NA","NA","NA","1","1","1","0"
"117","1","1","1","0","1","1","0","deferred","NA","NA","0","1","1","1","1","0","1","1","deferred","1","deferred","1","1","1","NA","NA","NA","1","1","deferred","1","NA","NA","NA","1","1","1","0"
"118","1","1","1","0","deferred","1","1","deferred","1","0","0","1","1","1","1","0","1","1","1","1","1","1","deferred","1","NA","NA","NA","1","1","1","1","1","NA","NA","1","1","1","0"
"119","1","1","1","0","1","1","0","NA","NA","0","0","1","1","1","1","0","1","1","1","1","0","0","0","NA","NA","NA","NA","1","1","deferred","deferred","NA","NA","NA","1","1","1","0"
"120","1","1","1","0","0","1","deferred","deferred","1","deferred","0","1","1","1","1","0","1","1","0","1","1","1","0","1","NA","NA","NA","1","1","0","1","NA","NA","NA","1","1","1","deferred"
"121","1","1","1","0","1","1","0","NA","1","1","0","1","1","1","1","0","1","1","0","1","1","1","0","1","deferred","NA","NA","1","1","deferred","1","1","NA","NA","1","1","1","0"
"122","1","1","1","1","1","1","1","1","deferred","deferred","1","1","1","1","1","deferred","1","1","deferred","1","1","deferred","1","1","NA","NA","NA","1","1","deferred","1","NA","NA","NA","1","1","1","1"
"123","1","1","1","0","0","1","0","NA","1","deferred","0","1","1","1","1","0","1","1","0","1","1","1","0","1","deferred","NA","NA","deferred","1","0","1","deferred","NA","NA","1","1","1","0"
"124","1","1","1","0","deferred","1","0","deferred","1","0","0","1","1","1","1","0","1","1","0","1","1","1","0","1","deferred","NA","NA","0","1","0","1","1","NA","NA","1","1","1","0"
"125","1","0","1","0","0","1","1","deferred","NA","NA","0","1","deferred","1","1","0","deferred","1","0","deferred","0","deferred","0","deferred","NA","NA","NA","deferred","1","0","0","NA","NA","NA","1","1","1","0"
"126","1","0","1","0","0","1","0","NA","1","1","0","1","1","1","1","0","1","1","deferred","1","deferred","1","deferred","1","NA","NA","NA","1","1","0","1","deferred","NA","NA","1","1","1","0"
"127","1","0","1","0","0","1","0","NA","NA","0","0","1","deferred","1","deferred","0","1","1","0","deferred","0","0","0","NA","NA","NA","NA","0","0","0","0","NA","NA","NA","1","0","1","0"
"128","deferred","0","0","0","0","1","0","NA","NA","0","0","1","1","1","1","0","1","0","0","deferred","0","0","0","NA","NA","NA","NA","0","1","0","0","NA","NA","NA","1","0","1","0"
"129","1","1","1","0","1","1","1","1","1","0","deferred","1","1","1","1","0","1","1","0","1","1","1","deferred","1","deferred","NA","NA","1","1","deferred","1","1","NA","NA","1","1","1","deferred"
"130","1","0","deferred","0","0","1","deferred","deferred","NA","0","0","1","1","1","1","0","1","1","0","1","1","1","deferred","NA","NA","NA","NA","1","1","deferred","deferred","NA","NA","NA","1","1","1","0"
"131","1","0","1","0","deferred","1","0","NA","NA","deferred","0","1","1","1","1","0","1","1","0","1","1","1","0","NA","NA","NA","NA","1","1","0","deferred","NA","NA","NA","1","1","1","0"
"132","1","0","1","0","0","1","0","NA","NA","0","0","1","deferred","1","1","0","1","1","0","0","0","0","0","deferred","NA","NA","NA","0","1","0","1","NA","NA","NA","1","0","1","0"
"133","1","0","1","0","0","0","0","NA","NA","deferred","0","1","1","1","0","0","0","1","0","0","0","0","0","NA","NA","NA","NA","0","0","0","0","NA","NA","NA","1","0","1","0"
"134","1","1","1","0","0","1","0","deferred","deferred","0","0","1","1","1","1","0","1","1","0","1","1","1","NA","NA","NA","NA","deferred","deferred","1","NA","deferred","NA","NA","NA","1","1","1","0"
"135","1","deferred","1","0","deferred","1","0","deferred","NA","deferred","0","1","deferred","1","1","0","1","1","0","1","deferred","deferred","0","NA","NA","NA","NA","deferred","deferred","0","deferred","NA","NA","NA","1","1","1","0"
"136","1","0","1","0","0","1","0","NA","NA","NA","0","deferred","0","1","0","0","0","1","0","0","0","0","deferred","NA","NA","NA","NA","0","1","deferred","deferred","NA","NA","NA","1","0","1","0"
"137","deferred","0","1","0","0","1","0","NA","1","0","0","1","0","1","1","0","1","1","0","1","deferred","0","0","1","NA","NA","NA","0","deferred","0","1","deferred","NA","NA","1","1","1","0"
"138","1","1","1","0","deferred","1","0","NA","1","0","0","1","1","1","1","0","1","1","0","1","1","1","0","1","NA","NA","NA","1","1","0","1","deferred","NA","NA","1","1","1","0"
"139","1","0","1","0","0","1","0","NA","NA","NA","0","1","1","1","1","0","1","1","0","deferred","0","deferred","0","NA","NA","NA","NA","0","0","0","deferred","NA","NA","NA","1","0","1","0"
"140","1","0","1","0","0","1","0","NA","NA","NA","0","1","1","1","1","0","1","1","0","1","0","deferred","0","NA","NA","NA","NA","deferred","deferred","0","0","NA","NA","NA","1","0","1","0"
"141","1","0","0","0","0","1","0","0","NA","deferred","0","1","1","1","1","0","1","1","0","deferred","0","1","0","deferred","NA","NA","NA","deferred","1","0","1","NA","NA","NA","1","1","1","0"
"142","1","1","1","deferred","deferred","1","1","1","1","1","deferred","1","1","1","1","0","1","1","deferred","1","1","1","1","1","deferred","deferred","NA","1","1","1","1","deferred","NA","NA","1","1","1","deferred"
"143","deferred","0","1","0","1","1","deferred","deferred","1","0","deferred","1","1","1","1","0","1","1","0","1","0","1","1","1","deferred","deferred","NA","1","1","deferred","1","NA","NA","NA","1","1","1","deferred"
"144","1","0","deferred","0","deferred","1","deferred","deferred","NA","0","1","1","1","1","1","0","1","1","1","1","1","1","0","NA","NA","NA","NA","1","1","0","1","NA","NA","NA","1","1","1","1"
"145","0","1","1","deferred","0","1","deferred","1","NA","NA","0","1","1","1","1","0","1","1","0","1","1","1","deferred","NA","NA","NA","NA","1","1","deferred","deferred","NA","NA","NA","1","1","1","0"
"146","1","1","1","0","0","1","1","deferred","deferred","0","0","1","1","1","1","0","1","1","0","1","1","1","1","1","NA","NA","NA","1","1","1","1","NA","NA","NA","1","1","1","deferred"
"147","1","deferred","1","0","0","1","1","deferred","1","0","0","1","1","1","1","0","1","1","0","1","deferred","1","deferred","1","NA","NA","NA","deferred","1","deferred","1","NA","NA","NA","1","1","1","0"
"148","1","1","1","0","deferred","1","1","deferred","1","0","deferred","1","1","1","1","0","1","1","0","1","1","1","0","1","NA","NA","NA","1","1","0","1","NA","NA","NA","1","1","1","0"
"149","deferred","0","1","0","0","1","0","deferred","NA","NA","0","1","1","1","1","0","1","1","0","1","0","0","0","NA","NA","NA","NA","1","1","0","0","NA","NA","NA","1","1","1","0"
"150","deferred","deferred","1","0","1","1","1","1","1","0","0","1","1","1","1","0","1","1","0","1","1","1","1","1","NA","NA","NA","1","1","1","1","NA","NA","NA","1","1","1","0"
"151","1","1","1","0","1","1","0","NA","1","0","0","1","1","1","deferred","0","1","1","0","1","1","1","0","1","NA","NA","NA","0","1","0","1","NA","NA","NA","1","1","1","0"
"152","1","1","1","0","0","1","0","NA","NA","deferred","0","1","1","1","1","0","1","1","0","1","1","1","0","deferred","NA","NA","NA","1","deferred","0","deferred","NA","NA","NA","1","1","1","0"
"153","1","1","1","0","1","1","1","0","deferred","deferred","1","1","1","1","1","1","1","1","0","1","1","1","1","deferred","deferred","NA","NA","1","1","1","1","NA","NA","NA","1","1","1","1"
"154","1","1","1","0","1","1","1","1","NA","0","0","1","1","1","1","0","1","1","1","1","1","1","deferred","1","NA","NA","NA","1","1","deferred","deferred","NA","NA","NA","1","1","1","1"
"155","1","1","1","0","1","1","1","deferred","1","0","deferred","1","1","1","1","1","1","1","deferred","1","1","1","1","1","NA","NA","NA","1","1","1","1","NA","NA","NA","1","1","1","1"
"156","1","deferred","1","0","0","1","0","NA","NA","0","deferred","1","1","1","1","0","1","1","0","1","1","deferred","0","NA","NA","NA","NA","1","1","0","deferred","NA","NA","NA","1","deferred","1","0"
"157","1","1","1","0","1","NA","NA","NA","NA","deferred","1","1","1","1","1","0","1","1","1","1","deferred","deferred","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","1","1","1","0"
"158","1","1","1","0","0","1","0","NA","NA","NA","0","1","1","1","1","1","1","1","1","1","1","0","0","NA","NA","NA","NA","1","0","0","0","NA","NA","NA","1","1","1","0"
"159","1","1","1","deferred","deferred","1","1","0","NA","deferred","deferred","1","1","1","1","0","1","1","1","1","1","1","deferred","NA","NA","NA","NA","1","1","deferred","1","NA","NA","NA","1","1","1","0"
"160","1","1","1","1","deferred","NA","NA","NA","NA","NA","1","1","1","1","1","0","1","1","1","1","1","1","1","deferred","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","1","1","1","1"
"161","1","1","1","0","0","1","0","deferred","deferred","1","0","1","1","1","1","0","1","1","1","1","1","1","0","1","NA","NA","NA","1","1","deferred","1","NA","NA","NA","1","1","1","0"
"162","1","1","1","0","deferred","1","1","1","NA","0","0","1","1","1","1","0","1","1","0","1","1","1","1","NA","NA","NA","NA","1","1","1","deferred","NA","NA","NA","1","1","1","0"
"163","1","0","1","0","0","0","0","NA","NA","NA","deferred","1","1","1","0","0","0","deferred","0","0","0","0","0","NA","NA","NA","NA","0","0","0","deferred","NA","NA","NA","1","0","1","1"
"164","1","deferred","1","0","deferred","1","0","NA","1","deferred","deferred","1","1","1","1","0","1","1","1","deferred","1","1","0","deferred","NA","NA","NA","0","1","0","1","NA","NA","NA","1","1","1","0"
"165","1","0","1","0","0","1","0","deferred","NA","0","0","1","1","1","1","0","1","1","0","1","deferred","1","0","NA","NA","deferred","NA","deferred","1","deferred","1","NA","deferred","NA","1","1","1","0"
"166","1","1","1","deferred","0","1","1","1","1","1","0","1","1","1","1","0","1","1","0","1","1","1","1","1","NA","NA","NA","1","1","1","1","NA","NA","NA","1","1","1","0"
"167","1","1","1","0","0","1","0","deferred","1","0","0","1","1","1","1","0","1","1","0","1","1","1","deferred","1","deferred","NA","NA","1","1","deferred","1","deferred","NA","NA","1","1","1","deferred"
"168","0","1","1","0","0","1","0","NA","NA","0","0","1","deferred","1","0","0","1","1","0","1","0","0","0","NA","NA","NA","NA","deferred","1","0","0","NA","NA","NA","1","1","1","0"
"169","1","1","1","deferred","0","1","1","0","1","1","0","1","1","1","1","1","1","1","1","1","0","0","0","deferred","NA","NA","NA","1","deferred","deferred","deferred","NA","NA","NA","1","1","1","0"
"170","1","0","1","0","0","1","0","NA","NA","0","0","1","1","1","1","0","1","1","0","1","0","1","0","NA","NA","NA","NA","0","1","deferred","1","NA","NA","NA","1","deferred","1","0"
"171","1","1","1","0","0","1","0","deferred","1","0","0","1","1","1","1","0","1","1","0","1","1","deferred","0","1","deferred","NA","NA","1","1","0","1","deferred","NA","NA","1","1","1","0"
"172","1","deferred","1","0","1","1","0","NA","1","0","deferred","1","1","1","1","0","1","1","0","1","0","1","0","1","NA","NA","NA","1","1","0","1","NA","NA","NA","1","1","1","0"
"61","1","0","1","deferred","0","1","0","NA","NA","0","0","1","1","1","1","0","1","1","1","1","0","0","0","deferred","NA","NA","NA","1","1","0","1","NA","NA","NA","1","1","1","1"
"62","1","0","1","0","0","1","0","NA","NA","NA","0","1","1","1","0","0","1","1","0","1","0","0","0","NA","NA","NA","NA","deferred","deferred","deferred","deferred","NA","NA","NA","1","1","1","0"
"63","1","0","1","0","deferred","1","0","NA","NA","deferred","0","1","1","1","1","0","1","1","0","deferred","0","1","0","NA","NA","NA","NA","0","1","0","0","NA","NA","NA","1","1","1","0"
"64","1","1","1","deferred","1","1","0","NA","1","0","0","1","1","1","1","1","1","1","0","1","1","1","0","1","NA","NA","NA","1","1","0","1","deferred","NA","NA","1","1","1","1"
"65","0","1","1","0","0","1","1","deferred","1","0","0","1","1","1","1","0","1","1","0","1","1","1","1","1","NA","NA","NA","1","1","1","1","NA","NA","NA","1","1","1","0"
"66","1","deferred","1","deferred","0","1","0","NA","NA","NA","0","1","1","1","1","0","1","1","0","1","0","1","0","deferred","NA","NA","NA","1","1","0","1","NA","NA","NA","1","1","1","0"
"67","1","0","1","0","0","1","0","deferred","NA","0","0","1","deferred","1","deferred","0","1","1","0","0","0","0","0","NA","NA","NA","NA","0","1","0","deferred","NA","NA","NA","1","deferred","1","0"
"68","1","1","1","0","deferred","1","1","1","1","1","deferred","1","1","1","1","0","1","1","1","1","1","1","1","1","NA","NA","NA","1","1","1","1","deferred","NA","NA","1","1","1","0"
"69","0","deferred","1","deferred","deferred","1","0","NA","NA","NA","0","1","deferred","1","deferred","0","1","deferred","0","deferred","deferred","deferred","0","NA","NA","NA","NA","deferred","1","deferred","deferred","NA","NA","NA","1","1","1","0"
"70","1","0","1","0","0","1","1","0","deferred","deferred","deferred","1","1","1","1","0","1","1","0","1","0","1","deferred","1","deferred","NA","NA","0","1","0","1","deferred","NA","NA","1","1","1","0"
"71","1","1","1","0","1","1","0","NA","1","1","0","1","1","1","1","0","1","1","1","1","1","1","0","1","deferred","deferred","NA","1","1","0","1","1","NA","NA","1","1","1","0"
"72","deferred","0","1","0","0","1","0","NA","1","0","0","1","deferred","1","0","0","1","1","0","1","0","deferred","0","deferred","NA","NA","NA","0","0","0","deferred","deferred","NA","NA","0","0","0","0"
"73","1","0","1","0","0","1","0","deferred","NA","deferred","0","1","1","1","1","0","1","1","0","1","0","0","0","NA","NA","NA","NA","0","0","0","deferred","NA","NA","NA","1","1","1","0"
"74","1","0","1","0","1","1","deferred","deferred","1","deferred","0","1","1","1","1","0","1","1","0","1","deferred","1","deferred","1","NA","NA","NA","1","1","deferred","1","NA","NA","NA","1","1","1","deferred"
"75","1","1","1","0","0","1","1","1","NA","0","0","1","1","1","1","0","1","1","0","1","1","0","1","NA","NA","NA","NA","1","1","1","deferred","NA","NA","NA","1","1","1","0"
"76","1","deferred","1","0","deferred","1","1","1","deferred","1","0","1","1","1","1","0","1","1","1","1","deferred","1","deferred","1","NA","NA","NA","1","1","deferred","1","NA","NA","NA","1","1","1","0"
"77","1","1","1","0","0","1","0","NA","deferred","deferred","0","1","1","1","1","0","1","1","0","1","1","0","0","deferred","NA","NA","NA","1","1","0","deferred","NA","NA","NA","1","1","1","0"
"78","0","1","1","0","1","1","0","0","1","deferred","0","1","1","1","1","0","1","1","0","1","1","1","0","1","deferred","deferred","NA","1","1","0","1","deferred","NA","NA","1","1","1","0"
"79","deferred","1","1","0","deferred","1","0","deferred","NA","0","0","1","deferred","1","deferred","0","1","1","0","1","1","deferred","NA","NA","NA","NA","NA","deferred","1","NA","1","NA","NA","NA","1","1","1","0"
"80","1","1","1","0","0","1","1","deferred","NA","0","0","1","1","1","1","0","1","1","deferred","1","1","0","deferred","NA","NA","deferred","NA","0","1","0","deferred","NA","NA","NA","1","1","1","0"
"81","1","1","1","0","0","1","1","1","deferred","deferred","deferred","1","1","1","1","1","1","1","deferred","1","1","deferred","1","1","NA","deferred","NA","1","1","1","1","NA","deferred","NA","1","1","1","deferred"
"82","1","deferred","1","0","deferred","1","1","1","deferred","deferred","0","1","1","1","1","deferred","1","1","1","1","deferred","1","1","1","NA","NA","NA","1","1","1","1","NA","NA","NA","1","1","1","0"
"83","1","1","1","0","1","1","1","deferred","deferred","deferred","0","1","1","1","1","1","1","1","1","1","1","1","1","1","deferred","deferred","deferred","1","1","1","1","deferred","NA","deferred","1","1","1","0"
"84","1","0","1","0","0","1","1","deferred","1","deferred","0","1","1","1","1","0","1","1","0","1","0","1","deferred","1","deferred","deferred","NA","1","1","deferred","1","NA","NA","NA","1","1","1","0"
"85","deferred","0","deferred","0","0","0","deferred","deferred","NA","NA","0","1","0","1","1","0","1","1","0","0","0","0","deferred","NA","NA","NA","NA","0","deferred","deferred","deferred","NA","NA","NA","deferred","0","1","0"
"86","1","0","1","0","0","1","0","NA","NA","NA","deferred","1","deferred","1","1","0","1","1","0","1","0","deferred","0","NA","NA","NA","NA","deferred","1","0","1","NA","NA","NA","1","0","1","0"
"87","1","deferred","1","NA","deferred","1","deferred","NA","NA","NA","deferred","1","deferred","1","1","deferred","1","1","1","1","1","1","1","1","NA","NA","NA","1","1","1","1","NA","NA","NA","1","1","1","deferred"
"88","1","1","1","0","1","1","1","deferred","1","1","0","1","1","1","1","0","1","1","1","1","1","0","0","1","deferred","deferred","NA","1","0","0","1","deferred","NA","NA","1","1","1","0"
"89","1","0","1","0","0","1","0","NA","NA","deferred","0","1","1","1","1","0","1","1","0","1","0","1","0","deferred","NA","NA","NA","0","deferred","0","deferred","NA","NA","NA","1","deferred","1","0"
"90","1","deferred","1","0","0","1","0","NA","NA","0","0","1","1","1","deferred","0","1","1","0","deferred","deferred","1","0","1","NA","NA","NA","deferred","1","0","1","deferred","NA","NA","1","1","1","0"
"91","1","deferred","1","0","1","1","deferred","0","1","0","0","1","1","1","1","0","1","1","0","1","deferred","1","deferred","1","NA","NA","NA","1","1","0","1","NA","NA","NA","1","1","1","0"
"92","1","0","1","0","0","1","0","NA","NA","deferred","0","1","1","1","1","0","deferred","1","0","deferred","0","deferred","0","deferred","NA","NA","NA","deferred","1","deferred","deferred","NA","NA","NA","1","deferred","1","0"
"93","1","deferred","1","0","0","1","0","deferred","deferred","0","0","1","1","1","1","0","1","1","0","1","1","1","0","1","NA","NA","NA","1","1","0","1","NA","NA","NA","1","deferred","1","0"
"94","0","0","1","0","0","1","0","deferred","NA","NA","0","1","1","1","deferred","0","1","1","0","1","deferred","0","0","NA","NA","NA","NA","1","1","0","deferred","NA","NA","NA","1","deferred","1","0"
"95","1","0","1","0","0","1","0","NA","deferred","deferred","deferred","1","1","1","1","0","1","1","0","0","0","1","0","1","NA","NA","NA","0","1","0","1","NA","NA","NA","1","1","1","0"
"96","1","0","1","0","0","1","0","NA","1","0","0","1","1","1","1","0","1","1","0","deferred","0","1","0","1","deferred","deferred","NA","1","1","0","1","deferred","NA","NA","1","1","1","0"
"97","1","1","1","0","0","deferred","0","NA","NA","NA","0","1","1","1","1","0","0","1","0","deferred","0","0","0","NA","NA","NA","NA","0","0","0","0","NA","NA","NA","1","deferred","1","0"
"98","1","1","1","0","deferred","1","0","NA","1","1","deferred","1","1","1","1","0","1","1","0","1","1","1","deferred","1","NA","NA","NA","1","1","0","1","NA","NA","NA","1","1","1","1"
"99","0","deferred","1","0","0","1","0","NA","NA","deferred","0","1","1","1","deferred","0","1","1","0","1","deferred","1","0","1","NA","NA","NA","0","1","0","1","NA","NA","NA","1","1","1","0"
