;Review title;A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27
118;Mauritz;0;1;0;0;0;1;1;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0
119;Mauritz2;0;1;0;0;0;1;1;1;NA;1;0;1;0;1;1;0;1;1;1;1;1;1;1;NA;NA;1;NA;1;1;1;NA;NA;1;NA;1;0;1;0
68;McGill (should be Baker!!);0;1;0;0;0;1;1;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0
120;Mei;0;1;1;0;0;1;1;0;0;1;0;1;0;1;1;0;1;1;0;1;1;1;0;1;1;1;NA;1;1;0;1;1;1;NA;1;0;1;1
121;Mullassery;1;1;1;0;1;1;0;0;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;NA;1;1;0;1;1;1;NA;1;1;1;0
122;Nagler;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
123;Narayanan;0;1;1;0;0;1;0;0;1;0;0;1;0;1;1;0;1;1;0;1;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;1;0
125;Nasr;0;1;1;0;0;1;1;1;1;0;0;1;0;1;1;0;1;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0
124;Nasr2;0;1;0;0;0;1;1;1;1;1;0;1;0;1;1;0;1;0;0;1;1;1;1;1;1;1;0;0;1;0;1;1;0;0;1;0;1;0
126;Nataraja;0;1;0;0;0;1;0;0;1;1;0;1;0;1;1;0;1;1;1;1;1;1;0;1;1;1;0;1;1;0;1;1;1;1;1;0;1;0
127;Nicolau;0;0;0;0;0;0;1;1;NA;0;0;1;0;1;1;0;1;0;0;1;0;1;0;NA;NA;0;NA;0;0;0;NA;NA;0;NA;1;0;1;0
129;Oomen;0;1;0;0;0;1;1;1;1;0;0;1;0;1;1;0;1;0;0;1;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;0;1;0
131;Parolini;0;1;0;0;0;1;1;1;NA;0;0;1;0;1;1;0;1;0;0;1;1;1;0;NA;NA;0;NA;1;1;0;NA;NA;0;NA;1;1;1;1
132;Peters;0;0;1;1;0;1;0;0;NA;0;0;1;0;1;1;0;0;0;0;1;0;0;0;NA;NA;0;NA;0;0;0;NA;NA;0;NA;1;0;1;0
133;Peycelon;0;0;0;0;0;0;0;0;NA;0;0;1;0;1;0;0;0;0;0;1;0;0;0;NA;NA;0;NA;0;0;0;NA;NA;0;NA;0;0;1;0
134;Pfitsermuller;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;1;0;0;1;0;1;0;NA;NA;0;1;0;0;0;0;0;0;1;1;1;1;0
135;Puligandila;0;1;0;0;0;0;1;1;NA;1;0;1;0;1;1;0;0;0;0;1;1;1;1;NA;NA;0;NA;1;1;1;NA;NA;0;NA;1;0;1;0
136;Reddy;0;0;0;0;0;0;0;0;NA;0;0;1;0;1;1;0;1;0;0;1;0;1;0;NA;NA;0;NA;0;0;0;NA;NA;0;NA;1;0;1;0
137;Romano;0;0;1;1;0;0;1;1;1;1;0;1;0;1;1;0;0;0;0;1;1;0;1;1;1;0;0;0;1;0;1;1;0;0;1;0;1;0
138;Ross;1;0;0;0;0;1;1;1;1;0;0;1;0;1;1;1;1;0;0;1;0;1;0;1;1;0;1;1;1;0;1;1;0;1;1;1;1;0
139;Ruttenstock;0;1;0;1;0;1;0;0;1;0;0;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
140;Rynja;0;0;0;0;0;0;0;0;NA;0;0;1;0;1;1;0;1;0;1;1;0;0;0;NA;NA;0;NA;1;1;0;NA;NA;0;NA;1;0;1;0
141;Saldana;0;0;0;0;0;1;1;1;NA;0;0;1;0;1;1;0;1;1;1;1;0;1;0;NA;NA;0;NA;1;0;0;NA;0;0;0;1;1;1;0
142;Sauerland;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0
146;Shawyer;0;1;1;1;0;1;1;1;1;1;0;1;0;1;1;0;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;0
145;Shawyer2;0;1;0;0;0;1;1;1;NA;1;0;1;0;1;1;0;1;0;0;1;1;1;1;NA;NA;1;0;1;1;1;NA;NA;0;NA;1;1;1;0
147;Shen;0;0;0;0;0;1;1;1;1;0;0;1;0;1;1;0;1;0;0;1;1;1;0;1;1;0;0;0;1;0;1;1;0;0;1;1;1;0
148;Siddiqui;0;1;0;0;1;1;1;1;1;0;0;1;0;1;1;0;1;0;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;0
149;Siminas;0;0;1;0;0;1;1;1;NA;0;0;1;1;1;1;0;1;0;1;1;0;1;1;NA;NA;0;NA;1;1;1;NA;NA;0;NA;1;1;1;0
151;Sola;0;0;1;1;1;1;1;1;1;1;0;1;0;1;1;0;1;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0
154;Terui;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;1;0
155;Thomson;1;1;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1
156;Thyoka;0;0;0;0;0;1;0;0;NA;0;0;1;0;1;1;0;1;0;0;1;1;1;0;NA;NA;0;NA;1;1;0;NA;NA;0;NA;1;1;1;0
160;Vermon-Roberts;1;1;1;1;1;1;NA;NA;NA;NA;0;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;1;1;1;1
159;Von Den Hondel;0;1;0;0;0;1;0;0;NA;0;0;1;0;1;1;0;1;1;0;1;1;1;0;NA;NA;0;NA;1;1;0;NA;NA;0;NA;1;0;1;0
161;Wang;1;1;0;0;0;1;1;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
162;Wayne;0;1;0;0;0;1;1;1;NA;1;0;1;0;1;1;0;1;0;0;1;1;1;1;NA;NA;0;NA;1;1;1;NA;NA;0;NA;1;1;1;0
163;Weih;0;0;0;0;0;0;0;0;NA;0;0;1;0;1;1;0;0;0;0;1;0;0;0;NA;NA;0;NA;0;0;0;NA;NA;0;NA;1;0;1;0
164;Wenk;0;0;0;0;1;1;0;0;1;1;0;1;0;1;1;0;1;0;1;1;1;1;0;1;1;1;0;1;1;0;1;1;1;0;1;0;1;0
165;Wilkinson;0;0;0;0;0;1;0;0;NA;0;0;1;0;0;1;0;1;0;1;1;0;1;0;NA;NA;0;NA;1;1;0;NA;NA;0;NA;1;1;1;1
166;Wright;0;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;1;0;0;1;1;1;0;1;1;1;0;1;1;0;1;1;1;0;1;1;1;0
168;Yang;0;1;0;0;0;1;0;0;NA;0;0;1;0;1;1;0;1;1;0;1;1;1;0;NA;NA;0;NA;1;1;0;NA;NA;0;NA;1;1;1;0
167;Yang2;0;1;0;0;0;1;1;1;1;1;0;1;0;1;1;0;1;1;0;1;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;1;0
170;Zani;0;0;0;0;0;0;0;0;NA;0;0;1;0;1;1;0;0;0;0;0;0;0;0;NA;NA;0;NA;0;1;0;NA;NA;0;NA;0;0;1;0
171;Zhao;0;0;0;0;0;1;0;0;1;0;0;1;0;1;1;0;1;0;0;1;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;1;0
158;Berg;1;1;1;1;0;1;0;0;NA;0;0;1;0;1;0;1;1;0;1;1;1;0;0;NA;NA;0;NA;1;1;0;NA;NA;0;NA;1;1;1;1
74;Castagnetti;0;1;1;0;0;1;1;1;1;1;0;1;0;1;1;0;1;1;0;1;1;1;0;1;1;1;0;1;1;0;1;1;1;0;0;1;1;1
80;Cullis;1;1;1;0;0;1;1;1;NA;1;0;1;0;1;1;0;1;1;1;1;1;1;1;NA;NA;1;NA;1;1;1;NA;NA;0;NA;1;1;1;1
101;Healy;0;1;1;0;0;1;0;0;NA;0;0;0;0;1;1;0;1;1;0;1;1;0;0;NA;NA;0;NA;1;1;0;NA;NA;0;NA;1;0;1;0
108;Kapralik;0;0;1;0;0;1;1;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;0;0;1;1;1;0
114;Leevan;0;0;0;0;0;1;0;0;NA;1;0;1;1;1;1;0;1;0;1;1;0;1;1;NA;NA;1;NA;0;1;1;NA;NA;1;NA;1;1;1;1
128;Oliviera;0;0;0;0;0;1;0;0;NA;0;0;1;0;1;0;0;1;0;0;1;0;1;0;NA;NA;0;NA;0;1;0;NA;NA;0;NA;0;0;1;1
130;Parolini;0;1;0;0;0;1;1;1;NA;0;0;1;0;1;1;0;0;0;0;1;1;1;0;NA;NA;0;NA;1;1;0;NA;NA;0;NA;0;1;1;1
143;Scholfield;0;1;0;0;0;1;0;0;1;1;0;1;0;1;1;0;0;0;0;1;0;1;0;1;1;1;0;1;1;0;1;0;1;0;0;1;1;1
150;Sklar2;0;1;1;0;0;0;1;1;1;0;0;1;0;1;1;0;0;0;0;1;1;1;1;1;1;0;0;1;0;1;0;1;0;0;0;1;1;1
152;Symeonidis;1;0;1;0;0;1;1;1;NA;0;0;1;0;1;1;1;1;0;1;1;0;1;0;NA;NA;0;NA;1;1;0;NA;NA;0;NA;0;0;1;1
153;Tan;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;0;1;1;0;1;1;0;0;1;1;1;1
169;Youssef;1;1;1;1;0;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0
172;Zhu;0;0;1;0;0;1;0;0;1;1;0;1;0;1;1;0;1;0;0;1;0;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1
144;Sharp;0;0;0;0;0;1;0;0;NA;NA;0;1;0;1;1;0;1;0;1;1;0;1;1;NA;NA;NA;NA;1;1;0;NA;NA;NA;NA;1;1;1;1
