"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27"
"119","1","deferred","1","deferred","0","1","1","deferred","1","deferred","deferred","deferred","NA","NA","deferred","NA","1","1","deferred","deferred","NA","deferred","NA","1","deferred","1","deferred"
"120","1","deferred","1","1","0","1","1","deferred","1","1","1","deferred","1","deferred","deferred","NA","1","1","deferred","1","deferred","deferred","NA","1","deferred","1","1"
"121","1","deferred","1","1","0","1","1","1","1","1","1","deferred","1","deferred","deferred","NA","1","1","0","deferred","deferred","deferred","NA","1","1","1","0"
"122","1","1","1","1","0","1","1","1","1","1","1","1","1","deferred","deferred","1","1","1","1","1","deferred","deferred","deferred","1","1","1","deferred"
"123","1","deferred","1","deferred","0","1","1","0","1","1","1","deferred","1","1","deferred","deferred","deferred","1","deferred","1","1","deferred","deferred","1","1","1","0"
"124","1","deferred","1","1","0","1","deferred","deferred","1","1","1","deferred","1","deferred","deferred","deferred","deferred","1","deferred","1","deferred","deferred","deferred","1","deferred","1","0"
"125","deferred","deferred","1","1","deferred","1","1","0","1","deferred","1","0","deferred","deferred","deferred","deferred","deferred","deferred","0","0","deferred","deferred","deferred","1","1","1","0"
"126","1","deferred","1","1","0","1","1","1","1","1","1","deferred","1","deferred","deferred","deferred","1","1","0","1","deferred","deferred","deferred","1","deferred","1","0"
"127","1","0","1","deferred","deferred","1","deferred","0","1","0","deferred","deferred","NA","NA","deferred","NA","0","0","deferred","deferred","NA","deferred","NA","1","0","1","0"
"128","1","0","1","0","0","1","deferred","0","1","0","deferred","0","NA","NA","deferred","NA","0","1","0","deferred","NA","deferred","NA","deferred","0","1","deferred"
"129","1","deferred","1","1","deferred","1","deferred","deferred","1","1","1","deferred","1","1","deferred","deferred","1","1","deferred","1","1","deferred","deferred","1","deferred","1","deferred"
"130","1","deferred","1","1","0","deferred","deferred","0","1","1","1","0","deferred","NA","deferred","NA","1","1","0","deferred","NA","deferred","NA","deferred","1","1","deferred"
"131","1","deferred","1","deferred","0","1","deferred","0","1","1","1","deferred","NA","NA","deferred","NA","1","1","deferred","deferred","NA","deferred","NA","1","1","1","1"
"132","1","deferred","1","deferred","0","deferred","deferred","0","deferred","0","deferred","0","deferred","NA","0","NA","0","deferred","0","deferred","NA","0","NA","1","0","1","0"
"133","1","0","1","0","0","0","0","0","deferred","0","0","deferred","NA","NA","deferred","NA","0","0","deferred","deferred","NA","deferred","NA","0","0","1","0"
"134","deferred","1","1","deferred","deferred","1","deferred","0","1","deferred","1","deferred","NA","NA","deferred","1","deferred","deferred","deferred","deferred","deferred","deferred","deferred","1","1","1","0"
"135","1","deferred","1","1","0","deferred","deferred","0","1","deferred","1","deferred","NA","NA","deferred","NA","1","1","deferred","deferred","NA","deferred","NA","1","deferred","1","0"
"136","1","0","1","deferred","0","deferred","deferred","0","deferred","0","deferred","0","NA","NA","deferred","NA","0","deferred","0","deferred","NA","deferred","NA","1","0","1","0"
"137","1","0","1","1","deferred","deferred","deferred","0","1","deferred","0","deferred","deferred","deferred","deferred","deferred","0","deferred","deferred","1","deferred","deferred","deferred","1","0","1","0"
"138","1","deferred","1","1","deferred","1","deferred","0","1","deferred","1","deferred","deferred","deferred","deferred","deferred","1","1","deferred","deferred","deferred","deferred","deferred","1","1","1","deferred"
"139","1","deferred","1","1","0","1","deferred","0","deferred","0","1","0","deferred","deferred","deferred","deferred","deferred","0","deferred","deferred","deferred","deferred","deferred","deferred","1","1","0"
"140","1","deferred","1","1","0","1","deferred","deferred","1","0","0","deferred","NA","NA","deferred","NA","1","deferred","0","deferred","NA","deferred","NA","1","deferred","1","deferred"
"141","1","deferred","1","1","0","1","1","deferred","1","0","1","0","deferred","NA","deferred","NA","1","deferred","0","deferred","deferred","deferred","deferred","1","1","1","deferred"
"142","1","1","1","1","deferred","1","1","1","1","1","1","1","1","deferred","deferred","deferred","1","1","1","deferred","deferred","deferred","deferred","1","deferred","1","deferred"
"143","1","deferred","1","1","0","deferred","deferred","0","1","deferred","1","deferred","1","deferred","deferred","deferred","1","1","deferred","1","deferred","deferred","deferred","deferred","1","1","1"
"144","1","0","1","1","0","1","deferred","1","1","0","1","deferred","NA","NA","deferred","NA","1","1","0","deferred","NA","NA","NA","1","1","1","1"
"145","1","deferred","1","deferred","0","1","deferred","deferred","1","deferred","deferred","deferred","NA","NA","deferred","deferred","1","1","deferred","deferred","NA","deferred","NA","1","1","1","deferred"
"146","1","deferred","1","1","0","1","1","deferred","1","1","1","deferred","1","1","deferred","deferred","1","1","deferred","1","1","deferred","deferred","1","1","1","deferred"
"147","1","deferred","1","1","0","1","deferred","0","1","deferred","1","deferred","1","1","deferred","deferred","deferred","1","deferred","1","1","deferred","deferred","1","1","1","0"
"148","deferred","deferred","1","deferred","0","1","deferred","deferred","1","1","1","deferred","1","deferred","deferred","deferred","1","1","deferred","1","deferred","deferred","deferred","1","1","1","0"
"149","1","1","1","1","0","1","deferred","1","1","deferred","1","deferred","NA","NA","deferred","NA","1","1","deferred","deferred","NA","deferred","NA","1","1","1","deferred"
"150","1","deferred","1","1","0","deferred","deferred","0","1","deferred","1","deferred","deferred","deferred","deferred","deferred","1","deferred","deferred","deferred","deferred","deferred","deferred","deferred","1","1","deferred"
"151","deferred","deferred","1","1","0","1","deferred","0","1","1","1","deferred","1","deferred","deferred","deferred","deferred","1","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","0"
"152","1","deferred","1","1","1","1","deferred","1","1","deferred","1","deferred","deferred","deferred","deferred","deferred","1","1","deferred","deferred","deferred","deferred","deferred","deferred","deferred","1","1"
"153","1","1","1","1","deferred","1","1","deferred","1","1","1","deferred","1","1","deferred","deferred","1","1","deferred","1","1","deferred","deferred","1","1","1","1"
"154","1","deferred","1","deferred","0","1","1","deferred","1","deferred","deferred","deferred","1","deferred","deferred","deferred","1","1","deferred","deferred","1","deferred","deferred","deferred","0","deferred","deferred"
"155","1","1","1","1","1","1","deferred","1","1","1","1","1","1","deferred","deferred","deferred","1","1","1","1","deferred","deferred","deferred","1","1","1","1"
"156","1","deferred","1","1","0","1","deferred","0","1","1","1","0","NA","NA","deferred","NA","1","1","0","deferred","NA","deferred","NA","1","deferred","1","0"
"157","deferred","1","1","deferred","deferred","1","1","1","1","deferred","deferred","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","1","deferred","1","0"
"158","1","deferred","1","deferred","deferred","1","deferred","1","1","1","deferred","deferred","NA","NA","deferred","NA","1","1","deferred","deferred","NA","deferred","NA","1","1","1","deferred"
"159","1","deferred","1","1","deferred","1","1","deferred","1","deferred","1","deferred","NA","NA","deferred","NA","1","1","deferred","NA","NA","deferred","NA","1","deferred","1","deferred"
"160","1","1","1","1","1","1","1","1","1","deferred","deferred","NA","NA","NA","NA","NA","1","deferred","NA","NA","NA","NA","NA","1","1","1","1"
"161","1","deferred","1","1","0","1","1","1","1","1","1","deferred","deferred","deferred","deferred","deferred","1","1","deferred","deferred","deferred","deferred","deferred","1","1","1","deferred"
"162","1","deferred","1","1","0","1","deferred","0","1","1","1","deferred","NA","NA","deferred","NA","1","1","deferred","deferred","NA","deferred","NA","1","1","1","deferred"
"163","1","deferred","1","deferred","0","0","0","0","deferred","0","0","0","NA","NA","deferred","NA","0","0","0","NA","NA","deferred","NA","1","0","1","deferred"
"164","1","0","1","deferred","deferred","1","deferred","1","1","deferred","deferred","0","1","deferred","deferred","deferred","1","1","0","1","deferred","deferred","deferred","1","deferred","1","deferred"
"165","1","deferred","deferred","1","deferred","1","deferred","1","1","deferred","1","deferred","deferred","deferred","deferred","deferred","1","1","deferred","deferred","deferred","deferred","deferred","1","1","1","1"
"166","1","0","1","1","0","1","deferred","0","1","1","1","deferred","1","deferred","deferred","deferred","1","1","deferred","1","deferred","deferred","deferred","1","1","1","0"
"167","1","0","1","deferred","deferred","1","1","0","1","1","1","deferred","1","1","deferred","deferred","deferred","1","deferred","1","1","deferred","deferred","1","1","1","deferred"
"168","1","deferred","1","1","deferred","1","1","deferred","1","1","1","deferred","NA","NA","deferred","deferred","1","1","deferred","deferred","deferred","deferred","deferred","1","1","1","deferred"
"169","1","deferred","1","1","1","1","1","1","1","deferred","1","1","1","deferred","deferred","deferred","1","deferred","1","deferred","deferred","deferred","deferred","1","1","1","deferred"
"170","deferred","deferred","1","1","deferred","deferred","deferred","0","deferred","0","deferred","deferred","NA","NA","deferred","NA","deferred","1","deferred","deferred","NA","deferred","NA","deferred","deferred","1","0"
"171","1","deferred","1","1","0","1","deferred","deferred","1","1","1","0","1","deferred","deferred","deferred","1","1","0","1","deferred","deferred","deferred","1","1","1","0"
"172","1","deferred","1","deferred","0","1","deferred","0","1","0","1","0","1","deferred","deferred","deferred","1","1","deferred","1","deferred","deferred","deferred","1","1","1","deferred"
"61","1","deferred","1","1","deferred","1","1","1","1","deferred","deferred","deferred","deferred","NA","deferred","NA","1","1","deferred","deferred","NA","deferred","NA","1","1","1","1"
"62","deferred","deferred","1","0","0","1","deferred","0","1","deferred","1","deferred","deferred","NA","deferred","NA","deferred","1","deferred","deferred","NA","deferred","NA","deferred","1","1","0"
"63","1","0","1","deferred","0","1","1","deferred","deferred","0","1","deferred","deferred","deferred","deferred","NA","0","1","deferred","deferred","NA","deferred","NA","1","1","1","0"
"64","1","deferred","1","1","1","1","1","deferred","1","1","deferred","deferred","1","deferred","deferred","deferred","1","1","0","1","deferred","deferred","deferred","1","1","1","1"
"65","1","deferred","1","1","0","1","1","1","1","1","1","deferred","1","1","deferred","deferred","1","1","deferred","1","1","deferred","deferred","1","1","1","deferred"
"66","1","deferred","1","1","0","1","1","deferred","1","0","1","0","deferred","NA","deferred","NA","1","1","0","deferred","NA","deferred","NA","1","1","1","0"
"67","1","deferred","1","deferred","0","1","deferred","0","1","0","1","deferred","NA","NA","deferred","NA","deferred","1","deferred","deferred","NA","deferred","NA","deferred","1","deferred","0"
"68","1","0","1","deferred","0","1","1","1","1","1","1","deferred","1","deferred","deferred","deferred","deferred","1","deferred","deferred","1","deferred","deferred","1","1","1","0"
"69","deferred","0","1","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","NA","NA","deferred","NA","deferred","deferred","deferred","NA","NA","deferred","NA","deferred","deferred","1","deferred"
"70","1","deferred","1","1","deferred","1","deferred","0","1","0","1","0","deferred","deferred","deferred","deferred","deferred","1","0","1","deferred","deferred","deferred","1","1","1","deferred"
"71","1","deferred","1","deferred","0","1","deferred","1","1","1","1","deferred","deferred","1","deferred","1","1","1","deferred","deferred","1","deferred","deferred","1","1","1","deferred"
"72","1","deferred","1","deferred","0","1","deferred","0","1","0","1","0","deferred","deferred","deferred","deferred","0","0","0","deferred","deferred","deferred","NA","deferred","0","deferred","0"
"73","1","deferred","1","deferred","0","deferred","deferred","deferred","1","0","1","deferred","NA","NA","NA","NA","0","deferred","deferred","deferred","NA","NA","NA","1","1","1","0"
"74","1","deferred","1","1","0","1","1","deferred","1","deferred","1","deferred","1","deferred","deferred","deferred","1","1","0","1","deferred","deferred","deferred","deferred","1","1","1"
"75","1","1","1","deferred","0","1","deferred","deferred","1","1","1","deferred","NA","NA","NA","NA","1","1","deferred","deferred","NA","deferred","NA","1","1","1","0"
"76","deferred","deferred","1","1","0","1","deferred","deferred","1","0","1","deferred","1","deferred","deferred","deferred","1","1","deferred","1","deferred","deferred","deferred","1","1","1","0"
"77","1","deferred","1","1","0","1","deferred","0","1","deferred","1","deferred","1","deferred","deferred","NA","1","1","0","deferred","deferred","deferred","NA","1","1","1","deferred"
"78","1","deferred","1","1","deferred","1","deferred","0","1","1","1","deferred","deferred","deferred","deferred","NA","1","1","deferred","deferred","deferred","deferred","deferred","1","1","1","deferred"
"79","1","deferred","1","deferred","deferred","1","1","0","1","1","0","deferred","NA","NA","deferred","NA","1","1","deferred","deferred","NA","deferred","NA","deferred","1","1","1"
"80","1","deferred","1","1","0","1","1","deferred","1","1","1","deferred","NA","NA","deferred","NA","deferred","1","deferred","deferred","NA","deferred","NA","1","1","1","deferred"
"81","1","deferred","1","1","1","1","deferred","deferred","1","1","1","1","1","deferred","deferred","deferred","1","1","1","1","deferred","deferred","deferred","1","1","1","deferred"
"82","1","deferred","1","1","deferred","1","deferred","1","1","1","1","1","1","1","deferred","NA","1","1","1","1","deferred","deferred","NA","1","1","1","0"
"83","1","deferred","1","1","1","1","deferred","1","1","deferred","1","deferred","deferred","NA","deferred","NA","1","1","deferred","deferred","NA","deferred","NA","1","deferred","1","0"
"84","1","deferred","1","1","deferred","1","deferred","deferred","1","1","1","deferred","1","deferred","deferred","deferred","1","1","deferred","1","deferred","deferred","deferred","1","1","1","1"
"85","1","0","1","deferred","0","deferred","1","0","1","0","deferred","0","NA","NA","deferred","NA","0","1","0","deferred","NA","deferred","NA","deferred","0","deferred","0"
"86","1","deferred","1","1","deferred","deferred","deferred","0","1","deferred","deferred","deferred","NA","NA","deferred","NA","deferred","1","deferred","deferred","NA","deferred","NA","1","deferred","1","0"
"87","1","1","1","1","deferred","1","1","1","1","1","1","1","deferred","NA","deferred","NA","1","1","1","deferred","NA","deferred","NA","1","1","1","deferred"
"88","1","deferred","1","1","0","1","deferred","1","1","1","1","1","1","deferred","deferred","NA","1","1","1","1","deferred","deferred","deferred","1","1","1","deferred"
"89","1","deferred","1","1","0","deferred","deferred","0","1","deferred","1","0","deferred","NA","deferred","NA","deferred","1","0","deferred","NA","deferred","NA","deferred","deferred","1","1"
"90","1","deferred","1","deferred","0","1","deferred","0","1","1","1","0","1","1","0","deferred","1","1","0","1","1","0","deferred","1","1","1","deferred"
"91","1","deferred","1","1","0","1","deferred","0","1","deferred","1","0","deferred","deferred","deferred","deferred","1","1","0","1","deferred","deferred","deferred","1","deferred","1","0"
"92","1","deferred","1","1","0","1","deferred","0","1","deferred","1","deferred","deferred","deferred","deferred","deferred","deferred","1","deferred","deferred","deferred","deferred","deferred","deferred","deferred","1","0"
"93","1","deferred","1","1","0","1","1","deferred","1","deferred","1","0","1","deferred","deferred","deferred","1","1","0","1","deferred","deferred","deferred","deferred","deferred","1","0"
"94","1","deferred","1","1","0","deferred","deferred","deferred","1","deferred","1","deferred","NA","NA","deferred","NA","1","1","deferred","deferred","NA","deferred","NA","1","1","1","0"
"95","1","deferred","1","1","0","1","deferred","0","deferred","0","1","0","deferred","deferred","deferred","deferred","deferred","1","0","1","deferred","deferred","deferred","1","deferred","1","deferred"
"96","1","deferred","1","1","0","1","deferred","0","1","deferred","1","0","1","1","0","deferred","1","1","0","1","1","0","deferred","1","1","1","0"
"97","1","deferred","1","deferred","0","0","0","deferred","deferred","0","0","0","NA","NA","deferred","NA","0","0","0","deferred","NA","deferred","NA","1","0","1","0"
"98","1","deferred","1","1","0","1","1","0","1","deferred","deferred","deferred","deferred","deferred","deferred","deferred","1","1","deferred","1","deferred","deferred","deferred","1","deferred","1","1"
"99","1","deferred","1","deferred","0","deferred","deferred","0","1","deferred","1","0","deferred","NA","deferred","NA","0","deferred","0","deferred","NA","deferred","NA","1","deferred","1","0"
