pragmeta_trial_id,domain_name,quote,best_match,best_paragraph,ratio
1529,Eligibility,"The inclusion criteria were being definitely diagnosed with MS and having records in the Society and the exclusion criteria having history of other psychiatric disorders including major depressive disorder (according to the medical records and the physician's examinations) or bipolar disorder (except for cognitive disorders by which MS is characterized), substance dependency, any neurological disorders, history of taking corticosteroids or the disease recurrence within the previous six months.","The inclusion criteria were being definitely diagnosed with MS and having records in the Society and the exclusion criteria having history of other psychiatric disorders including major depressive disorder (according to the medical records and the physician's examinations) or bipolar disorder (except for cognitive disorders by which MS is characterized), substance dependency, any neurological disorders, history of taking corticosteroids or the disease recurrence within the previous six months.","The inclusion criteria were being definitely diagnosed with MS and having records in the Society and the exclusion criteria having history of other psychiatric disorders including major depressive disorder (according to the medical records and the physician's examinations) or bipolar disorder (except for cognitive disorders by which MS is characterized), substance dependency, any neurological disorders, history of taking corticosteroids or the disease recurrence within the previous six months.",100.0
1529,Recruitment,This clinical trial was conducted in 2015–2016 and registered as IRCT2014112420064N1 in the Iranian Register of Clinical Trials. The study population consists the patients referring to the Multiple Sclerosis Society of Isfahan.,This clinical trial was conducted in 2015–2016 and registered as IRCT2014112420064N1 in the Iranian Register of Clinical Trials. The study population consists the patients referring to the Multiple Sclerosis Society of Isfahan.,This clinical trial was conducted in 2015–2016 and registered as IRCT2014112420064N1 in the Iranian Register of Clinical Trials. The study population consists the patients referring to the Multiple Sclerosis Society of Isfahan. The number of participants was estimated to be 63 in each group according to the formula below:,100.0
1529,Setting,"Because the patients were not hospitalized and regularly referred to the Association, to follow randomized assignment, we decided to run the sampling within two consecutive months until we enrolled an adequate number of participants.","Because the patients were not hospitalized and regularly referred to the Association, to follow randomized assignment, we decided to run the sampling within two consecutive months until we enrolled an adequate number of participants.","Because the patients were not hospitalized and regularly referred to the Association, to follow randomized assignment, we decided to run the sampling within two consecutive months until we enrolled an adequate number of participants. Accordingly, 70 numbers, equal to the number of people required in each group, were developed and the numbers 1–70 were randomly assigned to two groups: experimental and control. After eligible patients referred to the Association, a number was randomly assigned to each patient according to his/her referring time and the patients were assigned to the two groups.",100.0
1529,Organization,"The intervention was implemented within two days a week. For the control group, a routine protocol was conducted.","The intervention was implemented within two days a week. For the control group, a routine protocol was conducted.","The intervention was implemented within two days a week. For the control group, a routine protocol was conducted. For blinding, the patients of the control group referred to the Society on certain days of week and those of the experimental on other days.",100.0
1529,Flexibility (delivery),"The intervention consisted of: defining depression, stress, anxiety, and their symptoms, defining happiness, and explaining its necessity, reviewing the results of previous studies on happiness (the first session); the technique of increasing physical activity, the technique of being productive, and doing useful and meaningful things (the second session); the principles of planning and better organization--the technique of removing concerns, the technique of reducing expectations and wishes (the third session); the technique of enhancing creativity, the technique of living at present (the fourth session; the technique of increasing social relationships, the technique of being the real self (the fifth session).","The intervention consisted of: defining depression, stress, anxiety, and their symptoms, defining happiness, and explaining its necessity, reviewing the results of previous studies on happiness (the first session); the technique of increasing physical activity, the technique of being productive, and doing useful and meaningful things (the second session); the principles of planning and better organization--the technique of removing concerns, the technique of reducing expectations and wishes (the third session); the technique of enhancing creativity, the technique of living at present (the fourth session; the technique of increasing social relationships, the technique of being the real self (the fifth session).","The intervention consisted of: defining depression, stress, anxiety, and their symptoms, defining happiness, and explaining its necessity, reviewing the results of previous studies on happiness (the first session); the technique of increasing physical activity, the technique of being productive, and doing useful and meaningful things (the second session); the principles of planning and better organization--the technique of removing concerns, the technique of reducing expectations and wishes (the third session); the technique of enhancing creativity, the technique of living at present (the fourth session; the technique of increasing social relationships, the technique of being the real self (the fifth session).",100.0
1529,Flexibility (adherence),"At completion of the training program, all happy techniques were briefly reviewed with the participants, the participants were asked some questions about their current happiness and optimism levels, and their questions, if any, were answered. Then, DASS-21 and Piper Scale were administered to the participants.","At completion of the training program, all happy techniques were briefly reviewed with the participants, the participants were asked some questions about their current happiness and optimism levels, and their questions, if any, were answered. Then, DASS-21 and Piper Scale were administered to the participants.","At completion of the training program, all happy techniques were briefly reviewed with the participants, the participants were asked some questions about their current happiness and optimism levels, and their questions, if any, were answered. Then, DASS-21 and Piper Scale were administered to the participants.",100.0
1529,Follow-up,"The participants were acknowledged for their participation in the study and the follow-up session was decided to be held three months later. Moreover, to investigate the efficacy of the FHM, the DASS-21 and Piper Standard Scale were administered to the experimental group in the follow-up session.","The participants were acknowledged for their participation in the study and the follow-up session was decided to be held three months later. Moreover, to investigate the efficacy of the FHM, the DASS-21 and Piper Standard Scale were administered to the experimental group in the follow-up session.",FHM,100.0
1529,Primary outcome,"This study demonstrated a significant difference in levels of stress, depression, and total fatigue between before and after the intervention, representing the optimal effect of FHM in decreasing the severity of stress, depression, and total fatigue. Regarding anxiety, however, the difference in the mean score was not significant between before and after the intervention.","This study demonstrated a significant difference in levels of stress, depression, and total fatigue between before and after the intervention, representing the optimal effect of FHM in decreasing the severity of stress, depression, and total fatigue. Regarding anxiety, however, the difference in the mean score was not significant between before and after the intervention.",FHM,100.0
1529,Primary analysis,"The data obtained before and after conduction of the program were analyzed by chi-square test, Mann-Whitney, covariance statistics, repeated measures ANOVA, and independent t-test in SPSS 18.","The data obtained before and after conduction of the program were analyzed by chi-square test, Mann-Whitney, covariance statistics, repeated measures ANOVA, and independent t-test in SPSS 18.","The data obtained before and after conduction of the program were analyzed by chi-square test, Mann-Whitney, covariance statistics, repeated measures ANOVA, and independent t-test in SPSS 18.",100.0
1567,Eligibility,Persons with MS (N = 183) with cognitive concerns were randomly assigned to either the 8-week MAPSS-MS intervention or usual care plus freely available computer games.,Persons with MS (N = 183) with cognitive concerns were randomly assigned to either the 8-week MAPSS-MS intervention or usual care plus freely available computer games.,"Persons with MS (N = 183) with cognitive concerns were randomly assigned to either the 8-week MAPSS-MS intervention or usual care plus freely available computer games. Participants completed self-report and performance measures of cognitive functioning, compensatory strategies and depression at baseline, immediately after the MAPSS-MS intervention, and three and six months post-intervention. Changes in study outcomes were analyzed using intention to treat methodology, ANOVA with repeated measures, and ANCOVA.",100.0
1567,Eligibility,"Participants were recruited via physician referral, targeted mailings to persons with MS on the mailing list of the National MS Society, contact with support groups, and notices in MS newsletters and web sites.","Participants were recruited via physician referral, targeted mailings to persons with MS on the mailing list of the National MS Society, contact with support groups, and notices in MS newsletters and web sites.","Using effect size estimates from prior research2 a total sample size of 180 was determined to be sufficient to detect an effect size (f) of .28 as statistically significant (assuming an alpha level of .05).18 Following approval by the Institutional Review Board for the University of Texas at Austin, participants were recruited from three large metropolitan communities in Texas: Houston, San Antonio and Dallas. Participants were recruited via physician referral, targeted mailings to persons with MS on the mailing list of the National MS Society, contact with support groups, and notices in MS newsletters and web sites. The project staff used a script to screen potential participants and explain the study requirements to those who called the toll-free number and met eligibility criteria (18–60 years of age, able to understand and comply with the study protocol, visual acuity with correction sufficient to work on a computer screen, clinically definite MS for at least 6 months and exacerbation free for 90 days). The Perceived Deficits Questionnaire19 was administered by phone, and those scoring at least 10 (indicating some problems in at least 5 areas) were eligible to participate.",100.0
1567,Eligibility,"The majority of participants were female (87%), white (75%), and married (64%).","the majority of participants were female (87%), white (75%), and married (64","As seen in Fig. 1, 183 persons with MS and perceived cognitive difficulties (93 intervention, 90 control) completed baseline measures, were randomized to a group and included in the analysis. Consistent with most studies of persons with MS, the majority of participants were female (87%), white (75%), and married (64%). Participants ranged in age from 26 to 60 (mean = 49.6 ± 8.0 years). In general, the study participants were well-educated as almost all (96%) had completed high school and 60% had completed a bachelor’s degree or higher (See Table 2).",100.0
1567,Recruitment,"Participants were recruited via physician referral, targeted mailings to persons with MS on the mailing list of the National MS Society, contact with support groups, and notices in MS newsletters and web sites.","Participants were recruited via physician referral, targeted mailings to persons with MS on the mailing list of the National MS Society, contact with support groups, and notices in MS newsletters and web sites.","Using effect size estimates from prior research2 a total sample size of 180 was determined to be sufficient to detect an effect size (f) of .28 as statistically significant (assuming an alpha level of .05).18 Following approval by the Institutional Review Board for the University of Texas at Austin, participants were recruited from three large metropolitan communities in Texas: Houston, San Antonio and Dallas. Participants were recruited via physician referral, targeted mailings to persons with MS on the mailing list of the National MS Society, contact with support groups, and notices in MS newsletters and web sites. The project staff used a script to screen potential participants and explain the study requirements to those who called the toll-free number and met eligibility criteria (18–60 years of age, able to understand and comply with the study protocol, visual acuity with correction sufficient to work on a computer screen, clinically definite MS for at least 6 months and exacerbation free for 90 days). The Perceived Deficits Questionnaire19 was administered by phone, and those scoring at least 10 (indicating some problems in at least 5 areas) were eligible to participate.",100.0
1567,Recruitment,"The comparison group received their usual care and a referral to 'MyBrainGames', available for free at MultipleScerosis.com.","the comparison group received their usual care and a referral to “MyBrainGames”, available for free at MultipleScerosis.com","Persons randomly assigned to the comparison group received their usual care and a referral to “MyBrainGames”, available for free at MultipleScerosis.com. The games challenge processing speed, working memory attention and task switching ability. Participants were asked to keep a log of any practice time. These participants also received weekly “check-in” calls from research staff during the 8 weeks of the intervention period.",100.0
1567,Recruitment,The fact that both groups demonstrated improvements over time underscores the importance that many people with MS place on dealing with their cognitive limitations.,The fact that both groups demonstrated improvements over time underscores the importance that many people with MS place on dealing with their cognitive limitations.,"The fact that both groups demonstrated improvements over time underscores the importance that many people with MS place on dealing with their cognitive limitations. In contrast to a true control group who gets no treatment, the comparison group in this study was encouraged to try the MyBrain games made available by the MS Society and approximately half of the comparison group turned in logs reporting they had attempted this program. So, our findings must be interpreted in the context of increasing attention to this topic in the MS community, which may have encouraged participants in both groups to take steps to improve their cognitive abilities. Of note, both groups reported using more memory strategies at Time 2 compared to what they reported at baseline. It is certainly possible that they “learned” about additional strategies they might utilize simply from completing the initial baseline measure.",100.0
1567,Setting,"Participants were recruited from three large metropolitan communities in Texas: Houston, San Antonio and Dallas.","participants were recruited from three large metropolitan communities in Texas: Houston, San Antonio and Dallas","Using effect size estimates from prior research2 a total sample size of 180 was determined to be sufficient to detect an effect size (f) of .28 as statistically significant (assuming an alpha level of .05).18 Following approval by the Institutional Review Board for the University of Texas at Austin, participants were recruited from three large metropolitan communities in Texas: Houston, San Antonio and Dallas. Participants were recruited via physician referral, targeted mailings to persons with MS on the mailing list of the National MS Society, contact with support groups, and notices in MS newsletters and web sites. The project staff used a script to screen potential participants and explain the study requirements to those who called the toll-free number and met eligibility criteria (18–60 years of age, able to understand and comply with the study protocol, visual acuity with correction sufficient to work on a computer screen, clinically definite MS for at least 6 months and exacerbation free for 90 days). The Perceived Deficits Questionnaire19 was administered by phone, and those scoring at least 10 (indicating some problems in at least 5 areas) were eligible to participate.",100.0
1567,Organization,The MAPSS-MS intervention aims to help persons with MS acquire the highest level of cognitive functioning and functional independence.,The MAPSS-MS intervention aims to help persons with MS acquire the highest level of cognitive functioning and functional independence.,"The MAPSS-MS intervention aims to help persons with MS acquire the highest level of cognitive functioning and functional independence. The intervention includes group sessions (2 h per week for 8 weeks) focused on building efficacy for use of cognitive strategies and a home-based computer training program (45 min three times per week). Based on the integration of Bandura’s self-efficacy theory20 with the investigators’ prior intervention studies,21,22 the program’s conceptual model proposes accurate knowledge of cognitive problems, lifestyle adjustments (sleep, stress management, physical activity) that support cognitive functioning, and self-efficacy to manage cognitive challenges will support persons with MS in the use of compensatory cognitive strategies and cognitive skills.",100.0
1567,Organization,"The intervention included eight weekly 2-h group sessions focused on building efficacy for use of cognitive compensatory strategies and lifestyle activities that support cognitive functioning (e.g., sleep and rest, exercise) paired with a home-based computer-assisted cognitive training program.","The intervention included eight weekly 2-h group sessions focused on building efficacy for use of cognitive compensatory strategies and lifestyle activities that support cognitive functioning (e.g., sleep and rest, exercise) paired with a home-based computer-assisted cognitive training program.","We designed and refined the MAPSS-MS intervention in an earlier randomized single-blind study.2 The intervention included eight weekly 2-h group sessions focused on building efficacy for use of cognitive compensatory strategies and lifestyle activities that support cognitive functioning (e.g., sleep and rest, exercise) paired with a home-based computer-assisted cognitive training program. The computer component enabled participants (N = 63) to engage in practice sessions without leaving their homes. Overall, the study supported the feasibility of the MAPSS-MS intervention (compliance with the intervention was high and computer training delivered in the home was acceptable)17 and the efficacy of this innovative intervention in producing greater gains in use of compensatory strategies and performance on neuropsychological tests of verbal memory for those in the intervention group.2",100.0
1567,Flexibility (delivery),The MAPSS-MS intervention aims to help persons with MS acquire the highest level of cognitive functioning and functional independence.,The MAPSS-MS intervention aims to help persons with MS acquire the highest level of cognitive functioning and functional independence.,"The MAPSS-MS intervention aims to help persons with MS acquire the highest level of cognitive functioning and functional independence. The intervention includes group sessions (2 h per week for 8 weeks) focused on building efficacy for use of cognitive strategies and a home-based computer training program (45 min three times per week). Based on the integration of Bandura’s self-efficacy theory20 with the investigators’ prior intervention studies,21,22 the program’s conceptual model proposes accurate knowledge of cognitive problems, lifestyle adjustments (sleep, stress management, physical activity) that support cognitive functioning, and self-efficacy to manage cognitive challenges will support persons with MS in the use of compensatory cognitive strategies and cognitive skills.",100.0
1567,Flexibility (delivery),"The intervention included eight weekly 2-h group sessions focused on building efficacy for use of cognitive compensatory strategies and lifestyle activities that support cognitive functioning (e.g., sleep and rest, exercise) paired with a home-based computer-assisted cognitive training program.","The intervention included eight weekly 2-h group sessions focused on building efficacy for use of cognitive compensatory strategies and lifestyle activities that support cognitive functioning (e.g., sleep and rest, exercise) paired with a home-based computer-assisted cognitive training program.","We designed and refined the MAPSS-MS intervention in an earlier randomized single-blind study.2 The intervention included eight weekly 2-h group sessions focused on building efficacy for use of cognitive compensatory strategies and lifestyle activities that support cognitive functioning (e.g., sleep and rest, exercise) paired with a home-based computer-assisted cognitive training program. The computer component enabled participants (N = 63) to engage in practice sessions without leaving their homes. Overall, the study supported the feasibility of the MAPSS-MS intervention (compliance with the intervention was high and computer training delivered in the home was acceptable)17 and the efficacy of this innovative intervention in producing greater gains in use of compensatory strategies and performance on neuropsychological tests of verbal memory for those in the intervention group.2",100.0
1567,Flexibility (adherence),"The intervention included eight weekly 2-h group sessions focused on building efficacy for use of cognitive compensatory strategies and lifestyle activities that support cognitive functioning (e.g., sleep and rest, exercise) paired with a home-based computer-assisted cognitive training program.","The intervention included eight weekly 2-h group sessions focused on building efficacy for use of cognitive compensatory strategies and lifestyle activities that support cognitive functioning (e.g., sleep and rest, exercise) paired with a home-based computer-assisted cognitive training program.","We designed and refined the MAPSS-MS intervention in an earlier randomized single-blind study.2 The intervention included eight weekly 2-h group sessions focused on building efficacy for use of cognitive compensatory strategies and lifestyle activities that support cognitive functioning (e.g., sleep and rest, exercise) paired with a home-based computer-assisted cognitive training program. The computer component enabled participants (N = 63) to engage in practice sessions without leaving their homes. Overall, the study supported the feasibility of the MAPSS-MS intervention (compliance with the intervention was high and computer training delivered in the home was acceptable)17 and the efficacy of this innovative intervention in producing greater gains in use of compensatory strategies and performance on neuropsychological tests of verbal memory for those in the intervention group.2",100.0
1567,Follow-up,"The effects of the intervention on outcomes were assessed over an 8-month period, with measurements at baseline, immediately after the 8-week MAPPS intervention, and at 3 and 6 months post-intervention.","The effects of the intervention on outcomes were assessed over an 8-month period, with measurements at baseline, immediately after the 8-week MAPPS intervention, and at 3 and 6 months post-intervention.","A randomized controlled trial (NCT 03200899) was conducted with 183 persons with MS to evaluate the efficacy of the MAPSS-MS intervention in improving the primary outcome of overall neurocognitive competence in activities of daily living (verbal memory performance, use of cognitive strategies and performance on cognitive-related IADLs). The comparison group received usual-care plus information about publicly available computer games. The effects of the intervention on outcomes were assessed over an 8-month period, with measurements at baseline, immediately after the 8-week MAPPS intervention, and at 3 and 6 months post-intervention. Statistical significance was set at p < .05.",100.0
1567,Primary outcome,"The primary purpose of this study was to determine the effectiveness of a novel computer-assisted cognitive rehabilitation intervention MAPSS-MS (Memory, Attention, Problem Solving Skills in MS) in a multi-site trial with persons with MS.","The primary purpose of this study was to determine the effectiveness of a novel computer-assisted cognitive rehabilitation intervention MAPSS-MS (Memory, Attention, Problem Solving Skills in MS) in a multi-site trial with persons with MS.","The primary purpose of this study was to determine the effectiveness of a novel computer-assisted cognitive rehabilitation intervention MAPSS-MS (Memory, Attention, Problem Solving Skills in MS) in a multi-site trial with persons with MS.",100.0
1567,Primary outcome,The purpose of this study was to test the refined MAPSS-MS intervention in a larger multi-site trial with a six-month follow-up.,The purpose of this study was to test the refined MAPSS-MS intervention in a larger multi-site trial with a six-month follow-up.,"The purpose of this study was to test the refined MAPSS-MS intervention in a larger multi-site trial with a six-month follow-up. We hypothesized that, compared to persons in the usual care plus computer games group, persons with MS who participate in the MAPSS-MS intervention would:",100.0
1567,Primary analysis,"Changes in study outcomes were analyzed using intention to treat methodology, ANOVA with repeated measures, and ANCOVA.","Changes in study outcomes were analyzed using intention to treat methodology, ANOVA with repeated measures, and ANCOVA.","Persons with MS (N = 183) with cognitive concerns were randomly assigned to either the 8-week MAPSS-MS intervention or usual care plus freely available computer games. Participants completed self-report and performance measures of cognitive functioning, compensatory strategies and depression at baseline, immediately after the MAPSS-MS intervention, and three and six months post-intervention. Changes in study outcomes were analyzed using intention to treat methodology, ANOVA with repeated measures, and ANCOVA.",100.0
1568,Eligibility,"Patients (n = 84) were recruited in collaboration with six Danish regional MS clinics and The Danish MS Society. Inclusion criteria were (1) 18–60  years of age, (2) ⩽2 years since clinical diagnosis with relapsing remitting MS (RRMS) and (3) no relapses or changes in medication status 8 weeks prior to inclusion.","Patients (n = 84) were recruited in collaboration with six Danish regional MS clinics and The Danish MS Society. Inclusion criteria were (1) 18–60  years of age, (2) ⩽2 years since clinical diagnosis with relapsing remitting MS (RRMS) and (3) no relapses or changes in medication status 8 weeks prior to inclusion.","Patients (n = 84) were recruited in collaboration with six Danish regional MS clinics and The Danish MS Society. Inclusion criteria were (1) 18–60  years of age, (2) ⩽2 years since clinical diagnosis with relapsing remitting MS (RRMS) and (3) no relapses or changes in medication status 8 weeks prior to inclusion. Eligibility was confirmed by project nurses based on patients’ medical records. Patients gave informed written consent prior to inclusion. The flow of patients through the different study phases is presented in Figure 1.",100.0
1568,Recruitment,Patients (n = 84) were recruited in collaboration with six Danish regional MS clinics and The Danish MS Society.,Patients (n = 84) were recruited in collaboration with six Danish regional MS clinics and The Danish MS Society.,"Patients (n = 84) were recruited in collaboration with six Danish regional MS clinics and The Danish MS Society. Inclusion criteria were (1) 18–60  years of age, (2) ⩽2 years since clinical diagnosis with relapsing remitting MS (RRMS) and (3) no relapses or changes in medication status 8 weeks prior to inclusion. Eligibility was confirmed by project nurses based on patients’ medical records. Patients gave informed written consent prior to inclusion. The flow of patients through the different study phases is presented in Figure 1.",100.0
1568,Setting,The present study is a national multicentre single-blinded parallel group randomized controlled trial (RCT) comparing two groups receiving either supervised exercise therapy (intervention group) or health education (active control group).,The present study is a national multicentre single-blinded parallel group randomized controlled trial (RCT) comparing two groups receiving either supervised exercise therapy (intervention group) or health education (active control group).,"The present study is a national multicentre single-blinded parallel group randomized controlled trial (RCT) comparing two groups receiving either supervised exercise therapy (intervention group) or health education (active control group). The study period covers 48 weeks with outcome assessment at baseline (T0), after 24 weeks (T24), and after 48 weeks (T48).",100.0
1568,Organization,"The supervised exercise sessions were performed twice weekly for the full study period of 48 weeks, and was planned on the basis of four principles (adapted from Stathopoulos and Felson Duchan)13: (1) individual tailoring, (2) application of exercise types matching the goal of the intervention, (3) progressive overload and (4) sufficient intensity to induce the desired effects of the intervention.","The supervised exercise sessions were performed twice weekly for the full study period of 48 weeks, and was planned on the basis of four principles (adapted from Stathopoulos and Felson Duchan)13: (1) individual tailoring, (2) application of exercise types matching the goal of the intervention, (3) progressive overload and (4) sufficient intensity to induce the desired effects of the intervention.","The supervised exercise sessions were performed twice weekly for the full study period of 48 weeks, and was planned on the basis of four principles (adapted from Stathopoulos and Felson Duchan)13: (1) individual tailoring, (2) application of exercise types matching the goal of the intervention, (3) progressive overload and (4) sufficient intensity to induce the desired effects of the intervention. Therefore, the exercise intervention was planned as high-intense aerobic exercise, monitored relative to the patients’ individual maximal heart rate (HRmax), and progressed within and between 4 meso cycles of 12 weeks. In brief, the exercise intervention included 3892 minutes of aerobic exercise at an average intensity of 76.2% HRmax. The exercise sessions consisted of continuous sessions lasting 30–60 minutes with an intensity of 60%–80% HRmax and interval training sessions lasting 30–60 minutes with an interval duration of 1–10 minutes and intensities varying from 65%–95% HRmax. Patients received the exercise intervention in addition to usual care.",100.0
1568,Flexibility (delivery),"The supervised exercise sessions were performed twice weekly for the full study period of 48 weeks, and was planned on the basis of four principles (adapted from Stathopoulos and Felson Duchan)13: (1) individual tailoring, (2) application of exercise types matching the goal of the intervention, (3) progressive overload and (4) sufficient intensity to induce the desired effects of the intervention.","The supervised exercise sessions were performed twice weekly for the full study period of 48 weeks, and was planned on the basis of four principles (adapted from Stathopoulos and Felson Duchan)13: (1) individual tailoring, (2) application of exercise types matching the goal of the intervention, (3) progressive overload and (4) sufficient intensity to induce the desired effects of the intervention.","The supervised exercise sessions were performed twice weekly for the full study period of 48 weeks, and was planned on the basis of four principles (adapted from Stathopoulos and Felson Duchan)13: (1) individual tailoring, (2) application of exercise types matching the goal of the intervention, (3) progressive overload and (4) sufficient intensity to induce the desired effects of the intervention. Therefore, the exercise intervention was planned as high-intense aerobic exercise, monitored relative to the patients’ individual maximal heart rate (HRmax), and progressed within and between 4 meso cycles of 12 weeks. In brief, the exercise intervention included 3892 minutes of aerobic exercise at an average intensity of 76.2% HRmax. The exercise sessions consisted of continuous sessions lasting 30–60 minutes with an intensity of 60%–80% HRmax and interval training sessions lasting 30–60 minutes with an interval duration of 1–10 minutes and intensities varying from 65%–95% HRmax. Patients received the exercise intervention in addition to usual care.",100.0
1568,Flexibility (adherence),"Patients in the supervised exercise group completed 90.0 (8.6)% of the planned sessions at an average intensity of 84.4 (3.0)% HRmax (for comparison, the planned average intensity was 76.2% HRmax).","Patients in the supervised exercise group completed 90.0 (8.6)% of the planned sessions at an average intensity of 84.4 (3.0)% HRmax (for comparison, the planned average intensity was 76.2% HRmax).","Patients in the supervised exercise group completed 90.0 (8.6)% of the planned sessions at an average intensity of 84.4 (3.0)% HRmax (for comparison, the planned average intensity was 76.2% HRmax). The Baecke Sport Index revealed an increase in participation in structured exercise in both groups (exercise group: 0.57 (0.33; 0.81) and control group: 0.32 (0.08; 0.55)), which should be kept in mind when interpreting the results, however, with a trend towards a greater increase in the supervised exercise therapy group (between-group: 0.26 (−0.08; 0.60)). Moreover, the intensity and physiological stimuli from the supervised exercise therapy intervention was evidently superior, as evidenced by a greater increase in the aerobic fitness level of patients in the supervised exercise group compared with patients in the health education control group (between-group: 4.0 (1.7; 6.3) mL O2/min/kg).",100.0
