"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27"
"133","deferred","1","1","1","0","deferred","1","0","1","0","0","deferred","deferred","NA","NA","NA","0","0","0","deferred","NA","NA","NA","1","deferred","1","0"
"134","1","1","1","1","0","1","1","0","1","1","0","deferred","deferred","NA","NA","NA","1","deferred","deferred","1","NA","NA","NA","1","1","1","1"
"136","1","1","1","1","NA","NA","1","0","deferred","1","0","0","0","NA","NA","NA","deferred","1","0","1","NA","NA","NA","1","1","1","deferred"
"137","1","0","1","0","0","1","1","1","1","1","0","0","0","NA","NA","NA","1","0","0","1","NA","NA","NA","1","1","1","0"
"138","1","1","1","1","0","1","1","0","1","0","1","0","1","NA","NA","NA","1","1","0","1","NA","NA","NA","1","1","1","deferred"
"139","1","1","1","1","0","1","1","0","0","0","0","0","0","NA","NA","NA","0","0","0","0","NA","NA","NA","1","1","1","0"
"140","1","1","1","1","0","1","1","0","1","1","1","0","1","NA","NA","NA","1","1","deferred","1","NA","NA","NA","1","1","1","0"
"141","1","1","1","1","0","1","1","deferred","1","1","0","0","deferred","NA","NA","0","1","1","1","1","NA","NA","0","1","1","1","0"
"142","1","1","1","1","0","1","1","0","1","1","0","0","deferred","NA","NA","NA","1","1","1","1","NA","NA","NA","1","1","1","0"
"143","1","1","1","1","0","1","1","0","1","1","0","1","1","NA","NA","NA","1","1","0","1","NA","NA","NA","1","1","1","1"
"144","1","1","1","1","1","1","1","1","1","1","1","1","deferred","NA","NA","NA","1","1","1","1","NA","NA","NA","1","1","1","1"
"145","1","1","1","1","0","1","1","0","1","1","1","0","1","NA","NA","NA","1","1","0","1","NA","NA","NA","1","1","1","1"
"146","1","1","1","1","0","1","1","1","1","1","1","1","1","NA","NA","NA","1","1","1","1","NA","NA","NA","1","1","1","1"
"147","1","1","1","1","0","1","1","0","1","1","1","deferred","1","NA","NA","NA","1","1","0","1","NA","NA","NA","1","1","1","0"
"148","1","1","1","1","0","1","1","1","1","1","deferred","0","1","NA","NA","NA","1","1","0","1","NA","NA","NA","1","1","1","1"
"149","1","1","1","1","deferred","1","1","0","1","1","0","0","deferred","NA","NA","NA","1","1","1","0","NA","NA","NA","1","1","1","0"
"150","1","1","1","1","0","1","1","0","1","1","0","0","1","NA","NA","NA","1","1","0","1","NA","NA","NA","1","1","1","1"
"151","1","1","1","1","0","1","1","0","1","1","0","0","0","NA","NA","NA","1","1","0","1","NA","NA","NA","1","1","1","0"
"152","1","0","1","0","0","1","1","0","1","0","0","0","0","NA","NA","NA","1","0","0","0","NA","NA","NA","1","1","1","0"
"153","1","1","1","1","0","1","1","deferred","1","1","deferred","0","deferred","deferred","deferred","NA","1","1","0","1","NA","deferred","NA","1","1","1","deferred"
"154","1","1","1","1","deferred","1","1","1","1","1","1","1","1","NA","NA","NA","1","1","1","1","NA","NA","NA","1","1","1","1"
"155","1","1","1","1","1","1","1","1","1","1","1","1","1","NA","NA","NA","1","1","1","1","NA","NA","NA","1","1","1","1"
"156","1","1","1","1","0","1","1","0","deferred","deferred","deferred","deferred","deferred","NA","NA","NA","deferred","deferred","deferred","deferred","NA","NA","NA","1","1","1","deferred"
"157","1","1","1","1","0","1","1","0","1","0","0","0","0","NA","NA","NA","1","0","0","0","NA","NA","NA","1","1","1","0"
"158","1","1","1","1","0","0","0","0","0","0","0","0","0","NA","NA","NA","0","0","0","0","NA","NA","NA","1","1","1","0"
"159","1","1","1","1","0","1","deferred","deferred","deferred","deferred","deferred","0","0","0","0","0","deferred","deferred","0","1","0","0","0","1","1","1","0"
"160","1","1","1","1","0","1","1","deferred","1","deferred","deferred","deferred","deferred","NA","NA","NA","1","deferred","deferred","deferred","NA","NA","NA","1","1","1","0"
"161","1","1","1","1","0","1","1","1","1","1","1","1","1","NA","NA","NA","1","1","1","1","NA","NA","NA","1","1","1","0"
"162","1","1","1","1","0","deferred","deferred","0","deferred","0","0","0","0","NA","NA","NA","deferred","deferred","0","deferred","NA","NA","NA","deferred","deferred","1","0"
"163","1","1","1","1","deferred","deferred","1","0","0","0","0","0","0","NA","NA","NA","0","0","0","1","NA","NA","NA","1","0","1","1"
"164","1","1","1","1","0","1","1","0","0","0","0","0","0","NA","NA","NA","0","1","0","1","NA","NA","NA","1","0","1","0"
"165","1","1","1","1","0","1","1","1","1","1","1","0","NA","NA","NA","NA","1","1","NA","1","NA","NA","NA","1","1","1","0"
"166","1","1","1","1","0","1","1","1","1","1","1","1","1","NA","NA","NA","1","1","1","1","NA","NA","NA","1","1","1","0"
"167","1","1","1","1","0","1","1","0","0","0","0","0","0","NA","NA","NA","0","0","0","1","NA","NA","NA","1","1","1","0"
"168","1","0","1","0","0","0","1","0","0","0","0","0","0","NA","NA","NA","0","0","0","0","NA","NA","NA","0","0","0","0"
"169","1","1","1","1","0","0","0","0","0","0","0","0","0","NA","NA","NA","0","0","0","0","NA","NA","NA","1","deferred","1","0"
"170","1","1","1","1","deferred","1","1","1","1","1","1","NA","1","NA","NA","NA","deferred","1","deferred","1","NA","NA","NA","1","1","1","deferred"
"171","1","1","1","1","0","1","1","0","1","1","deferred","0","deferred","NA","NA","NA","1","deferred","0","deferred","NA","NA","NA","1","1","1","0"
"172","1","1","1","1","0","1","1","1","1","1","1","NA","1","NA","NA","NA","1","1","NA","1","NA","NA","NA","1","1","1","1"
"61","1","1","1","1","0","1","1","0","deferred","0","0","0","0","NA","NA","deferred","1","deferred","0","1","NA","NA","deferred","1","1","1","1"
"62","1","1","1","1","0","1","1","0","1","deferred","deferred","0","NA","NA","NA","NA","1","1","0","1","NA","NA","NA","1","1","1","0"
"63","1","1","1","1","0","1","1","0","NA","1","1","0","deferred","NA","NA","NA","1","1","0","deferred","NA","NA","NA","1","1","1","0"
"64","1","1","1","1","1","1","1","0","0","0","deferred","0","0","NA","NA","NA","0","deferred","0","1","NA","NA","NA","1","1","1","1"
"65","1","1","1","1","0","1","1","0","1","1","1","1","1","NA","NA","NA","1","1","1","1","NA","NA","NA","1","1","1","0"
"66","1","deferred","1","deferred","0","0","deferred","0","deferred","0","1","0","deferred","NA","NA","NA","deferred","deferred","0","1","NA","NA","NA","1","deferred","1","0"
"67","1","1","1","1","0","1","1","0","1","0","1","0","NA","NA","NA","NA","1","1","0","1","NA","NA","NA","1","1","1","0"
"68","1","1","1","1","0","1","1","1","1","1","1","1","1","NA","NA","NA","1","1","1","1","NA","NA","NA","1","1","1","0"
"69","1","1","1","1","0","1","1","0","1","1","0","0","1","NA","NA","NA","1","1","1","1","NA","NA","NA","1","1","1","0"
"70","1","1","1","1","0","1","1","0","1","0","0","0","deferred","NA","NA","NA","deferred","1","0","1","NA","NA","NA","1","1","1","1"
"71","1","1","1","1","0","1","1","0","1","1","1","0","1","NA","NA","NA","deferred","deferred","NA","1","NA","NA","NA","1","1","1","0"
"72","1","deferred","1","deferred","0","1","1","0","1","deferred","1","deferred","deferred","NA","NA","NA","1","1","deferred","1","NA","NA","NA","deferred","deferred","1","0"
"73","1","1","1","1","0","1","1","0","1","0","0","0","0","NA","NA","NA","1","0","0","1","NA","NA","NA","1","1","1","0"
"74","1","1","1","1","0","1","1","0","1","deferred","deferred","deferred","1","NA","NA","NA","1","1","NA","1","NA","NA","NA","1","1","1","1"
"75","1","1","1","1","0","1","1","0","1","1","0","1","NA","NA","NA","NA","1","1","1","1","NA","NA","NA","1","1","1","1"
"76","1","1","1","1","0","1","1","1","1","1","1","1","1","NA","NA","NA","1","1","1","1","NA","NA","NA","1","1","1","0"
"77","1","1","1","1","0","1","1","1","1","1","0","0","0","NA","NA","NA","1","1","0","1","NA","NA","NA","1","1","1","1"
"78","1","1","1","1","0","1","1","1","1","1","1","0","1","NA","NA","NA","1","1","0","1","NA","NA","NA","1","1","1","0"
"79","0","0","1","1","0","1","deferred","0","1","1","1","1","deferred","NA","NA","NA","0","1","1","1","NA","NA","NA","1","1","1","0"
"80","1","1","1","1","0","1","1","1","1","0","0","0","0","NA","NA","NA","1","1","0","1","NA","NA","NA","1","1","1","0"
"81","1","1","1","1","0","1","1","0","1","1","0","deferred","1","NA","deferred","NA","1","1","0","1","NA","deferred","NA","1","1","1","deferred"
"82","1","1","1","1","0","1","1","1","1","1","1","1","1","NA","NA","NA","1","1","1","1","NA","NA","NA","1","1","1","0"
"83","1","1","1","1","0","1","1","deferred","deferred","1","deferred","deferred","deferred","NA","NA","NA","deferred","1","deferred","deferred","NA","NA","NA","1","deferred","1","0"
"84","1","1","1","1","0","1","1","0","0","0","0","0","0","NA","NA","NA","0","deferred","0","1","NA","NA","NA","1","deferred","1","0"
"85","1","1","1","1","0","1","1","0","1","1","1","1","1","NA","NA","NA","1","1","1","1","NA","NA","NA","1","1","1","0"
"86","1","1","1","1","0","1","1","0","deferred","deferred","deferred","0","1","NA","NA","NA","deferred","1","0","1","NA","NA","NA","1","1","1","deferred"
"87","1","0","1","1","0","0","1","1","1","1","0","1","1","0","0","0","1","0","0","1","0","0","0","1","1","1","0"
"88","1","1","1","1","0","1","1","0","0","0","0","0","0","NA","NA","NA","deferred","0","0","1","NA","NA","NA","1","1","1","0"
"89","1","1","1","1","0","1","1","0","0","0","0","0","0","NA","NA","NA","0","0","0","0","NA","NA","NA","0","0","1","0"
"90","1","1","1","1","0","1","1","0","1","1","1","NA","1","NA","NA","NA","1","1","NA","1","NA","NA","NA","1","1","1","0"
"91","1","1","1","1","0","1","1","0","1","1","deferred","0","1","NA","NA","NA","1","1","0","1","NA","NA","NA","1","1","1","0"
"92","1","1","1","1","0","1","1","0","1","0","0","0","0","NA","NA","NA","1","1","0","1","NA","NA","NA","1","1","1","0"
"93","1","1","1","1","NA","1","1","1","1","1","1","NA","1","NA","NA","NA","1","1","1","1","NA","NA","NA","1","1","1","1"
"94","1","0","1","0","0","1","0","deferred","1","1","0","0","0","NA","NA","NA","1","0","0","1","NA","NA","NA","1","0","1","0"
"95","1","1","1","1","0","0","0","0","0","0","0","0","0","NA","NA","NA","0","0","0","0","NA","NA","NA","1","1","1","0"
"96","1","1","1","1","0","0","0","0","0","0","0","0","0","NA","NA","NA","0","0","0","0","NA","NA","NA","1","1","1","0"
"97","1","1","1","1","0","0","0","0","0","0","0","0","0","NA","NA","NA","0","0","0","0","NA","NA","NA","1","1","1","0"
"98","1","1","1","1","deferred","1","1","deferred","1","1","1","deferred","1","NA","NA","NA","1","1","deferred","1","NA","NA","NA","1","1","1","1"
"99","1","1","1","1","1","1","1","1","1","1","1","NA","1","NA","NA","NA","deferred","deferred","deferred","1","NA","NA","NA","1","1","1","0"
