pragmeta_trial_id,doi,domain_name,quote,best_match,ratio
1330,10.1097/sla.0000000000000982,Primary analysis,Data are presented as mean with 95% confidence interval (CI) unless stated otherwise. The analysis of primary and secondary variables was performed on an intention-to-treat basis.,Data are presented as mean with 95% confidence interval (CI) unless stated otherwise. The analysis of primary and secondary variables was performed on an intention-to-treat basis.,100.0
1299,10.1097/sla.0000000000002892,Eligibility,"The inclusion criteria were a BMI between 35 and 60 kg/m2, age between 18 and 60 years, and primary SG. The exclusion criteria were history of bariatric or gastric surgery, a surgical procedure other than primary SG, a BMI ≥60 kg/m2, age under 18, allergy or contraindication to TISSEEL, legal guardianship, refusal to participate in the study, pregnancy or breastfeeding, and an American Society of Anesthesiologists score of IV.","The inclusion criteria were a BMI between 35 and 60 kg/m2, age between 18 and 60 years, and primary SG. The exclusion criteria were history of bariatric or gastric surgery, a surgical procedure other than primary SG, a BMI ≥60 kg/m2, age under 18, allergy or contraindication to TISSEEL, legal guardianship, refusal to participate in the study, pregnancy or breastfeeding, and an American Society of Anesthesiologists score of IV.",100.0
1299,10.1097/sla.0000000000002892,Eligibility,Patients with a positive intraoperative methylene blue test and/or abdominal drainage and/or intraoperative bleeding requiring staple line suturing were not excluded.,Patients with a positive intraoperative methylene blue test and/or abdominal drainage and/or intraoperative bleeding requiring staple line suturing were not excluded.,100.0
1299,10.1097/sla.0000000000002892,Recruitment,"During a consultation before bariatric surgery, patients meeting the study's inclusion criteria were invited to participate in the study and were also provided with an information sheet on the study objectives and procedures.","During a consultation before bariatric surgery, patients meeting the study's inclusion criteria were invited to participate in the study and were also provided with an information sheet on the study objectives and procedures.",100.0
1299,10.1097/sla.0000000000002892,Setting,"This was a prospective, intention-to-treat, randomized, single-blind, 2-center superiority study of a group of patients (n = 586) undergoing primary SG between February 2014 and June 2017.","This was a prospective, intention-to-treat, randomized, single-blind, 2-center superiority study of a group of patients (n = 586) undergoing primary SG between February 2014 and June 2017.",100.0
1299,10.1097/sla.0000000000002892,Organisation,"The present study was sponsored and funded by the FS's manufacturer (Baxter International Inc.). The sponsor was not involved in the study design, data collection, statistical analysis, or formulation of the results.","The present study was sponsored and funded by the FS's manufacturer (Baxter International Inc.). The sponsor was not involved in the study design, data collection, statistical analysis, or formulation of the results.",100.0
1299,10.1097/sla.0000000000002892,Flexibility (delivery),"The 4-trocar SG technique has been described in detail by Dhahri et al.20 A 34 Fr bougie guided the stapling, and stapling was started 6 cm proximal to the pylorus using a Endo Gia Ultra Universal XL Stapler 60 with Tri-staple purple reloads (Covidien France SAS, Elancourt, France) or an Echelon Flex Endopath 60-mm stapler with green reloads (Ethicon Endo-Surgery, Issy-les-Moulineaux, France). No buttress material or GSL over sewing was used.","The 4-trocar SG technique has been described in detail by Dhahri et al.20 A 34 Fr bougie guided the stapling, and stapling was started 6 cm proximal to the pylorus using a Endo Gia Ultra Universal XL Stapler 60 with Tri-staple purple reloads (Covidien France SAS, Elancourt, France) or an Echelon Flex Endopath 60-mm stapler with green reloads (Ethicon Endo-Surgery, Issy-les-Moulineaux, France). No buttress material or GSL over sewing was used.",100.0
1299,10.1097/sla.0000000000002892,Follow-up,"The trial's primary endpoint was a composite of the SLCs recorded over the first 30 PODs. Surgical complications were defined as GL, postoperative hemorrhage/hematoma at the GSL and postoperative abscess near to the GSL. The occurrence of a postoperative complication was assessed by an independent adjudication committee composed of physicians not involved in the recruitment and the management of patients undergoing SG.","The trial's primary endpoint was a composite of the SLCs recorded over the first 30 PODs. Surgical complications were defined as GL, postoperative hemorrhage/hematoma at the GSL and postoperative abscess near to the GSL. The occurrence of a postoperative complication was assessed by an independent adjudication committee composed of physicians not involved in the recruitment and the management of patients undergoing SG.",100.0
1299,10.1097/sla.0000000000002892,Primary outcome,The primary endpoint (composite criteria) was the incidence of SLCs in each of the 2 groups.,The primary endpoint (composite criteria) was the incidence of SLCs in each of the 2 groups.,100.0
1299,10.1097/sla.0000000000002892,Primary analysis,"In the intention-to-treat analysis, the incidence of SLCs was similar in the FS and control groups (1.3% vs 2%, respectively; P = 0.52).","In an intention-to-treat analysis, the incidence of SLCs was similar in the FS and control groups (1.3% vs 2%, respectively; P = 0.52)",97.76119402985076
1656,10.1056/nejmoa1303006,Eligibility,"From July 2007 through December 2010, we enrolled 353 participants 18 years of age or older who met 1987 American College of Rheumatology (ACR) classification criteria for rheumatoid arthritis,26 had been receiving methotrexate at stable doses of 15 to 25 mg weekly for at least 12 weeks, had a DAS28 of 4.4 or higher, and met inclusion criteria and had no exclusion criteria.","From July 2007 through December 2010, we enrolled 353 participants 18 years of age or older who met 1987 American College of Rheumatology (ACR) classification criteria for rheumatoid arthritis,26 had been receiving methotrexate at stable doses of 15 to 25 mg weekly for at least 12 weeks, had a DAS28 of 4.4 or higher, and met inclusion criteria and had no exclusion criteria",100.0
1656,10.1056/nejmoa1303006,Eligibility,"Our study has several limitations. First, the target sample size was not reached. Despite this shortfall, the 95% confidence interval for noninferiority did not approach the conservatively defined threshold of 0.6. Since a DAS28 change of 1.2 or more is an accepted standard for clinically meaningful change,29 a DAS28 change of 0.6 or less was thought to be clinically insignificant.","Our study has several limitations. First, the target sample size was not reached. Despite this shortfall, the 95% confidence interval for noninferiority did not approach the conservatively defined threshold of 0.6. Since a DAS28 change of 1.2 or more is an accepted standard for clinically meaningful change,29 a DAS28 change of 0.6 or less was thought to be clinically insignificant.",100.0
1656,10.1056/nejmoa1303006,Recruitment,"From July 2007 through December 2010, we enrolled 353 participants 18 years of age or older who met 1987 American College of Rheumatology (ACR) classification criteria for rheumatoid arthritis,26 had been receiving methotrexate at stable doses of 15 to 25 mg weekly for at least 12 weeks, had a DAS28 of 4.4 or higher, and met inclusion criteria and had no exclusion criteria.","From July 2007 through December 2010, we enrolled 353 participants 18 years of age or older who met 1987 American College of Rheumatology (ACR) classification criteria for rheumatoid arthritis,26 had been receiving methotrexate at stable doses of 15 to 25 mg weekly for at least 12 weeks, had a DAS28 of 4.4 or higher, and met inclusion criteria and had no exclusion criteria",100.0
1656,10.1056/nejmoa1303006,Setting,"The trial was conducted at 16 Veteran Affairs hospitals, 12 Rheumatoid Arthritis Investigational Network sites, and 8 Canadian medical centers.","The trial was conducted at 16 Veteran Affairs hospitals, 12 Rheumatoid Arthritis Investigational Network sites, and 8 Canadian medical centers.",100.0
1656,10.1056/nejmoa1303006,Organisation,"The Veterans Affairs Cooperative Studies Program was responsible for the collection of the data, the analysis of the data (Boston site), the provision of and payment for study medications, and the preparation and distribution of the placebo (Albuquerque site). Amgen donated the placebo etanercept but had no role in the design of the study, the collection or analysis of the data, the writing of the manuscript, or the decision to submit the manuscript for publication.","The Veterans Affairs Cooperative Studies Program was responsible for the collection of the data, the analysis of the data (Boston site), the provision of and payment for study medications, and the preparation and distribution of the placebo (Albuquerque site). Amgen donated the placebo etanercept but had no role in the design of the study, the collection or analysis of the data, the writing of the manuscript, or the decision to submit the manuscript for publication.",100.0
1656,10.1056/nejmoa1303006,Flexibility (delivery),"Participants continued to receive methotrexate throughout the trial, at the dose that they were receiving at the time of enrollment.","Participants continued to receive methotrexate throughout the trial, at the dose that they were receiving at the time of enrollment.",100.0
1656,10.1056/nejmoa1303006,Flexibility (adherence),Adherence to study medications was assessed by means of tablet counts in returned bottles and with the use of diaries in which participants noted injection dates.,Adherence to study medications was assessed by means of tablet counts in returned bottles and with the use of diaries in which participants noted injection dates.,100.0
1656,10.1056/nejmoa1303006,Follow-up,"Participants were seen every 6 weeks for monitoring of laboratory values and adverse events. At the time of enrollment and every 12 weeks, the Health Assessment Questionnaire II27 was administered, a count of joints with disease activity was performed, and pain was assessed. At the time of enrollment and every 24 weeks, the DAS28 was calculated, the physician's global assessment (an overall assessment of disease) was performed, quality-of-life and functional surveys were administered, and radiographs were obtained.","Participants were seen every 6 weeks for monitoring of laboratory values and adverse events. At the time of enrollment and every 12 weeks, the Health Assessment Questionnaire II27 was administered, a count of joints with disease activity was performed, and pain was assessed. At the time of enrollment and every 24 weeks, the DAS28 was calculated, the physician's global assessment (an overall assessment of disease) was performed, quality-of-life and functional surveys were administered, and radiographs were obtained.",100.0
1656,10.1056/nejmoa1303006,Primary outcome,The primary outcome was the change in the DAS28 at 48 weeks according to the initial regimen.,The primary outcome was the change in the DAS28 at 48 weeks according to the initial regimen.,100.0
1656,10.1056/nejmoa1303006,Primary analysis,"We tested the one-sided hypothesis that triple therapy would not be inferior to etanercept–methotrexate therapy, with rejection of the null hypothesis if the upper limit of a one-sided 95% confidence interval for the difference between the groups in the change from baseline to 48 weeks (triple therapy minus etanercept–methotrexate therapy) would be less than 0.6.","We tested the one-sided hypothesis that triple therapy would not be inferior to etanercept–methotrexate therapy, with rejection of the null hypothesis if the upper limit of a one-sided 95% confidence interval for the difference between the groups in the change from baseline to 48 weeks (triple therapy minus etanercept–methotrexate therapy) would be less than 0.6.",100.0
1465,10.1016/j.athoracsur.2018.05.023,Eligibility,"Patients with isolated palmar, isolated axillary, and isolated or associated plantar hyperhidrosis were excluded from this study.","Patients with isolated palmar, isolated axillary, and isolated or associated plantar hyperhidrosis were excluded from this study.",100.0
1465,10.1016/j.athoracsur.2018.05.023,Eligibility,Family history was positive in 33 patients (55%) in group A and in 31 patients (52%) in group B.,Family history was positive in 33 patients (55%) in group A and in 31 patients (52%) in group B.,100.0
1465,10.1016/j.athoracsur.2018.05.023,Eligibility,All patients tried medical treatment before referral to surgery in both groups.,All patients tried medical treatment before referral to surgery in both groups,100.0
1465,10.1016/j.athoracsur.2018.05.023,Recruitment,"Between October 2012 and August 2016, a prospective study was designed with a total number of 120 patients with primary palmar and axillary hyperhidrosis after approval from the Institutional Ethics Committee.","Between October 2012 and August 2016, a prospective study was designed with a total number of 120 patients with primary palmar and axillary hyperhidrosis after approval from the Institutional Ethics Committee.",100.0
1465,10.1016/j.athoracsur.2018.05.023,Recruitment,Patients were randomly divided into 2 groups: group A and group B.,Patients were randomly divided into 2 groups: group A and group B.,100.0
1465,10.1016/j.athoracsur.2018.05.023,Recruitment,Randomization was done by using a computer program called the Random Number Generator.,Randomization was done by using a computer program called the Random Number Generator,100.0
1465,10.1016/j.athoracsur.2018.05.023,Setting,Bilateral and sequential sympathectomy were performed in all cases in the same setting.,Bilateral and sequential sympathectomy were performed in all cases in the same setting.,100.0
1465,10.1016/j.athoracsur.2018.05.023,Setting,Double lumen endotracheal intubation with general anesthesia is the standard technique.,Double lumen endotracheal intubation with general anesthesia is the standard technique.,100.0
1465,10.1016/j.athoracsur.2018.05.023,Setting,Patients are discharged only after confirming full lung reexpansion.,Patients are discharged only after confirming full lung reexpansion.,100.0
1465,10.1016/j.athoracsur.2018.05.023,Organisation,"There were no major complications, perioperative mortality, or conversion to thoracotomy.","There were no major complications, perioperative mortality, or conversion to thoracotomy.",100.0
1465,10.1016/j.athoracsur.2018.05.023,Organisation,"Only 1 patient (1.7%) in group A and 1 patient (1.7%) in group B (p = 1) developed mild surgical site infection, which was treated by daily dressing and local antibiotics for 5 days.","Only 1 patient (1.7%) in group A and 1 patient (1.7%) in group B (p = 1) developed mild surgical site infection, which was treated by daily dressing and local antibiotics for 5 days",100.0
1465,10.1016/j.athoracsur.2018.05.023,Organisation,No patient developed Horner syndrome or gustatory sweating throughout the entire follow-up period.,No patient developed Horner syndrome or gustatory sweating throughout the entire follow-up period.,100.0
1465,10.1016/j.athoracsur.2018.05.023,Flexibility (delivery),"Sympathectomy was carried out by electrocoagulation hook at levels T2, T3, and T4 in group A and at level T3 and T4 in group B.","Sympathectomy was carried out by electrocoagulation hook at levels T2, T3, and T4 in group A and at level T3 and T4 in group B.",100.0
1465,10.1016/j.athoracsur.2018.05.023,Flexibility (delivery),Hand temperature monitoring is done routinely.,Hand temperature monitoring is done routinely.,100.0
1465,10.1016/j.athoracsur.2018.05.023,Flexibility (delivery),"After endoscopic confirmation of full lung reexpansion, a chest tube is removed.","After endoscopic confirmation of full lung reexpansion, a chest tube is removed.",100.0
1465,10.1016/j.athoracsur.2018.05.023,Follow-up,Data on patient reported outcomes were collected by regular visits in outpatient clinic and by direct telephone contact.,Data on patient reported outcomes were collected by regular visits in outpatient clinic and by direct telephone contact.,100.0
1465,10.1016/j.athoracsur.2018.05.023,Follow-up,There were no missing data for these variables.,There were no missing data for these variables.,100.0
1465,10.1016/j.athoracsur.2018.05.023,Follow-up,Patients were examined for the development of overdry hands and compensatory sweating.,patients were examined for the development of overdry hands and compensatory sweating,100.0
1465,10.1016/j.athoracsur.2018.05.023,Primary outcome,All patients had improvement of hand sweating.,All patients had improvement of hand sweating.,100.0
1465,10.1016/j.athoracsur.2018.05.023,Primary outcome,"Limited sympathectomy to the level of T3 and T4 has the same therapeutic effect obtained by T2, T3, and T4 sympathectomy with less complications, greater patient satisfaction, and better quality of life.","Limited sympathectomy to the level of T3 and T4 has the same therapeutic effect obtained by T2, T3, and T4 sympathectomy with less complications, greater patient satisfaction, and better quality of life.",100.0
1465,10.1016/j.athoracsur.2018.05.023,Primary outcome,It should be the technique of choice for treatment of primary palmar and axillary hyperhidrosis.,It should be the technique of choice for treatment of primary palmar and axillary hyperhidrosis.,100.0
1465,10.1016/j.athoracsur.2018.05.023,Primary analysis,Results are given as mean ± SD.,Results are given as mean ± SD.,100.0
1465,10.1016/j.athoracsur.2018.05.023,Primary analysis,"Significance between the 2 groups was determined by chi-square test comparing patients' data, complications, and patients' satisfaction.","Significance between the 2 groups was determined by chi-square test comparing patients' data, complications, and patients' satisfaction.",100.0
1465,10.1016/j.athoracsur.2018.05.023,Primary analysis,A p value of less than 0.05 was considered significant.,A p value of less than 0.05 was considered significant.,100.0
710,10.1186/s12931-015-0170-1,Eligibility,"The inclusion criteria were: [1] admission due to AECOPD, [2] COPD (GOLD stage III or IV, 2007), [3] living in the Trondheim municipality, [4] an ability to communicate in Norwegian, and [5] an ability to sign the informed consent form.","The inclusion criteria were: [1] admission due to AECOPD, [2] COPD (GOLD stage III or IV, 2007), [3] living in the Trondheim municipality, [4] an ability to communicate in Norwegian, and [5] an ability to sign the informed consent form.",100.0
710,10.1186/s12931-015-0170-1,Eligibility,The exclusion criterion was: [1] any serious diseases that might cause a very short lifespan (expected survival time less than six months).,The exclusion criterion was: [1] any serious diseases that might cause a very short lifespan (expected survival time less than six months).,100.0
710,10.1186/s12931-015-0170-1,Recruitment,All participants were recruited from the DTM or the Observation Unit (OU) at the TUH.,All participants were recruited from the DTM or the Observation Unit (OU) at the TUH.,100.0
710,10.1186/s12931-015-0170-1,Recruitment,The study nurses contacted all patients hospitalized at the DTM or the OU because of AECOPD and invited them to participate in the study provided their home address was in the municipality of Trondheim.,The study nurses contacted all patients hospitalized at the DTM or the OU because of AECOPD and invited them to participate in the study provided their home address was in the municipality of Trondheim.,100.0
710,10.1186/s12931-015-0170-1,Setting,"A single centre, prospective, open, controlled clinical study comparing COPD-Home integrated care (IC) with usual care (UC).","A single centre, prospective, open, controlled clinical study comparing COPD-Home integrated care (IC) with usual care (UC).",100.0
710,10.1186/s12931-015-0170-1,Organisation,The COPD-Home integrated care model reduced hospital utilization in patients with COPD III and IV with a persisting effect throughout the 2 years of follow-up., according to the COPD-Home model reduced hospital utilization in patients with COPD III and IV with a persisting effect throughout the 2 years of follow-up. ,89.87341772151899
710,10.1186/s12931-015-0170-1,Flexibility (delivery),"The core elements of the COPD-Home model were: [1] a call centre staffed by three specialist nurses for support and communication with patients and home-care nurses, and coordination between the various levels of care.","The core elements of the COPD-Home model were: [1] a call centre staffed by three specialist nurses for support and communication with patients and home-care nurses, and coordination between the various levels of care.",100.0
710,10.1186/s12931-015-0170-1,Flexibility (delivery),An individualized self-management plan introduced to the patient at discharge by the treating doctor and a specialist nurse.,an individualized self-management plan introduced to the patient at discharge by the treating doctor and a specialist nurse,100.0
710,10.1186/s12931-015-0170-1,Flexibility (delivery),"Joint visits at the patients home by the specialist nurse (together with the home-care nurse for participants receiving home services) at approximately three days, 14 days, six months, 12 months and 24 months post-discharge.","joint visits at the patients home by the specialist nurse (together with the home-care nurse for participants receiving home services) at approximately three days, 14 days, six months, 12 months and 24 months post-discharge",100.0
710,10.1186/s12931-015-0170-1,Flexibility (adherence),"All participants included in the COPD-Home study were free to use all available medical services, including their GPs.","All participants included in the COPD-Home study were free to use all available medical services, including their GPs.",100.0
