"","pragmeta_trial_id","Author","DOI","Title","Rater","Eligibility","Quote_comment_Eligibility","Recruitment","Quote_comment_Recruitment","Setting","Quote_comment_Setting","Organization","Quote_comment_Organisation","Flex. delivery","Quote_comment_Flexibility_del","Flex. adherence","Quote_comment_Flexibility_adh","Follow-up","Quote_comment_FU","Outcome","Quote_comment_Prim_out","Analysis","Quote_comment_Primary_anal","module"
"671",671,"Freeman, Jennifer; Hendrie, Wendy; Jarrett, Louise; Hawton, Annie; Barton, Andrew; Dennett, Rachel; Jones, Ben; Zajicek, John; Creanor, Siobhan","10.1016/S1474-4422(19)30190-5","Assessment of a home-based standing frame programme in people with progressive multiple sclerosis (SUMS): a pragmatic, multi-centre, randomised, controlled trial and cost-effectiveness analysis.","Perrine",5,"eligibility criteria make sense with the intervention and clincial objective","5","Individuals were invited consecutively until the allocated number of standing frames (dependent on commissioning costs) at each health-care organisation had been reached","5","8 UK centers of various type","4","downgraded one as standing frame ""gifted"" for free","3","the behaviour change approach extremelly standardized yet rest of intervention delivered at home by the patient himself","2","adherence measured through diary entry and phone call to enhance long-term engagement most likely part of the research and not usual care","3","additional visits with measures not part of usual care","4","Amended Motor Club Assessment patient-centered but downgraded one as no quality of life component","3","missing data not imputed and over 10% missing data","PragMS"
"673",673,"Garrett, M; Hogan, N; Larkin, A; Saunders, J; Jakeman, P; Coote, S","10.1177/1352458512461966","Exercise in the community for people with minimal gait impairment due to MS: an assessor-blind randomized controlled trial.","Perrine",4,"eligibility criteria make sense with the intervention, downgrade one becaus exclude patients under steroids. Not sure why","5","referral made through the patients usual care ","5","10 regions of Ireland","NA","unclear how instructors are selected","NA","to be discussed. Here one arm the physiotherapist is highly standardized with no flexibility ""Treatment fidelity was optimised by the instructors"" and unclear if mimics usual care or not. While fitness and yoga program are left at the discretion of the instructor","NA","to be discussed adherence measured for all (?) but only physiotherapy ensure they adhere?","5","assessed during training session so no additional visits","5","Multiple Sclerosis Impact Scale- 29, version 2 (MSIS-29v2), a patient-reported outcome measure that assesses the physical impact of MS.","2","complete cases and over 20% missing data without imputation method","PragMS"
"674",674,"Giovannoni, Gavin; Cohen, Jeffrey A; Coles, Alasdair J; Hartung, Hans-Peter; Havrdova, Eva; Selmaj, Krzysztof W; Margolin, David H; Lake, Stephen L; Kaup, Susan M; Panzara, Michael A; Compston, D Alastair S; CARE-MS II Investigators","10.1212/WNL.0000000000003319","Alemtuzumab improves preexisting disability in active relapsing-remitting MS patients.","Kinga",3,"""Methods have been published elsewhere."" Eligible patients were aged 1855 years, with the following clinical characteristics: relapsing-remitting multiple sclerosis fulfilling the 2005 McDonald diagnostic criteria;14 disease duration of 10 years or less; at least two attacks in the previous 2 years with at least one in the previous year; at least one relapse while on interferon beta or glatiramer after at least 6 months of treatment; expanded disability status scale (EDSS)15 scores of 5·0 or less; and cranial and spinal MRI lesions fulfilling protocol-defined criteria. Exclusion criteria included progressive forms of multiple sclerosis, previous cytotoxic drug use or investigational therapy, treatment within the previous 6 months with natalizumab, methotrexate, azathioprine or ciclosporin, and a history of clinically significant autoimmunity other than multiple sclerosis.","NA","NA","5","""Methods have been published elsewhere."", 194 academic medical centres and clinical practices in 23 countries","NA","NA","1","""12 mg/day on 5 consecutive days at month 0 and on 3 consecutive days at month 12) vs SC IFN-b-1a (Rebif; EMD Serono,Rockland, MA; 44 mg 3 times weekly"" administered intravenously no felxibility ","NA","""Alemtuzumab was infused intravenously on 5 consecutive days at month 0 and 3 consecutive days at month 12"", ""Interferon beta 1a (44 ?g) was administered subcutaneously 3 times per week after dose titration."", administered intravenously - no adherence ","2",""" Blinded raters performed EDSS assessments at baseline, every 3 months, and when relapse was suspected."", ""Raters administered the MSFC16 3 times before baseline to attenuate practice effects, then every 6 months"", EDSS assesst ""when relapse was suspected"" (unscheduled visit?), long list of collected data collected ","3",""" time to CDI ($1.0-point EDSS decrease from baseline sustained for $3 or $6 months, in patients with baseline score $2.0); proportion worsened ($0.5-point increase), stable, or improved ($0.5-point decrease) from baseline EDSS; mean change from baseline in MSFC and MSFC plus SLCLA scores and their components; and proportions worsened ($0.5 SD decrease), stable, or improved ($0.5 SD increase) from baseline MSFC scores."", Primary outcome was relevant to the provider delivering the intervention and it could be measured in usual care","NA","drop-out 15%, ","PragMS"
"675",675,"Grossman, P; Kappos, L; Gensicke, H; D'Souza, M; Mohr, D C; Penner, I K; Steiner, C","10.1212/WNL.0b013e3181f4d80d","MS quality of life, depression, and fatigue improve after mindfulness training: a randomized trial.","Vy",5,"usual exclusion criteria, nothing too extreme","5","""information via the outpatient neuro
clinic of the University Hospital Basel, other physicians, or advertisements posted in the Swiss Multiple Scleros
Society Bulletin""","NA","no mention of where the study was conducted or how many centers were included","5","no extra staff needed; only experienced certified teachers with +9 years of experience","NA","no mention of such info","NA","no mention of such info","5","""preintervention, postintervention, and 6-month follow-up""","5","outcome: patient-related outcomes","5","ITT was applied","PragMS"
"677",677,"Hermens, Hermie; Huijgen, Barbara; Giacomozzi, Claudia; Ilsbroukx, Stephan; Macellari, Velio; Prats, Elisabet; Rogante, Marco; Schifini, Maria Francesca; Spitali, Maria Cristina; Tasies, Sonia; Zampolini, Mauro; Vollenbroek-Hutten, Miriam","NA","Clinical assessment of the HELLODOC tele-rehabilitation service.","Kinga",5," > 18 years; established diagnosis of the specific pathological condition MS, stroke or TBI, nine hole peg test (NHPG) performed in more than 25 seconds; ability to move at least one peg in 180 seconds during the NHPG; sufficient autonomous functioning; internet connection or telephone line and reachable internet provider; (7) clinical status stable; (8) discharged from hospital or rehabilitation setting  person lives at home. Exclusions were: A) disturbed upper limb function not related to MS, TBI or stroke; B) serious cognitive and/or behavioral problems; C) serious emotional problems; D) major visual problems; (E) communication problems; F) medical complications; G) other problems possibly contra-indicating autonomous exercise at home","NA","""The physicians of the three rehabilitation centres included patients following the inclusion and exclu sion criteria"" they did not specify how they recruited participants ","3","""Unità Organica di Riabilitazione Intensiva Neuromotoria (UORIN, Italy), Foundation Institute Guttmann (FPING, Spain) and from National Multiple Sclerosis Centre (NMSC, Belgium).""  3 specialist centers, ","5","""The intervention group underwent one month of usual care, followed by approximately 4 training sessions with the H-CAD system in the hospital. "", "" the pa tients had an average of one training session a day lasting 30 minutes for at least 5 days a week."", "" The patient and the therapist had a weekly scheduled videoconference. After the month of exercising with the H-CAD system, the subjects continued their usual care at home."" additional trainig as a part of intervention ","NA","NA","NA","NA","4","3 follow-ups, ""The outcome measures on functioning level were: the Action Research Arm Test (ARA), Wolf Motor Function Test (WMFT), the Barthel Index (BI) and the Abilhand questionnaire. The disability outcome measure was: the Nine Hole Peg Test (NHPT) and the health outcome measure was the MOS 36-item short-form health survey (SF-36). ""","5","""performance of the affected arm on functioning as well on disability level"" ","NA","drop out 19%","PragMS"
"678",678,"Higginson, Irene J; McCrone, Paul; Hart, Sam R; Burman, Rachel; Silber, Eli; Edmonds, Polly M","10.1016/j.jpainsymman.2009.07.002","Is short-term palliative care cost-effective in multiple sclerosis? A randomized phase II trial.","Perrine",5,"eligibility criteria make sense with the intervention and clincial objective","5","made through referrals","5","Patients were visited in their own homes or sometimes outpatient clinics, nursing homes, or hospital. Seems like they adapted to what was best for the patient","4","many intermediates hence the downgrade as unclear if part of intervention or for research purpose only","NA","NA","NA","NA","3","4 interviews in total , unclear if addtional visits or done at the same time as the delivery of the intervention","5","Palliative Care Outcome Scale (POS-
8","4","more than 10% and no imputation methofd","PragMS"
"1770",1770,"Hoogstraten, M. C.; Minderhoud, J. M.","10.1111/j.1600-0404.1990.tb01590.x","NA","Jacopo",5,"Only patients with a clinical or laboraton- supported definite diagnosis of MS according to the
Poser criteria (6), suffering from a relapse, were
included. () Patients with contraindications to bed rest or ACTH-treatment, such as hypersensitivity to ACTH, acute infections, cardial insufficiency, psychosis, pregnancy, Cushing syndrome or peptic ulcer, were excluded.","NA","NA","4","Three neurological departments in the Netherlands
(University Hospital Groningen, Streekziekenhuis
Almelo, Diaconessenhuis Meppel) participated in
this study.","4","Patients were allocated in a stratified randomisation
to treatment with either bed rest during 3 weeks and
a synthetic ACTH depotpreparation (1 mg,
100 units, tapered over 12 weeks), and Vitamin
B-complex or bed rest and Vitamin B-complex intramuscular
injections in the same scheme ","NA","NA","NA","NA","5","Follow-up was performed in the 6th and 12th
week of treatment and 6, 9, and 12 months after the
start of treatment. Assessment included: EDSS, FS,
AI, ISS, in the 6th and 12th week an overall impression
by both the patient and the neurologist 7-point scale (from much worse via unchanged to
much better), and on a 3-point scale (worse, unchanged,
better) in the 6th, 9th and 12th month","NA","NA","5","NA","PragMS"
"1528",1528,"Humphreys, Ioan; Drummond, Avril E. R.; Phillips, Ceri; Lincoln, Nadina B.","10.1177/0269215513488608","Cost-effectiveness of an adjustment group for people with multiple sclerosis and low mood: a randomized trial","Vy",3,"eligibility: confirmed diagnosis, ""if they scored three or more on the GHQ-12 or eight or more on the HADA or HADD sub-scales."" Not eligible if ""had a diagnosis of MS for less than 12 months"" <- why is having less than 12 months be an exclusion criterion?","3","although participants were ID'ed through a registry, ""referrals were invited from specialist MS nurses and advertisements placed in MS Society publications."" Extra effort on recruitment process, ""Recruitment continued until eight participants had completed the baseline assessments and were all able to attend group treatment at the same location"" or ""who could attend groups on the same day."" a lot of effort put in for recruitment","5","group treatment offered ""at the same location""","4","""The groups were delivered by a research psychologist under the supervision of a clinical psychologist, who was experienced in working with people with MS""; downgrade because the intervention was delivered by a research psychologist ","4","""Treatment comprised the group programme developed by Forman and Lincoln. The treatment manual was used to ensure consistency in the delivery of the sessions."" downgrade for using the treatment manual, indicating specified direction was given on how to deliver the intervention","4","downgrade due to these reasons, ""If participants failed to return outcome questionnaires they were telephoned once to remind them. If questionnaire items were missed a researcher telephoned to complete the missing items over the phone.""","5","2 follow-ups and spaced 4 months apart","NA","primary outcome: General Health Questionnaire 12 (GHQ-12) 4 months' follow-up, a measure of psychological distress; I acknowledge that it is relevant to participants but how much is the question; there isn't much info on the questionnaire. ","NA","""The primary analysis was the cost effectiveness of an adjustment group, as compared with a usual care control group for people with multiple sclerosis 
who had low mood.""","PragMS"
"679",679,"Jongen, Peter Joseph; van Mastrigt, Ghislaine A; Heerings, Marco; Visser, Leo H; Ruimschotel, Rob P; Hussaarts, Astrid; Duyverman, Lotte; Valkenburg-Vissers, Joyce; Cornelissen, Job; Bos, Michel; van Droffelaar, Maarten; Donders, Rogier","10.1371/journal.pone.0223482","Effect of an intensive 3-day social cognitive treatment (can do treatment) on control self-efficacy in patients with relapsing remitting multiple sclerosis and low disability: A single-centre randomized controlled trial.","Vy",4,"participants and support partner need to ""[have] access to the internet for performing the web-based assessments""","5","""recruited from all over the Netherlands by the patient organisation NMSFinterested patients were contacted by a registered nurse experienced in MS (MH) by phone to check diagnosis and eligibility criteria""","NA","no info on how or where participants attended the 3 day treatment","4","""The multidisciplinary team included a psychiatrist, psychiatric nurse, neurologist, registered nurse specialized in MS, physiotherapist, dance therapist, and a
person with MS""","NA","no mention of such info","NA","no mention of such info","4","one, three and six months follow-up; not many follow-ups; ""For patients the completion of the questionnaires took about 45 minutes and for partners about five minutes per time point."" assessment is quite long for each follow-up","5","self-efficacy","3","""full analysis set (intention-to-treat population)"" however attrition is 20% and 28% and no mention of how to handle missing data","PragMS"
"1529",1529,"Khayeri, Fereydoon; Rabiei, Leili; Shamsalinia, Abbas; Masoudi, Reza","10.1016/j.ctcp.2016.09.009","Effect of Fordyce Happiness Model on depression, stress, anxiety, and fatigue in patients with multiple sclerosis.","Vy",3,"inclusion criteria are open/not restrictive; ""the exclusion criteria having history of other psychiatric disorders including major depressive disorder (according to the medical records and the physician's examinations) or bipolar disorder (except for cognitive disorders by which MS is characterized), substance dependency, any neurological disorders, history of taking corticosteroids or the disease recurrence within the previous six months."" <- Wouldn't people with bipolar disorder benefit from this intervention? how about people with history of taking corticosteroids who no longer taking those? some exclusion criteria seem to help selecting healthy patients only.","5","""The study population consists the patients referring to the Multiple Sclerosis Society of Isfahan"" <- recruiting participants right from society","NA","unable to assess because there's no description of ""routine protocol"" to compare the intervention with; ""For the control group, a routine protocol was conducted."" What does routine protocol consist of?","NA","no info on personnel conducting the study or training if there's any","3","highly specific instruction on how to deliver the intervention in terms of frequency, activities, etc.; the intervention itself is very structured and experimental, ""..., such that the scientific materials were offered within the first half-time of each session and, after a rest, the group discussions and questioning and answering were run about the drills of the subject of interest in the second half-time. At the end of each session, the participants were asked to run through certain drills empirically outside research environment."" ","5","no mention of adherence or compliance monitoring","5","1 follow-up 3 months after intervention","5","patient-focus outcomes ""depression, stress, anxiety, and fatigue""","NA","no mention of method, e.g. ITT, PP","PragMS"
"680",680,"Kiropoulos, Litza A; Kilpatrick, Trevor; Holmes, Alex; Threader, Jennifer","10.1186/s12888-016-1152-7","A pilot randomized controlled trial of a tailored cognitive behavioural therapy based intervention for depressive symptoms in those newly diagnosed with multiple sclerosis.","Kinga",2,"excluding people who live in a rural area, people who cannot speak English fluently etc","3","recruted in usual care and used adds and MS relased websites and local press","1","one big university hospital","4","increased avaliability of healthcare professionals","5","tailored progrma","NA","NA","3","3 times follow-up (standard of care), no unschduled visits","5","level of depresive symptoms ","NA","NA","PragMS"
"1771",1771,"Langeskov-Christensen, M.; Hvid, L. G.; Jensen, H. B.; Nielsen, H. H.; Petersen, T.; Stenager, E.; Hamalainen, P.; Dalgas, U.","10.1177/1352458520973619","Efficacy of high-intensity aerobic exercise on cognitive performance in people with multiple sclerosis: A randomized controlled trial","Jacopo",4,"Inclusion criteria were 18-65 years, a definite MS diagnosis according to the McDonald criteria, Expanded Disability status Scale (EDSS) score ?6.0, and ability to transport oneself back and forth from the test and training facility. Exclusion criteria were dementia (ICD10 diagnosis or dementia
symptoms in hospital journals), comorbidities preventing participation (e.g., cardiovascular disease
or metabolic diseases), pregnancy, alcohol abuse, pacemaker, relapse within 8 weeks before inclusion,
or participation in systematic aerobic training (i.e., moderate to high intensity training more than
twice per week) prior to inclusion. (langeskov2018)","5","they were invited (but not selected), at consultations, to participate in the primary study comprising a long-term exercise intervention (langeskov2018) ","4","Eighty-six participants were recruited from Danish
MS clinics (Aarhus University Hospital, Viborg
Regional Hospital, Odense University Hospital, and
the MS Clinic of Southern Jutland (Kolding)). (langeskov2020)","4","The PAE group underwent supervised highintensity
PAE for 24 weeks, while the waitlist group
continued their habitual lifestyle (including ongoing
physiotherapy treatment) without commencing PAE.
After 24 weeks, the waitlist group underwent the same
PAE intervention, while the initial PAE group was
encouraged to continue community-based self-guided
exercise without supervision of the researchers. The
study design and flowchart are illustrated in Figure 1.
At baseline (T0), after 24 (T24) and after 48 (T48)
weeks, participants performed the BRB-N, the Major
Depression Inventory (MDI), and a cardiorespiratory
fitness test (VO2-max test). Each test session was separated
by at least 48 hours from the last exercise bout","NA","NA","NA","NA","NA","NA","NA","(prinary outcome not specified)","5","All longitudinal
data for the total group and the cognitively impaired
subgroup were analyzed using an intention-to-treat linear
mixed effects model with time and group as the factors
of interest.","PragMS"
"681",681,"Learmonth, Y C; Paul, L; Miller, L; Mattison, P; McFadyen, A K","10.1177/0269215511423946","The effects of a 12-week leisure centre-based, group exercise intervention for people moderately affected with multiple sclerosis: a randomized controlled pilot study.","Vy",4,"short list of exclusion; inclusion criteria include ""access to the intervention sites using their own or public transport"" this requirement limits a number of qualifying participants","5","""People were recruited from the Managed Clinical Network (MCN) for MS within NHS Ayrshire and Arran""; ""invitation letters and participant information sheets"" were sent","4","""The intervention took place at two different geographical locations"" -> 2 local hospital's rehabilitation units","5","""...leisure centre based exercise classled by a physiotherapist and a fitness instructor""","NA","could not find info","2",""" Subjects were provided with exercise progress cards and they were asked to record which level they performed each exercise at each session. Attendance of subjects as each class was recorded""","4","2 follow-ups and the between-follow-ups periods are not spaced out, ""after eight weeks and after twelve weeks of the intervention""","5","""primary outcome measure was 25 Foot Walk time (T25FW)""","3","ITT, 25% attrition in experimental group, address missing data by ""using a univariate General Linear Model (GLM) ANOVA which allowed for missing data""","PragMS"
"682",682,"Mayo, Nancy E; Mate, Kedar Kv; Reid, Ryan; Duquette, Pierre; Lapierre, Yves; Barclay, Ruth; Bayley, Mark; Bartlett, Susan; Andersen, Ross","10.1177/0269215520923089","Participation in and outcomes from a 12-month tailored exercise programme for people with multiple sclerosis (MSTEP©): a randomized trial.","Perrine",4,"eligibility criteria make sense with the intervention, downgrade one because do not understand the relevance of the diagnosis  after 1994 criterion","4","recruited through MS clinic but downgraded because use media advertisement","5","MS clinics in 3 Canadian cities from different regions","NA","unclear who is doing what","NA","detailled description of the work out program but no information on the delivery","2","not phrased as adherence but ""All participants were contacted every two weeks during the first two months, then monthly thereafter by the exercise instructor by telephone or email for follow-up by the instructor. The purpose of follow-up contacts is to provide an opportunity to ask any questions they have and also to facilitate long-term retention in the study.""","2","some what intensive as visits outside of usual care with measures done which are not part of of the usual care and specific to the trial","1","surrogate primary outcome""exercise capacity as measured by peak oxygen consumption (VO2peak) using a modified Bruce protocol on the cycle ergometer""","1","not an ITT yet also used imputation method and over 25% missing data","PragMS"
