"","pragmeta_trial_id","Author","DOI","Title","Rater","Eligibility","Quote_comment_Eligibility","Recruitment","Quote_comment_Recruitment","Setting","Quote_comment_Setting","Organization","Quote_comment_Organisation","Flex. delivery","Quote_comment_Flexibility_del","Flex. adherence","Quote_comment_Flexibility_adh","Follow-up","Quote_comment_FU","Outcome","Quote_comment_Prim_out","Analysis","Quote_comment_Primary_anal","module"
"671",671,"Freeman, Jennifer; Hendrie, Wendy; Jarrett, Louise; Hawton, Annie; Barton, Andrew; Dennett, Rachel; Jones, Ben; Zajicek, John; Creanor, Siobhan","10.1016/S1474-4422(19)30190-5","Assessment of a home-based standing frame programme in people with progressive multiple sclerosis (SUMS): a pragmatic, multi-centre, randomised, controlled trial and cost-effectiveness analysis.","Julian",5,"Key inclusion criteria were age older than 18 years, a diag­nosis of progressive multiple sclerosis (primary or sec­on­dary) according to McDonalds criteria,21 and a score of 6·58·0 on the Expanded Disability Status Scale (EDSS). Key exclusion criteria were being within 3 months of ceasing a multiple sclerosis disease-modify­ing drug, receiving steroid treatment within the preced­ing month, or part­icipat­ing in another clinical trial.","5","Participants were recruited through eight health-care organisations, including the UK National Health Service (NHS) Trusts, social enterprises, and third sector mul­tiple sclerosis therapy centres, in two regions (DevonCornwall and East Anglia) of the UK. Individuals were invited consecutively until the allocated number of standing frames (dependent on commissioning costs) at each health-care organisation had been reached.","5","multicentre, home-based","5","no additional training mentioned.","3","more or less strict procedures: The person with multiple sclerosis and their standing assistant (typically their spouse) engaged in two face-toface, home-based, 60-min physiotherapy sessions, aimed at setting up, implementing, and progressing the standing programme according to ability, supplemented by online advice and DVDs. These were supported by six scripted telephone calls (15 min per call) that used a behaviourchange approach22 efficacy, intended to enhance long-term engagement.
In line with previous research,14
to increase the participants self-
participants were asked to stand in the frame for 30 min three times per week over 20 weeks, and to record the frequency and duration of each stand in a daily diary. This allowed for a graduated introduction to standing. At the end of the 20-week period, participants were encouraged to continue to regularly stand, although no further physiotherapy support was provided. On trial completion, participants were able to keep the frame, providing they used it at least once per week.","3","adherence measured by diary/calls","3","downgraded because of several additional home visits","5","The prim­
ary outcome was motor function","3",">12% dropout, there was no imputation of missing baseline or week 36 scores for the primary analysis); modified intention-to-treat population (excluding only patients who were deemed ineligible after randomisation, those who withdrew from the trial and were unwilling for their previously collected data to be used, or those who did not provide baseline and week 36 measurements)","PragMS"
"673",673,"Garrett, M; Hogan, N; Larkin, A; Saunders, J; Jakeman, P; Coote, S","10.1177/1352458512461966","Exercise in the community for people with minimal gait impairment due to MS: an assessor-blind randomized controlled trial.","Julian",5,"Eligible participants were over 18 years of age and had a diagnosis of MS that was confirmed by a consultant physician or neurologist. Persons with MS were excluded if they had a previous relapse or began steroid therapy in the 12 weeks prior to participating in the first assessment, were pregnant, or had a comorbidity that severely impacted their ability to safely participate in exercise.","NA","Our study participants were referred to the project by themselves, their care-giver, MSI, chartered physiotherapists, neurologists, general practitioners or clinical nurse specialists. ","5","multi-centered in the community: The study was approved by each ethics committee in the 10 regions of Ireland where the study took place.

They were delivered in community centres such as local gyms, hotels and health centres. Participants were randomised to a physiotherapist (PT)-led class, fitness instructor (FI)-led class, yoga class (Y) or to the control group (CG).","5","Not much additional resources needed, no training reported: They were delivered in community centres such as local gyms, hotels and health centres. Participants were randomised to a physiotherapist (PT)-led class, fitness instructor (FI)-led class, yoga class (Y) or to the control group (CG).","5","working to an intensity whereby the aim was to be failing on the 12th repetition of the exercise, with the load increased by 25%, when 12 repetitions were achieved with ease. Three sets of 12 repetitions of each exercise were completed at a self-paced rate. In addition to the once-weekly class, participants were advised to exercise aerobically in the mode of their choice (walking, cycling, swimming or running), with the aim of exercising for 30 minutes, twice a week, at an intensity of 65% of the heart rate max, or a Borgs rate of perceived exertion of 1114.The intervention was progressed by adding an additional, self-directed PRT and aerobic session from week 6.

The yoga and FI-led classes were not defined, as this pragmatic trial aimed to establish the effectiveness of and content of these interventions in the manner that people with MS would likely encounter them within the community.","3","Treatment fidelity was optimised by the instructors and participants documenting programme adherence.

Assessed and recorded intervention uptake at regular intervals (more often than in
routine care): Participants who were allocated to PT-led exercise attended a mean of ?8.1 classes (95% CI 7.5, 8.5). Participants allocated to yoga attended a mean of 7.8 classes (95% CI 7.2, 8.3) and participants allocated to FI-led exercise attended a mean of 7.3 classes (95% CI 6.7, 7.9). In the PT-led programme, there was a home exercise component consisting of 10 aerobic sessions to be performed during weeks 1  5 (i.e. resulting in a frequency of two per week). Data was returned for 47 (73%) participants. There was a mean reported adherence of 9.58 (95% CI 8.3, 10.8) sessions in total. There was a mean reported completion of 10.2 (95% CI 8.9, 11.5) of the 12 recommended home aerobic sessions and 3.5 (95% CI 3.1, 3.6) of the four home-based progressive resistance exercise sessions from weeks 6  10.","5","Primary and sec. outcomes after excercises: Other measures were the MSIS-29v2s psychological component, the Modified Fatigue Impact Scale (MFIS)15 and the Six-Minute Walk Test (6MWT).16 Our protocol originally intended to measure Hand Held Dynamometry and Physiological Cost Index, but logistical difficulties and lack of sufficient equipment precluded this data from being collected.
Participants who were allocated to PT-led exercise attended a mean of ?8.1 classes (95% CI 7.5, 8.5). Participants allocated to yoga attended a mean of 7.8 classes (95% CI 7.2, 8.3) and participants allocated to FI-led exercise attended a mean of 7.3 classes (95% CI 6.7, 7.9). In the PT-led programme, there was a home exercise component consisting of 10 aerobic sessions to be performed during weeks 1  5 (i.e. resulting in a frequency of two per week). Data was returned for 47 (73%) participants. There was a mean reported adherence of 9.58 (95% CI 8.3, 10.8) sessions in total. There was a mean reported completion of 10.2 (95% CI 8.9, 11.5) of the 12 recommended home aerobic sessions and 3.5 (95% CI 3.1, 3.6) of the four home-based progressive resistance exercise sessions from weeks 6  10.","5","The primary outcome was the Multiple Sclerosis Impact
Scale (MSIS) 29v2 physical component","1","included only completers","PragMS"
"674",674,"Giovannoni, Gavin; Cohen, Jeffrey A; Coles, Alasdair J; Hartung, Hans-Peter; Havrdova, Eva; Selmaj, Krzysztof W; Margolin, David H; Lake, Stephen L; Kaup, Susan M; Panzara, Michael A; Compston, D Alastair S; CARE-MS II Investigators","10.1212/WNL.0000000000003319","Alemtuzumab improves preexisting disability in active relapsing-remitting MS patients.","Julian",3,"Taken from reference 12: https://doi.org/10.1016/S0140-6736(12)61768-1

Eligible patients were aged
1855 years, with the following clinical charac teristics:
relapsing-remitting multiple sclerosis fulfi lling the 2005
McDonald diagnostic criteria;14 disease dura tion of
10 years or less; at least two attacks in the previous
2 years with at least one in the previous year; at least one
relapse while on interferon beta or glatiramer after at
least 6 months of treatment; expanded disability status
scale (EDSS)15 scores of 5·0 or less; and cranial and","4","Taken from reference 12: https://doi.org/10.1016/S0140-6736(12)61768-1

we
enrolled patients from 194 academic medical centres
and clinical practices in 23 countries between","3","No detailed information; assuming participants received subcutaneous medication in the trial sites (see ref 12)","3","NA","3","NA","2","Participants were excluded due to non-compliance, see figure 1 in ref 12.","NA","NA","5","The following CARE-MS II tertiary endpoints were assessed: time to CDI ($1.0-point EDSS decrease from baseline sustained for $3or $6 months, in patients with baseline score $2.0)","NA","NA","PragMS"
"675",675,"Grossman, P; Kappos, L; Gensicke, H; D'Souza, M; Mohr, D C; Penner, I K; Steiner, C","10.1212/WNL.0b013e3181f4d80d","MS quality of life, depression, and fatigue improve after mindfulness training: a randomized trial.","Julian",4,"downgraded because of excluded pregnant women","4","downgraded because they used advertisements","NA","NA","5","In all, 6 MBI courses for the experimental arm of the study were individually conducted by 2 experienced, certified teachers, each with #9 years teaching experience.","NA","NA","5","adherence measured but not on a regular base: MBI participants also completed a postintervention questionnaire regarding adherence to type, frequency, and duration of homework exercises performed during the previous 4 weeks.

Attrition was low in the intervention group (5%) and attendance rate high (92%).","5","no reason tzo downgrade","5","Primary outcomes of HRQOL, depression, and fatigue were validated PRO measures","5","Primary outcomes of HRQOL, depression, and fatigue were validated PRO measures
Intention-to-treat analyses are reported. Data ofmissing study patients were imputed by linear multiple regression that adjusted for age, gender, and disease progression (entry EDSS score; STATISTICA 6.0).","PragMS"
"677",677,"Hermens, Hermie; Huijgen, Barbara; Giacomozzi, Claudia; Ilsbroukx, Stephan; Macellari, Velio; Prats, Elisabet; Rogante, Marco; Schifini, Maria Francesca; Spitali, Maria Cristina; Tasies, Sonia; Zampolini, Mauro; Vollenbroek-Hutten, Miriam","NA","Clinical assessment of the HELLODOC tele-rehabilitation service.","Julian",2,"The
subjects were eligible for recruiting if they met the following criteria: (1) age > 18 years; (2) established diagnosis of the specific pathological condition MS, stroke
or TBI; (3) nine hole peg test (NHPG) performed in
more than 25 seconds; (4) ability to move at least one
peg in 180 seconds during the NHPG; (5) sufficient
autonomous functioning; (6) internet connection or
telephone line and reachable internet provider; (7) clinical status stable; (8) discharged from hospital or rehabilitation setting  person lives at home. Exclusions
were: A) disturbed upper limb function not related to
MS, TBI or stroke; B) serious cognitive and/or behavioral problems; C) serious emotional problems; D)
major visual problems; (E) communication problems;
F) medical complications; G) other problems possibly
contra-indicating autonomous exercise at home. 

Intervention details: The intervention group underwent one month of
usual care, followed by approximately 4 training
sessions with the H-CAD system in the hospital.
The actual intervention with the H-CAD system
at home consisted of one month, whereby the patients had an average of one training session a day
lasting 30 minutes for at least 5 days a week. The
following exercises are part of the H-CAD system:
key, light bulb, book, jar, writing, checkers and keyboard tasks. This set of exercises summarizes the
movements for a correct functional activity of the
upper limb of the patient for reaching, grasping,
lateral pinch, pinch grip, holding, manipulation and
finger dexterity. The patient and the therapist had a
weekly scheduled videoconference. After the month
of exercising with the H-CAD system, the subjects
continued their usual care at home.","5","Patients were recruited from Unità Organica di
Riabilitazione Intensiva Neuromotoria (UORIN,
Italy), Foundation Institute Guttmann (FPING,
Spain) and from National Multiple Sclerosis Centre
(NMSC, Belgium).","4","specialised centers ","5","NA","NA","NA","NA","NA","4","downgraded because of intensive assessments","5","NA","NA","NA","PragMS"
"678",678,"Higginson, Irene J; McCrone, Paul; Hart, Sam R; Burman, Rachel; Silber, Eli; Edmonds, Polly M","10.1016/j.jpainsymman.2009.07.002","Is short-term palliative care cost-effective in multiple sclerosis? A randomized phase II trial.","Julian",3,"downgraded because needs assessment for pc is not clear and some qualified criteria: Inclusion criteria were patients in South East London, living with MS and deemed (by clinicians) to have one or more ofunresolved symptoms, psychosocial concerns, end-of-life issues, progressive illness, or complex needs (i.e., palliative care needs).
...
Exclusion criteria included if the referring staff or the screening deemed patients had very urgent needs or were deteriorating rapidlywhenimmediate referral to the service was offered","NA","No detailed information: Patients in South East London who were severely affected by MS were referred by clinicians to the trial

Referrals were screened by a consultant in palliative medicine who was independent from delivering the service (P. M. E./I. J. H)","4","multi-centered but no information on how much centers, only one region in GB","5","Not downgraded because of additional resources needed, part of the study: This comprised one part-time consultant in palliative medicine, one part-time clinical nurse specialist, one administrator, and one psychosocial worker, and was based in a large teaching hospital. Patients were visited in their own homes or sometimes outpatient clinics, nursing homes, or hospital. The PCT undertook assessments, suggested ways to improve physical, emotional, social, and other problems, provided specialist welfare benefits advice and bereavement support, and liaised with and acted as a catalyst for local services, both primary and specialist teams. After initial assessment, treatment was recommended.18,20 Care was provided in a similar way to palliative care consultation services described elsewhere,9,11 although the PCT worked in both hospital and the community, and so could visit patients wherever they were.","5","assuming intervention indiv. by nature, plus: Patients were visited in their own homes or sometimes outpatient clinics, nursing homes, or hospital.","5","no other than process outcomes (resource use and costs)","4","downgraded because of intensive assessments, personal interviews: We conducted face-to-face interviews with patients and gave self-complete questionnaires to caregivers. At baseline, we collected demographic and clinical data, and the patients functional status (both self-report, using the United Kingdom Neurological Disability Scale [UNDS]22 and interviewer-assessed using the Expanded Disability Status Scale [EDSS],23 administered by a consultant neurologist [E. S.]). We collected outcome and cost data at baseline (before randomization) and at 6, 12, 18 (only control groupdafter they received PCT), and 24 weeks.","NA","NA","4","ITT and <25% attrition with information on stat. Methods to adress the missings: We planned an intention-to-treat analysis, irrespective of whether patients were assessed as having palliative care needs or the nature of contact with the PCT. We tested the differences between the two arms (expressed as differences between follow-up and baseline interviews) using one-way analysis of variance (ANOVA), checking statistical assumptions and adjusting for baseline scores. Our primary point of analysis was at 12 weeks (before the control group received the PCT). We separately explored missing data20 and tested imputations (last value carried forward, next value carried backward, and mean value) in a sensitivity analysis.","PragMS"
"1770",1770,"Hoogstraten, M. C.; Minderhoud, J. M.","10.1111/j.1600-0404.1990.tb01590.x","NA","Julian",5,"Justified criteria","NA","NA","5","multicentered: Three neurological departments in the Netherlands (University Hospital Groningen, Streekziekenhuis Almelo, Diaconessenhuis Meppel) participated in this study.","5","NA","NA","NA","NA","NA","4","downgraded because iof frequent and intensive assessments: Follow-up was performed in the 6th and 12th week of treatment and 6, 9, and 12 months after the start of treatment. Assessment included: EDSS, FS, AI, ISS, in the 6th and 12th week an overall impres- sion by both the patient and the neurologist in a
7-point scale (from much worse via unchanged to much better), and on a 3-point scale (worse, un- changed, better) in the 6th, 9th and 12th month.","NA","NA","NA","NA","PragMS"
"1528",1528,"Humphreys, Ioan; Drummond, Avril E. R.; Phillips, Ceri; Lincoln, Nadina B.","10.1177/0269215513488608","Cost-effectiveness of an adjustment group for people with multiple sclerosis and low mood: a randomized trial","Julian",3,"downgraded because of exclusion criteria: Patients were excluded at this visit if they had had a diagnosis ofMS for less than 12 months, were unable to speak and understand conversational English, were unable to attend group sessions if offered group treatment or were engaged in other psychological research.

Some Criteria justified:
in summary, participants were included who scored >2 on the General Health Questionnaire 12,7 a measure of psychological distress, or >7 on the anxiety and depression subscales

From parental trial report: Patients with a confirmed diagnosis of MS were identifiedfroma register ofpatients attending clinics for people with MS at Nottingham University Hospitals NHS Trust. They were contacted by letter and invited to take part in a study on MS and mood. In addition, referrals were invited from specialist MS nurses and advertisements placed in MS Society publications inviting those interested in being involved to contact the researchers. Potential participants were sent a screening pack containing information about the study and two mood measures to complete and return by post. These were the General Health Questionnaire 12 (GHQ-12),14 a measure of psychological distress, and the Hospital Anxiety and Depression Scale (HADS),15 a measure of anxiety (HADA) and depression (HADD). Patients were eligible for inclusion if they scored three or more on the GHQ-12 or eight or more on the HADA or HADD sub-scales.","3","Downgraded because of additional recr. Efforts: Patients with a confirmed diagnosis of MS were identifiedfroma register ofpatients attending clinics for people with MS at Nottingham University Hospitals NHS Trust. They were contacted by letter and invited to take part in a study on MS and mood. In addition, referrals were invited from specialist MS nurses and advertisements placed in MS Society publications inviting those interested in being involved to contact the researchers.","4","single center","4","part of the intevrention: Those allocated to intervention were invited to attend a psychological adjustment group for six sessions over 12 weeks. The groups were delivered by two Band 5 assistant psychologists, who were supervised by a Band 8a clinical psychologist, experienced in working with people with multiple sclerosis.","NA","Lacks details: the treatment manual was used to ensure consistency in the delivery of the sessions.","NA","NA","4","Down graded because of reminders: If participants failed to return outcome questionnaires they were telephoned once to remind them. If questionnaire items were missed a researcher telephoned to complete the missing items over the phone.","5","primary outcome measure, the GHQ-12.","5"," ITT and <10% attrition","PragMS"
"679",679,"Jongen, Peter Joseph; van Mastrigt, Ghislaine A; Heerings, Marco; Visser, Leo H; Ruimschotel, Rob P; Hussaarts, Astrid; Duyverman, Lotte; Valkenburg-Vissers, Joyce; Cornelissen, Job; Bos, Michel; van Droffelaar, Maarten; Donders, Rogier","10.1371/journal.pone.0223482","Effect of an intensive 3-day social cognitive treatment (can do treatment) on control self-efficacy in patients with relapsing remitting multiple sclerosis and low disability: A single-centre randomized controlled trial.","Julian",4,"The study population was low-disability RRMS patients with or without support partner. Eligibility criteria for patients: diagnosis RRMS since at least one year, EDSS score 4.0, no symptoms suggestive ofa relapse, no relapse in the preceding four weeks, willing and capable ofparticipating in the investigations, and having access to the internet for performing the web-based assessments. Eligibility criteria for support partners: willing and capable ofpartici-
pating in the investigations, and having access to the internet.

The criterion ofEDSS 4.0 was checked by assessing whether the patient was self-sufficient and able to walk 500 meters without aid or rest [11]. In addition, to assess the degree of disability, the EDSS score was further quantified on-site by an experienced neurologist, prior to the start ofCDT, in patients randomized to the intervention; and in those control patients who chose to receive CDT after study completion.","4","Participants were recruited from all over the Netherlands by the patient organisation NMSF, Rotterdam, the Netherlands. Interested patients were contacted by a registered nurse experienced in MS (MH) by phone to check diagnosis and eligibility criteria.","5","CDT was given during three consecutive days in Zorghotel Spelderholt, Beekbergen, the Netherlands, a facility especially equipped for the accommodation ofpeople with impaired health. The number ofsessions, their schedule, and their duration are presented in the Appendix (s","4","Multidisciplinary team. The multidisciplinary team included a psychiatrist, psychiatric nurse, neurologist, registered nurse specialized in MS, physiotherapist, dance therapist, and a person with MS [9]. All professional team members were formally trained in their respective disciplines and all members were experienced in the field ofMS. The person with MS had experience with chronic symptoms and multiple disease-modifying treatments. As the team members were also involved in the preceding observational studyexcept for the dance therapist -, the team was experienced in providing CDT [9]. Before starting the first CDT ofthe observational study, team members held two plenary sessions, in which the psychiatrist and psychiatric nurse informed the other members about this social cognitive theory-based approach, and during which the team became familiar with the concept, and each team members specific contribution to CDT.","4","The members respected and understood the participants individual qualities and differences, and they stimulated, defied and confronted them to explore and push their boundaries [9].","4","The members respected and understood the participants individual qualities and differences, and they stimulated, defied and confronted them to explore and push their boundaries [9].","3","quite a lot follow-ups","5","The primary study outcome was the change in control self-efficacy, assessed by the Multiple Sclerosis Self-Efficacy Scale (MSSES), at six months","5","All endpoints were analyzed according to the intention-to-treat principle","PragMS"
"1529",1529,"Khayeri, Fereydoon; Rabiei, Leili; Shamsalinia, Abbas; Masoudi, Reza","10.1016/j.ctcp.2016.09.009","Effect of Fordyce Happiness Model on depression, stress, anxiety, and fatigue in patients with multiple sclerosis.","Julian",5,"justified where limited: The inclusion criteria were being definitely diagnosed with MS and having records in the Society and the exclusion criteria having history of other psychiatric disorders including major depressive disorder (according to the medical records and the physician's examinations) or bipolar disorder (except for cognitive disorders by which MS is characterized), substance dependency, any neurological disorders, history of taking corticosteroids or the disease recurrence within the previous six months.","NA","Because the patients were not hospitalized and regularly referred to the Association,","4","single center","NA","no information on resources","4","seems to be standardized but individual needs can be placed: This training programwas conducted within eight 1- to 1.5-h sessions, two sessions a week through lecturing, group discussions, and question and answering, such that the scientific materials were offered within the first half-time of each session and, after a rest, the group discussions and questioning and answering were run about the drills ofthe subject ofinterest in the second half-time.","NA","NA","5","before, after, theer months fu","NA","some outcomes none identified as primary ","NA","No flowchart, no dropouts mentioned.","PragMS"
"680",680,"Kiropoulos, Litza A; Kilpatrick, Trevor; Holmes, Alex; Threader, Jennifer","10.1186/s12888-016-1152-7","A pilot randomized controlled trial of a tailored cognitive behavioural therapy based intervention for depressive symptoms in those newly diagnosed with multiple sclerosis.","Julian",4,"Inclusion criteria were: 1) having a definite diagnosis of MS from a neurologist; 2) being within 5 years of receiving a diagnosis of MS; 3) scoring at least 10 on the Beck Depression Inventory-II (BDI-II) [26]; 4) not currently undertaking other psychological treatment for depressive or anxiety symptoms for the length of participation in the current trial; 5) speak English fluently; 6) no current or lifetime diagnosis of psychosis; 7) no current substance dependency; 8) no gross cognitive impairment; and 9) no changes to medications prior and during involvement in the trial.
Monitoring of treatment fidelity (treatment implementation) was not done by an independent rater and no audio recordings of therapy sessions were undertaken which did not allow for therapist competency ratings. Also there were only two clinical psychologists who undertook all assessments and provided the intervention.","3","The study took place at a large teaching and research hospital in Melbourne, Australia. Participants were recruited through neurologists working in a large MS outpatient clinic at the hospital, advertisements on MS related websites and local press releases","4","Participants were given homework to complete for each of the 8 sessions. All sessions (apart from the first session which was 1.5 h) were 1 h in duration and took place in a clinic room at the hospital. A senior clinical psychologist and a provisional clinical psychologist (supervised by the clinical psychologist) provided the intervention.","4","Participants were given homework to complete for each of the 8 sessions. All sessions (apart from the first session which was 1.5 h) were 1 h in duration and took place in a clinic room at the hospital. A senior clinical psychologist and a provisional clinical psychologist (supervised by the clinical psychologist) provided the intervention.","5","For the intervention, a therapy manual was developed by the first author, which included tailored modules and skills for MS patients. Relevant and targeted treatments have been found to be more effective and preferred over generic CBT interventions among individuals with MS","4","Monitoring of treatment fidelity (treatment implementation) was not done by an independent rater and no audio recordings of therapy sessions were undertaken which did not allow for therapist competency ratings. Also there were only two clinical psychologists who undertook all assessments and provided the intervention.

An 18-item questionnaire was designed by the first author to assess participants satisfaction with the CBT intervention. The questionnaire asked about: the number of sessions completed and whether these met their needs and expectations, the timing and content of sessions, perceived benefits of the skills taught in the intervention including the management of depressive and anxiety symptoms, identifying unhealthy thinking styles, pleasant activity scheduling, mood and anxiety monitoring, challenging negative thoughts, controlled breathing and relaxation exercises, fatigue management, sleep hygiene, problem solving skills and relapse prevention. Participants were also asked whether they would recommend this intervention to a close friend in the same situation.

There was a pilot trial: Additionally, the pilot trial aimed to assess the adherence and acceptability among participants (tertiary outcomes) of the tailored CBT program for individuals with MS.","4","No detailed information about the location outcomes were assessed (follow-up; assuming clinic, see setting): Also there were only two clinical psychologists who undertook all assessments and provided the intervention.","5","The primary outcome was level of depressive symptoms at post and 3 month follow up which was measured with the Beck Depression Inventory-II (BDI-II","5","All statistical analyses included a sample of 30 participants at pre, post and 20 weeks follow up and were undertaken controlling for gender and ambulation status.","PragMS"
"1771",1771,"Langeskov-Christensen, M.; Hvid, L. G.; Jensen, H. B.; Nielsen, H. H.; Petersen, T.; Stenager, E.; Hamalainen, P.; Dalgas, U.","10.1177/1352458520973619","Efficacy of high-intensity aerobic exercise on cognitive performance in people with multiple sclerosis: A randomized controlled trial","Julian",5,"justified: Inclusion criteria were 18-65 years, a definite MS diagnosis according to the McDonald criteria, Expanded Disability status Scale (EDSS) score ?6.0, and ability to transport oneself back and forth from the test and training facility. Exclusion criteria were dementia (ICD10 diagnosis or dementia
symptoms in hospital journals), comorbidities preventing participation (e.g., cardiovascular disease
or metabolic diseases), pregnancy, alcohol abuse, pacemaker, relapse within 8 weeks before inclusion,
or participation in systematic aerobic training (i.e., moderate to high intensity training more than
twice per week) prior to inclusion. (langeskov2018)","NA","NA","4","two specialiced centers","5","seems not much more resources","4","strict programme: Supervised PAE sessions were conducted twice weekly during the 24 weeks, with one continuous and one interval exercise session performed each week. In brief, the session volume increased from 30 to 60 minutes during the intervention while the intensity increased from 65% to 95% of individual maximum heart rate (HRmax).","3","adherence measured: Exercise adherence was high with 44.8 ± 2.6 completed sessions, corresponding to 93.3 ± 5.4% of the planned sessions. Twelve pwMS were unable to adhere with the prescribed intensity of 90%95% of HRmax during the last 8 weeks of the intervention (mean intensity for the 12 subjects = 87.8% of HRmax).","3","downgraded because of lots of assessments","NA","NA","5","ITT","PragMS"
"681",681,"Learmonth, Y C; Paul, L; Miller, L; Mattison, P; McFadyen, A K","10.1177/0269215511423946","The effects of a 12-week leisure centre-based, group exercise intervention for people moderately affected with multiple sclerosis: a randomized controlled pilot study.","Julian",4,"Subjects had a confirmed
diagnosis of MS, an Extended Disability Status Scale (EDSS)34 score of 5 (ambulatory
without aid or rest for about 200 metres) to 6.5 (constant bilateral assistance required to walk
about 20m without resting), stable rehabilitation and drug therapy for 30 days before entry
into the study, cognitive scores of over 24 on the Mini Mental State Examination (MMSE)35
and access to the intervention sites using their own or public transport. Potential subjects
were excluded if they had experienced exacerbation of their MS symptoms three months
prior to the study, or had any medical condition which may preclude them from taking part in
the exercise intervention. E","3","People were recruited from the Managed
Clinical Network (MCN) for MS within NHS Ayrshire and Arran. 

Of the 873 patients on the MS database 159 patients were deemed suitable for the study and
were sent invitation letters and participant information sheets. ","5","Two community leisure centres.

The present study was undertaken in two community leisure settings; the classes were led by
local authority employed exercise instructors, with a physiotherapist providing assistance.
This is one of the first studies to utilise this format and, as there is a trend toward longer term
rehabilitation and symptom management in the community throughout the UK32,33,

","4","The present study was undertaken in two community leisure settings; the classes were led by
local authority employed exercise instructors, with a physiotherapist providing assistance.

The intervention group received twelve weeks of twice weekly, 60 minute
group exercise sessions, which included mobility, balance and resistance exercises. The
control group received usual care.

Subjects assigned to the intervention group attended a leisure centre based exercise class,
twice weekly for twelve weeks, led by a physiotherapist and a fitness instructor. The same
physiotherapist was present at both sites. The group session involved a 10 minute warm-up of
aerobic and stretching components, 30-40 minutes of circuit exercises (Appendix 1),
designed to train aerobic endurance, resistance and balance, and a 5-10 minute cool down,
involving aerobic work, stretching and relaxation50. Subjects completed a circuit of 8-12
different exercises for one minute each, having a rest before moving to the next exercise. Not
all exercises were performed at all classes, and in week nine a fifth level of difficulty was
added to some of the exercises to encourage progress Instruction cards, with photographs,
demonstrating the four different levels of skill/difficulty were used at both sites. Subjects
were provided with exercise progress cards and they were asked to record which level they
performed each exercise at each session. Attendance of subjects as each class was recorded.

Subjects assigned to the control group were advised to continue their usual routine, seeking
any healthcare as required. They were asked to avoid beginning any new exercise regime for
the twelve weeks of the study.

The intervention took place at two different geographical locations (Site A & Site B). From
those living near Site A a list of potential participants (n=16) was created and to maximise
class occupancy, ten potential participants were to be allocated to Site A?s intervention group.
A computer programme (Microsoft Excel 2003) was set-up to randomly assign the ten places
against ten of the 16 subjects, leaving six subjects in the control group. A similar system was
used for Site B, (which had a class capacity of 12), for which a list of potential participants
(n=20) was created.","2","Subjects assigned to the control group were advised to continue their usual routine, seeking
any healthcare as required. They were asked to avoid beginning any new exercise regime for
the twelve weeks of the study.","NA","NA","4","Outcome measures were carried out within the local hospital?s rehabilitation unit. They were
taken at baseline, after eight and twelve weeks of the intervention period (i.e. either the
exercise class or usual care). One assessor, an experienced physiotherapist, blinded to group
allocation, carried out all physical assessments.","NA","NA","NA","NA","PragMS"
"682",682,"Mayo, Nancy E; Mate, Kedar Kv; Reid, Ryan; Duquette, Pierre; Lapierre, Yves; Barclay, Ruth; Bayley, Mark; Bartlett, Susan; Andersen, Ross","10.1177/0269215520923089","Participation in and outcomes from a 12-month tailored exercise programme for people with multiple sclerosis (MSTEP©): a randomized trial.","Julian",4,"downgraded because a lot of eligibility criteria: The target population was community dwelling individuals aged 19 to 65 who have been diagnosed after 1994 with multiple sclerosis. Specific inclusion criteria were (1) ambulatory (can walk 100?m, be capable of walking 100?metres without a walking aid corresponding to a classification of??5.5 on the Expanded Disability Status Scale (EDSS),10 even if they do use an aid for daily activities; and (2) self-reported to be sedentary or irregularly active at time of study entry (i.e. do not exercise 30?minutes or more twice per week of moderate to vigorous activity). This latter criterion was subsequently confirmed using activity monitoring for 7?days post-enrolment.
Excluded were people who were (1) unable to speak and read English or French; (2) unable to respond to simple questions on orientation and memory; (3) have an additional illness that restricts their function; and/or (4) experienced a relapse during the past 30?days as this may affect physical activity/exercise participation. Potential participants were identified multiple sclerosis clinics in Montreal, Toronto, Winnipeg.","4","downgraded because of posting efforts to recruit: People were recruited from four multiple sclerosis clinics in three Canadian cities and from posting on media sites. During the clinic visit, the treating neurologist introduced the study to their patients and referred them to the research assistant who further explained the study and assessed eligibility. Those contacting the research team directly were assessed for eligibility over the phone and sent information on the study electronically. For those eligible, a visit was scheduled to explain study procedures, obtain consent, and carry out the assessment.","5","community setting at home","5","Participants in both groups received two private training sessions with the physical therapist or exercise therapist.

See training plans in supplementary material, no additional resources other than intervention-related required.","5","MSTEP©, a personally adapted exercise regimen done on most days including two days of high intensity exercise; guidelines recommending 30?minutes of moderate intensity aerobic and strength training two times per week.","3","downgraded because of call to remain retention: All participants were contacted every two weeks during the first two months, then monthly thereafter by the exercise instructor by telephone or email for follow-up by the instructor. The purpose of follow-up contacts is to provide an opportunity to ask any questions they have and also to facilitate long-term retention in the study.","4","downgraded because of a lot of assessments","1","surrogate outcome: Primary outcome was peak oxygen consumption (VO2peak) at 12?months","1","included only completers, >50 dropout","PragMS"
