"pragmeta_trial_id";"Author";"DOI";"Title";"Rater";"Eligibility";"Quote_comment_Eligibility";"Recruitment";"Quote_comment_Recruitment";"Setting";"Quote_comment_Setting";"Organisation";"Quote_comment_Organisation";"Flexibility_del";"Quote_comment_Flexibility_del";"Flexibility_adh";"Quote_comment_Flexibility_adh";"FU";"Quote_comment_FU";"Primary_out";"Quote_comment_Prim_out";"Primary_anal";"Quote_comment_Primary_anal";"module"
673;"Garrett, M; Hogan, N; Larkin, A; Saunders, J; Jakeman, P; Coote, S";"10.1177/1352458512461966";"Exercise in the community for people with minimal gait impairment due to MS: an assessor-blind randomized controlled trial.";"Perrine";4;"eligibility criteria make sense with the intervention, downgrade one becaus exclude patients under steroids. Not sure why";5;"referral made through the patients usual care ";5;"10 regions of Ireland";NA;"unclear how instructors are selected";"?";"to be discussed. Here one arm the physiotherapist is highly standardized with no flexibility ""Treatment fidelity was optimised by the instructors"" and unclear if mimics usual care or not. While fitness and yoga program are left at the discretion of the instructor";NA;"to be discussed adherence measured for all (?) but only physiotherapy ensure they adhere?";5;"assessed during training session so no additional visits";5;"Multiple Sclerosis Impact Scale- 29, version 2 (MSIS-29v2), a patient-reported outcome measure that assesses the physical impact of MS.";2;"complete cases and over 20% missing data without imputation method";"PragMS"
674;"Giovannoni, Gavin; Cohen, Jeffrey A; Coles, Alasdair J; Hartung, Hans-Peter; Havrdova, Eva; Selmaj, Krzysztof W; Margolin, David H; Lake, Stephen L; Kaup, Susan M; Panzara, Michael A; Compston, D Alastair S; CARE-MS II Investigators";"10.1212/WNL.0000000000003319";"Alemtuzumab improves preexisting disability in active relapsing-remitting MS patients.";"Julian";3;"Taken from reference 12: https://doi.org/10.1016/S0140-6736(12)61768-1

Eligible patients were aged
1855 years, with the following clinical charac teristics:
relapsing-remitting multiple sclerosis fulfi lling the 2005
McDonald diagnostic criteria;14 disease dura tion of
10 years or less; at least two attacks in the previous
2 years with at least one in the previous year; at least one
relapse while on interferon beta or glatiramer after at
least 6 months of treatment; expanded disability status
scale (EDSS)15 scores of 5·0 or less; and cranial and";4;"Taken from reference 12: https://doi.org/10.1016/S0140-6736(12)61768-1

we
enrolled patients from 194 academic medical centres
and clinical practices in 23 countries between";3;"No detailed information; assuming participants received subcutaneous medication in the trial sites (see ref 12)";3;NA;"3";NA;2;"Participants were excluded due to non-compliance, see figure 1 in ref 12.";NA;"";5;"The following CARE-MS II tertiary endpoints were assessed: time to CDI ($1.0-point EDSS decrease from baseline sustained for $3or $6 months, in patients with baseline score $2.0)";NA;"";"PragMS"
674;"Giovannoni, Gavin; Cohen, Jeffrey A; Coles, Alasdair J; Hartung, Hans-Peter; Havrdova, Eva; Selmaj, Krzysztof W; Margolin, David H; Lake, Stephen L; Kaup, Susan M; Panzara, Michael A; Compston, D Alastair S; CARE-MS II Investigators";"10.1212/WNL.0000000000003319";"Alemtuzumab improves preexisting disability in active relapsing-remitting MS patients.";"Kinga";3;"""Methods have been published elsewhere."" Eligible patients were aged 1855 years, with the following clinical characteristics: relapsing-remitting multiple sclerosis fulfilling the 2005 McDonald diagnostic criteria;14 disease duration of 10 years or less; at least two attacks in the previous 2 years with at least one in the previous year; at least one relapse while on interferon beta or glatiramer after at least 6 months of treatment; expanded disability status scale (EDSS)15 scores of 5·0 or less; and cranial and spinal MRI lesions fulfilling protocol-defined criteria. Exclusion criteria included progressive forms of multiple sclerosis, previous cytotoxic drug use or investigational therapy, treatment within the previous 6 months with natalizumab, methotrexate, azathioprine or ciclosporin, and a history of clinically significant autoimmunity other than multiple sclerosis.";NA;"";5;"""Methods have been published elsewhere."", 194 academic medical centres and clinical practices in 23 countries";NA;"";"1";"""12 mg/day on 5 consecutive days at month 0 and on 3 consecutive days at month 12) vs SC IFN-b-1a (Rebif; EMD Serono,Rockland, MA; 44 mg 3 times weekly"" administered intravenously no felxibility ";NA;"""Alemtuzumab was infused intravenously on 5 consecutive days at month 0 and 3 consecutive days at month 12"", ""Interferon beta 1a (44 ?g) was administered subcutaneously 3 times per week after dose titration."", administered intravenously - no adherence ";2;""" Blinded raters performed EDSS assessments at baseline, every 3 months, and when relapse was suspected."", ""Raters administered the MSFC16 3 times before baseline to attenuate practice effects, then every 6 months"", EDSS assesst ""when relapse was suspected"" (unscheduled visit?), long list of collected data collected ";3;""" time to CDI ($1.0-point EDSS decrease from baseline sustained for $3 or $6 months, in patients with baseline score $2.0); proportion worsened ($0.5-point increase), stable, or improved ($0.5-point decrease) from baseline EDSS; mean change from baseline in MSFC and MSFC plus SLCLA scores and their components; and proportions worsened ($0.5 SD decrease), stable, or improved ($0.5 SD increase) from baseline MSFC scores."", Primary outcome was relevant to the provider delivering the intervention and it could be measured in usual care";NA;"drop-out 15%, ";"PragMS"
675;"Grossman, P; Kappos, L; Gensicke, H; D'Souza, M; Mohr, D C; Penner, I K; Steiner, C";"10.1212/WNL.0b013e3181f4d80d";"MS quality of life, depression, and fatigue improve after mindfulness training: a randomized trial.";"Julian";4;"downgraded because of excluded pregnant women";4;"downgraded because they used advertisements";NA;"";5;"In all, 6 MBI courses for the experimental arm of the study were individually conducted by 2 experienced, certified teachers, each with #9 years teaching experience.";"";"";5;"adherence measured but not on a regular base: MBI participants also completed a postintervention questionnaire regarding adherence to type, frequency, and duration of homework exercises performed during the previous 4 weeks.

Attrition was low in the intervention group (5%) and attendance rate high (92%).";5;"no reason tzo downgrade";5;"Primary outcomes of HRQOL, depression, and fatigue were validated PRO measures";5;"Primary outcomes of HRQOL, depression, and fatigue were validated PRO measures
Intention-to-treat analyses are reported. Data ofmissing study patients were imputed by linear multiple regression that adjusted for age, gender, and disease progression (entry EDSS score; STATISTICA 6.0).";"PragMS"
675;"Grossman, P; Kappos, L; Gensicke, H; D'Souza, M; Mohr, D C; Penner, I K; Steiner, C";"10.1212/WNL.0b013e3181f4d80d";"MS quality of life, depression, and fatigue improve after mindfulness training: a randomized trial.";"Vy";5;"usual exclusion criteria, nothing too extreme";5;"""information via the outpatient neuro
clinic of the University Hospital Basel, other physicians, or advertisements posted in the Swiss Multiple Scleros
Society Bulletin""";NA;"no mention of where the study was conducted or how many centers were included";5;"no extra staff needed; only experienced certified teachers with +9 years of experience";"";"no mention of such info";NA;"no mention of such info";5;"""preintervention, postintervention, and 6-month follow-up""";5;"outcome: patient-related outcomes";5;"ITT was applied";"PragMS"
677;"Hermens, Hermie; Huijgen, Barbara; Giacomozzi, Claudia; Ilsbroukx, Stephan; Macellari, Velio; Prats, Elisabet; Rogante, Marco; Schifini, Maria Francesca; Spitali, Maria Cristina; Tasies, Sonia; Zampolini, Mauro; Vollenbroek-Hutten, Miriam";"";"Clinical assessment of the HELLODOC tele-rehabilitation service.";"Julian";2;"The
subjects were eligible for recruiting if they met the following criteria: (1) age > 18 years; (2) established diagnosis of the specific pathological condition MS, stroke
or TBI; (3) nine hole peg test (NHPG) performed in
more than 25 seconds; (4) ability to move at least one
peg in 180 seconds during the NHPG; (5) sufficient
autonomous functioning; (6) internet connection or
telephone line and reachable internet provider; (7) clinical status stable; (8) discharged from hospital or rehabilitation setting  person lives at home. Exclusions
were: A) disturbed upper limb function not related to
MS, TBI or stroke; B) serious cognitive and/or behavioral problems; C) serious emotional problems; D)
major visual problems; (E) communication problems;
F) medical complications; G) other problems possibly
contra-indicating autonomous exercise at home. 

Intervention details: The intervention group underwent one month of
usual care, followed by approximately 4 training
sessions with the H-CAD system in the hospital.
The actual intervention with the H-CAD system
at home consisted of one month, whereby the patients had an average of one training session a day
lasting 30 minutes for at least 5 days a week. The
following exercises are part of the H-CAD system:
key, light bulb, book, jar, writing, checkers and keyboard tasks. This set of exercises summarizes the
movements for a correct functional activity of the
upper limb of the patient for reaching, grasping,
lateral pinch, pinch grip, holding, manipulation and
finger dexterity. The patient and the therapist had a
weekly scheduled videoconference. After the month
of exercising with the H-CAD system, the subjects
continued their usual care at home.";5;"Patients were recruited from Unità Organica di
Riabilitazione Intensiva Neuromotoria (UORIN,
Italy), Foundation Institute Guttmann (FPING,
Spain) and from National Multiple Sclerosis Centre
(NMSC, Belgium).";4;"specialised centers ";5;"";"";"";NA;"";4;"downgraded because of intensive assessments";5;"";NA;"";"PragMS"
677;"Hermens, Hermie; Huijgen, Barbara; Giacomozzi, Claudia; Ilsbroukx, Stephan; Macellari, Velio; Prats, Elisabet; Rogante, Marco; Schifini, Maria Francesca; Spitali, Maria Cristina; Tasies, Sonia; Zampolini, Mauro; Vollenbroek-Hutten, Miriam";"";"Clinical assessment of the HELLODOC tele-rehabilitation service.";"Kinga";5;" > 18 years; established diagnosis of the specific pathological condition MS, stroke or TBI, nine hole peg test (NHPG) performed in more than 25 seconds; ability to move at least one peg in 180 seconds during the NHPG; sufficient autonomous functioning; internet connection or telephone line and reachable internet provider; (7) clinical status stable; (8) discharged from hospital or rehabilitation setting  person lives at home. Exclusions were: A) disturbed upper limb function not related to MS, TBI or stroke; B) serious cognitive and/or behavioral problems; C) serious emotional problems; D) major visual problems; (E) communication problems; F) medical complications; G) other problems possibly contra-indicating autonomous exercise at home";NA;"""The physicians of the three rehabilitation centres included patients following the inclusion and exclu sion criteria"" they did not specify how they recruited participants ";3;"""Unità Organica di Riabilitazione Intensiva Neuromotoria (UORIN, Italy), Foundation Institute Guttmann (FPING, Spain) and from National Multiple Sclerosis Centre (NMSC, Belgium).""  3 specialist centers, ";5;"""The intervention group underwent one month of usual care, followed by approximately 4 training sessions with the H-CAD system in the hospital. "", "" the pa tients had an average of one training session a day lasting 30 minutes for at least 5 days a week."", "" The patient and the therapist had a weekly scheduled videoconference. After the month of exercising with the H-CAD system, the subjects continued their usual care at home."" additional trainig as a part of intervention ";"";"";NA;"";4;"3 follow-ups, ""The outcome measures on functioning level were: the Action Research Arm Test (ARA), Wolf Motor Function Test (WMFT), the Barthel Index (BI) and the Abilhand questionnaire. The disability outcome measure was: the Nine Hole Peg Test (NHPT) and the health outcome measure was the MOS 36-item short-form health survey (SF-36). """;5;"""performance of the affected arm on functioning as well on disability level"" ";NA;"drop out 19%";"PragMS"
678;"Higginson, Irene J; McCrone, Paul; Hart, Sam R; Burman, Rachel; Silber, Eli; Edmonds, Polly M";"10.1016/j.jpainsymman.2009.07.002";"Is short-term palliative care cost-effective in multiple sclerosis? A randomized phase II trial.";"Julian";3;"downgraded because needs assessment for pc is not clear and some qualified criteria: Inclusion criteria were patients in South East London, living with MS and deemed (by clinicians) to have one or more ofunresolved symptoms, psychosocial concerns, end-of-life issues, progressive illness, or complex needs (i.e., palliative care needs).
...
Exclusion criteria included if the referring staff or the screening deemed patients had very urgent needs or were deteriorating rapidlywhenimmediate referral to the service was offered";NA;"No detailed information: Patients in South East London who were severely affected by MS were referred by clinicians to the trial

Referrals were screened by a consultant in palliative medicine who was independent from delivering the service (P. M. E./I. J. H)";4;"multi-centered but no information on how much centers, only one region in GB";5;"Not downgraded because of additional resources needed, part of the study: This comprised one part-time consultant in palliative medicine, one part-time clinical nurse specialist, one administrator, and one psychosocial worker, and was based in a large teaching hospital. Patients were visited in their own homes or sometimes outpatient clinics, nursing homes, or hospital. The PCT undertook assessments, suggested ways to improve physical, emotional, social, and other problems, provided specialist welfare benefits advice and bereavement support, and liaised with and acted as a catalyst for local services, both primary and specialist teams. After initial assessment, treatment was recommended.18,20 Care was provided in a similar way to palliative care consultation services described elsewhere,9,11 although the PCT worked in both hospital and the community, and so could visit patients wherever they were.";"5";"assuming intervention indiv. by nature, plus: Patients were visited in their own homes or sometimes outpatient clinics, nursing homes, or hospital.";5;"no other than process outcomes (resource use and costs)";4;"downgraded because of intensive assessments, personal interviews: We conducted face-to-face interviews with patients and gave self-complete questionnaires to caregivers. At baseline, we collected demographic and clinical data, and the patients functional status (both self-report, using the United Kingdom Neurological Disability Scale [UNDS]22 and interviewer-assessed using the Expanded Disability Status Scale [EDSS],23 administered by a consultant neurologist [E. S.]). We collected outcome and cost data at baseline (before randomization) and at 6, 12, 18 (only control groupdafter they received PCT), and 24 weeks.";NA;"";4;"ITT and <25% attrition with information on stat. Methods to adress the missings: We planned an intention-to-treat analysis, irrespective of whether patients were assessed as having palliative care needs or the nature of contact with the PCT. We tested the differences between the two arms (expressed as differences between follow-up and baseline interviews) using one-way analysis of variance (ANOVA), checking statistical assumptions and adjusting for baseline scores. Our primary point of analysis was at 12 weeks (before the control group received the PCT). We separately explored missing data20 and tested imputations (last value carried forward, next value carried backward, and mean value) in a sensitivity analysis.";"PragMS"
678;"Higginson, Irene J; McCrone, Paul; Hart, Sam R; Burman, Rachel; Silber, Eli; Edmonds, Polly M";"10.1016/j.jpainsymman.2009.07.002";"Is short-term palliative care cost-effective in multiple sclerosis? A randomized phase II trial.";"Perrine";5;"eligibility criteria make sense with the intervention and clincial objective";5;"made through referrals";5;"Patients were visited in their own homes or sometimes outpatient clinics, nursing homes, or hospital. Seems like they adapted to what was best for the patient";4;"many intermediates hence the downgrade as unclear if part of intervention or for research purpose only";"";"";NA;"";3;"4 interviews in total , unclear if addtional visits or done at the same time as the delivery of the intervention";5;"Palliative Care Outcome Scale (POS-
8";4;"more than 10% and no imputation methofd";"PragMS"
1770;"Hoogstraten, M. C.; Minderhoud, J. M.";"10.1111/j.1600-0404.1990.tb01590.x";"";"Julian";5;"Justified criteria";NA;"";5;"multicentered: Three neurological departments in the Netherlands (University Hospital Groningen, Streekziekenhuis Almelo, Diaconessenhuis Meppel) participated in this study.";5;"";"";"";NA;"";4;"downgraded because iof frequent and intensive assessments: Follow-up was performed in the 6th and 12th week of treatment and 6, 9, and 12 months after the start of treatment. Assessment included: EDSS, FS, AI, ISS, in the 6th and 12th week an overall impres- sion by both the patient and the neurologist in a
7-point scale (from much worse via unchanged to much better), and on a 3-point scale (worse, un- changed, better) in the 6th, 9th and 12th month.";NA;"";NA;"";"PragMS"
1770;"Hoogstraten, M. C.; Minderhoud, J. M.";"10.1111/j.1600-0404.1990.tb01590.x";"";"Jacopo";5;"Only patients with a clinical or laboraton- supported definite diagnosis of MS according to the
Poser criteria (6), suffering from a relapse, were
included. () Patients with contraindications to bed rest or ACTH-treatment, such as hypersensitivity to ACTH, acute infections, cardial insufficiency, psychosis, pregnancy, Cushing syndrome or peptic ulcer, were excluded.";NA;"";4;"Three neurological departments in the Netherlands
(University Hospital Groningen, Streekziekenhuis
Almelo, Diaconessenhuis Meppel) participated in
this study.";4;"Patients were allocated in a stratified randomisation
to treatment with either bed rest during 3 weeks and
a synthetic ACTH depotpreparation (1 mg,
100 units, tapered over 12 weeks), and Vitamin
B-complex or bed rest and Vitamin B-complex intramuscular
injections in the same scheme ";"";"";NA;"";5;"Follow-up was performed in the 6th and 12th
week of treatment and 6, 9, and 12 months after the
start of treatment. Assessment included: EDSS, FS,
AI, ISS, in the 6th and 12th week an overall impression
by both the patient and the neurologist 7-point scale (from much worse via unchanged to
much better), and on a 3-point scale (worse, unchanged,
better) in the 6th, 9th and 12th month";NA;"";5;"";"PragMS"
1528;"Humphreys, Ioan; Drummond, Avril E. R.; Phillips, Ceri; Lincoln, Nadina B.";"10.1177/0269215513488608";"Cost-effectiveness of an adjustment group for people with multiple sclerosis and low mood: a randomized trial";"Julian";3;"downgraded because of exclusion criteria: Patients were excluded at this visit if they had had a diagnosis ofMS for less than 12 months, were unable to speak and understand conversational English, were unable to attend group sessions if offered group treatment or were engaged in other psychological research.

Some Criteria justified:
in summary, participants were included who scored >2 on the General Health Questionnaire 12,7 a measure of psychological distress, or >7 on the anxiety and depression subscales

From parental trial report: Patients with a confirmed diagnosis of MS were identifiedfroma register ofpatients attending clinics for people with MS at Nottingham University Hospitals NHS Trust. They were contacted by letter and invited to take part in a study on MS and mood. In addition, referrals were invited from specialist MS nurses and advertisements placed in MS Society publications inviting those interested in being involved to contact the researchers. Potential participants were sent a screening pack containing information about the study and two mood measures to complete and return by post. These were the General Health Questionnaire 12 (GHQ-12),14 a measure of psychological distress, and the Hospital Anxiety and Depression Scale (HADS),15 a measure of anxiety (HADA) and depression (HADD). Patients were eligible for inclusion if they scored three or more on the GHQ-12 or eight or more on the HADA or HADD sub-scales.";3;"Downgraded because of additional recr. Efforts: Patients with a confirmed diagnosis of MS were identifiedfroma register ofpatients attending clinics for people with MS at Nottingham University Hospitals NHS Trust. They were contacted by letter and invited to take part in a study on MS and mood. In addition, referrals were invited from specialist MS nurses and advertisements placed in MS Society publications inviting those interested in being involved to contact the researchers.";4;"single center";4;"part of the intevrention: Those allocated to intervention were invited to attend a psychological adjustment group for six sessions over 12 weeks. The groups were delivered by two Band 5 assistant psychologists, who were supervised by a Band 8a clinical psychologist, experienced in working with people with multiple sclerosis.";"";"Lacks details: the treatment manual was used to ensure consistency in the delivery of the sessions.";NA;"";4;"Down graded because of reminders: If participants failed to return outcome questionnaires they were telephoned once to remind them. If questionnaire items were missed a researcher telephoned to complete the missing items over the phone.";5;"primary outcome measure, the GHQ-12.";5;" ITT and <10% attrition";"PragMS"
1528;"Humphreys, Ioan; Drummond, Avril E. R.; Phillips, Ceri; Lincoln, Nadina B.";"10.1177/0269215513488608";"Cost-effectiveness of an adjustment group for people with multiple sclerosis and low mood: a randomized trial";"Vy";3;"eligibility: confirmed diagnosis, ""if they scored three or more on the GHQ-12 or eight or more on the HADA or HADD sub-scales."" Not eligible if ""had a diagnosis of MS for less than 12 months"" <- why is having less than 12 months be an exclusion criterion?";3;"although participants were ID'ed through a registry, ""referrals were invited from specialist MS nurses and advertisements placed in MS Society publications."" Extra effort on recruitment process, ""Recruitment continued until eight participants had completed the baseline assessments and were all able to attend group treatment at the same location"" or ""who could attend groups on the same day."" a lot of effort put in for recruitment";5;"group treatment offered ""at the same location""";4;"""The groups were delivered by a research psychologist under the supervision of a clinical psychologist, who was experienced in working with people with MS""; downgrade because the intervention was delivered by a research psychologist ";"4";"""Treatment comprised the group programme developed by Forman and Lincoln. The treatment manual was used to ensure consistency in the delivery of the sessions."" downgrade for using the treatment manual, indicating specified direction was given on how to deliver the intervention";4;"downgrade due to these reasons, ""If participants failed to return outcome questionnaires they were telephoned once to remind them. If questionnaire items were missed a researcher telephoned to complete the missing items over the phone.""";5;"2 follow-ups and spaced 4 months apart";NA;"primary outcome: General Health Questionnaire 12 (GHQ-12) 4 months' follow-up, a measure of psychological distress; I acknowledge that it is relevant to participants but how much is the question; there isn't much info on the questionnaire. ";NA;"""The primary analysis was the cost effectiveness of an adjustment group, as compared with a usual care control group for people with multiple sclerosis 
who had low mood.""";"PragMS"
679;"Jongen, Peter Joseph; van Mastrigt, Ghislaine A; Heerings, Marco; Visser, Leo H; Ruimschotel, Rob P; Hussaarts, Astrid; Duyverman, Lotte; Valkenburg-Vissers, Joyce; Cornelissen, Job; Bos, Michel; van Droffelaar, Maarten; Donders, Rogier";"10.1371/journal.pone.0223482";"Effect of an intensive 3-day social cognitive treatment (can do treatment) on control self-efficacy in patients with relapsing remitting multiple sclerosis and low disability: A single-centre randomized controlled trial.";"Julian";4;"The study population was low-disability RRMS patients with or without support partner. Eligibility criteria for patients: diagnosis RRMS since at least one year, EDSS score 4.0, no symptoms suggestive ofa relapse, no relapse in the preceding four weeks, willing and capable ofparticipating in the investigations, and having access to the internet for performing the web-based assessments. Eligibility criteria for support partners: willing and capable ofpartici-
pating in the investigations, and having access to the internet.

The criterion ofEDSS 4.0 was checked by assessing whether the patient was self-sufficient and able to walk 500 meters without aid or rest [11]. In addition, to assess the degree of disability, the EDSS score was further quantified on-site by an experienced neurologist, prior to the start ofCDT, in patients randomized to the intervention; and in those control patients who chose to receive CDT after study completion.";4;"Participants were recruited from all over the Netherlands by the patient organisation NMSF, Rotterdam, the Netherlands. Interested patients were contacted by a registered nurse experienced in MS (MH) by phone to check diagnosis and eligibility criteria.";5;"CDT was given during three consecutive days in Zorghotel Spelderholt, Beekbergen, the Netherlands, a facility especially equipped for the accommodation ofpeople with impaired health. The number ofsessions, their schedule, and their duration are presented in the Appendix (s";4;"Multidisciplinary team. The multidisciplinary team included a psychiatrist, psychiatric nurse, neurologist, registered nurse specialized in MS, physiotherapist, dance therapist, and a person with MS [9]. All professional team members were formally trained in their respective disciplines and all members were experienced in the field ofMS. The person with MS had experience with chronic symptoms and multiple disease-modifying treatments. As the team members were also involved in the preceding observational studyexcept for the dance therapist -, the team was experienced in providing CDT [9]. Before starting the first CDT ofthe observational study, team members held two plenary sessions, in which the psychiatrist and psychiatric nurse informed the other members about this social cognitive theory-based approach, and during which the team became familiar with the concept, and each team members specific contribution to CDT.";"4";"The members respected and understood the participants individual qualities and differences, and they stimulated, defied and confronted them to explore and push their boundaries [9].";4;"The members respected and understood the participants individual qualities and differences, and they stimulated, defied and confronted them to explore and push their boundaries [9].";3;"quite a lot follow-ups";5;"The primary study outcome was the change in control self-efficacy, assessed by the Multiple Sclerosis Self-Efficacy Scale (MSSES), at six months";5;"All endpoints were analyzed according to the intention-to-treat principle";"PragMS"
679;"Jongen, Peter Joseph; van Mastrigt, Ghislaine A; Heerings, Marco; Visser, Leo H; Ruimschotel, Rob P; Hussaarts, Astrid; Duyverman, Lotte; Valkenburg-Vissers, Joyce; Cornelissen, Job; Bos, Michel; van Droffelaar, Maarten; Donders, Rogier";"10.1371/journal.pone.0223482";"Effect of an intensive 3-day social cognitive treatment (can do treatment) on control self-efficacy in patients with relapsing remitting multiple sclerosis and low disability: A single-centre randomized controlled trial.";"Vy";4;"participants and support partner need to ""[have] access to the internet for performing the web-based assessments""";5;"""recruited from all over the Netherlands by the patient organisation NMSFinterested patients were contacted by a registered nurse experienced in MS (MH) by phone to check diagnosis and eligibility criteria""";NA;"no info on how or where participants attended the 3 day treatment";4;"""The multidisciplinary team included a psychiatrist, psychiatric nurse, neurologist, registered nurse specialized in MS, physiotherapist, dance therapist, and a
person with MS""";"";"no mention of such info";NA;"no mention of such info";4;"one, three and six months follow-up; not many follow-ups; ""For patients the completion of the questionnaires took about 45 minutes and for partners about five minutes per time point."" assessment is quite long for each follow-up";5;"self-efficacy";3;"""full analysis set (intention-to-treat population)"" however attrition is 20% and 28% and no mention of how to handle missing data";"PragMS"
1529;"Khayeri, Fereydoon; Rabiei, Leili; Shamsalinia, Abbas; Masoudi, Reza";"10.1016/j.ctcp.2016.09.009";"Effect of Fordyce Happiness Model on depression, stress, anxiety, and fatigue in patients with multiple sclerosis.";"Julian";5;"justified where limited: The inclusion criteria were being definitely diagnosed with MS and having records in the Society and the exclusion criteria having history of other psychiatric disorders including major depressive disorder (according to the medical records and the physician's examinations) or bipolar disorder (except for cognitive disorders by which MS is characterized), substance dependency, any neurological disorders, history of taking corticosteroids or the disease recurrence within the previous six months.";NA;"Because the patients were not hospitalized and regularly referred to the Association,";4;"single center";NA;"no information on resources";"4";"seems to be standardized but individual needs can be placed: This training programwas conducted within eight 1- to 1.5-h sessions, two sessions a week through lecturing, group discussions, and question and answering, such that the scientific materials were offered within the first half-time of each session and, after a rest, the group discussions and questioning and answering were run about the drills ofthe subject ofinterest in the second half-time.";NA;"";5;"before, after, theer months fu";NA;"some outcomes none identified as primary ";NA;"No flowchart, no dropouts mentioned.";"PragMS"
1529;"Khayeri, Fereydoon; Rabiei, Leili; Shamsalinia, Abbas; Masoudi, Reza";"10.1016/j.ctcp.2016.09.009";"Effect of Fordyce Happiness Model on depression, stress, anxiety, and fatigue in patients with multiple sclerosis.";"Vy";3;"inclusion criteria are open/not restrictive; ""the exclusion criteria having history of other psychiatric disorders including major depressive disorder (according to the medical records and the physician's examinations) or bipolar disorder (except for cognitive disorders by which MS is characterized), substance dependency, any neurological disorders, history of taking corticosteroids or the disease recurrence within the previous six months."" <- Wouldn't people with bipolar disorder benefit from this intervention? how about people with history of taking corticosteroids who no longer taking those? some exclusion criteria seem to help selecting healthy patients only.";5;"""The study population consists the patients referring to the Multiple Sclerosis Society of Isfahan"" <- recruiting participants right from society";NA;"unable to assess because there's no description of ""routine protocol"" to compare the intervention with; ""For the control group, a routine protocol was conducted."" What does routine protocol consist of?";NA;"no info on personnel conducting the study or training if there's any";"3";"highly specific instruction on how to deliver the intervention in terms of frequency, activities, etc.; the intervention itself is very structured and experimental, ""..., such that the scientific materials were offered within the first half-time of each session and, after a rest, the group discussions and questioning and answering were run about the drills of the subject of interest in the second half-time. At the end of each session, the participants were asked to run through certain drills empirically outside research environment."" ";5;"no mention of adherence or compliance monitoring";5;"1 follow-up 3 months after intervention";5;"patient-focus outcomes ""depression, stress, anxiety, and fatigue""";NA;"no mention of method, e.g. ITT, PP";"PragMS"
680;"Kiropoulos, Litza A; Kilpatrick, Trevor; Holmes, Alex; Threader, Jennifer";"10.1186/s12888-016-1152-7";"A pilot randomized controlled trial of a tailored cognitive behavioural therapy based intervention for depressive symptoms in those newly diagnosed with multiple sclerosis.";"Julian";4;"Inclusion criteria were: 1) having a definite diagnosis of MS from a neurologist; 2) being within 5 years of receiving a diagnosis of MS; 3) scoring at least 10 on the Beck Depression Inventory-II (BDI-II) [26]; 4) not currently undertaking other psychological treatment for depressive or anxiety symptoms for the length of participation in the current trial; 5) speak English fluently; 6) no current or lifetime diagnosis of psychosis; 7) no current substance dependency; 8) no gross cognitive impairment; and 9) no changes to medications prior and during involvement in the trial.
Monitoring of treatment fidelity (treatment implementation) was not done by an independent rater and no audio recordings of therapy sessions were undertaken which did not allow for therapist competency ratings. Also there were only two clinical psychologists who undertook all assessments and provided the intervention.";3;"The study took place at a large teaching and research hospital in Melbourne, Australia. Participants were recruited through neurologists working in a large MS outpatient clinic at the hospital, advertisements on MS related websites and local press releases";4;"Participants were given homework to complete for each of the 8 sessions. All sessions (apart from the first session which was 1.5 h) were 1 h in duration and took place in a clinic room at the hospital. A senior clinical psychologist and a provisional clinical psychologist (supervised by the clinical psychologist) provided the intervention.";4;"Participants were given homework to complete for each of the 8 sessions. All sessions (apart from the first session which was 1.5 h) were 1 h in duration and took place in a clinic room at the hospital. A senior clinical psychologist and a provisional clinical psychologist (supervised by the clinical psychologist) provided the intervention.";"5";"For the intervention, a therapy manual was developed by the first author, which included tailored modules and skills for MS patients. Relevant and targeted treatments have been found to be more effective and preferred over generic CBT interventions among individuals with MS";4;"Monitoring of treatment fidelity (treatment implementation) was not done by an independent rater and no audio recordings of therapy sessions were undertaken which did not allow for therapist competency ratings. Also there were only two clinical psychologists who undertook all assessments and provided the intervention.

An 18-item questionnaire was designed by the first author to assess participants satisfaction with the CBT intervention. The questionnaire asked about: the number of sessions completed and whether these met their needs and expectations, the timing and content of sessions, perceived benefits of the skills taught in the intervention including the management of depressive and anxiety symptoms, identifying unhealthy thinking styles, pleasant activity scheduling, mood and anxiety monitoring, challenging negative thoughts, controlled breathing and relaxation exercises, fatigue management, sleep hygiene, problem solving skills and relapse prevention. Participants were also asked whether they would recommend this intervention to a close friend in the same situation.

There was a pilot trial: Additionally, the pilot trial aimed to assess the adherence and acceptability among participants (tertiary outcomes) of the tailored CBT program for individuals with MS.";4;"No detailed information about the location outcomes were assessed (follow-up; assuming clinic, see setting): Also there were only two clinical psychologists who undertook all assessments and provided the intervention.";5;"The primary outcome was level of depressive symptoms at post and 3 month follow up which was measured with the Beck Depression Inventory-II (BDI-II";5;"All statistical analyses included a sample of 30 participants at pre, post and 20 weeks follow up and were undertaken controlling for gender and ambulation status.";"PragMS"
