"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27"
"171","1","deferred","1","1","0","1","deferred","0","1","deferred","deferred","0","deferred","deferred","deferred","deferred","1","deferred","0","deferred","deferred","deferred","deferred","deferred","deferred","1","0"
"61","1","deferred","1","1","0","1","1","deferred","deferred","0","deferred","0","0","NA","deferred","NA","1","deferred","0","deferred","NA","deferred","NA","1","1","1","1"
"62","1","deferred","1","deferred","0","1","deferred","0","1","deferred","1","0","deferred","NA","deferred","NA","deferred","1","0","deferred","NA","deferred","NA","deferred","1","1","0"
"63","1","deferred","1","1","0","1","deferred","deferred","deferred","deferred","1","0","1","NA","deferred","NA","deferred","1","0","deferred","NA","deferred","NA","1","1","1","0"
"64","1","deferred","1","1","1","1","1","0","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","1","0","1","deferred","deferred","deferred","1","1","1","1"
"65","1","deferred","1","1","0","1","1","0","1","deferred","1","deferred","1","deferred","deferred","deferred","1","1","deferred","1","deferred","deferred","deferred","1","1","1","0"
"66","1","deferred","1","deferred","0","deferred","deferred","0","0","0","1","0","deferred","NA","deferred","NA","deferred","deferred","0","1","NA","deferred","NA","1","0","1","0"
"67","1","deferred","1","deferred","0","1","1","0","deferred","0","1","0","deferred","NA","deferred","NA","deferred","1","0","deferred","NA","deferred","NA","1","deferred","1","0"
"68","1","deferred","1","1","0","1","1","1","1","1","1","1","1","deferred","deferred","deferred","1","1","1","1","deferred","deferred","deferred","1","1","1","0"
"69","deferred","deferred","1","deferred","0","1","deferred","0","1","deferred","deferred","0","deferred","NA","deferred","NA","deferred","1","deferred","deferred","NA","deferred","NA","deferred","deferred","deferred","0"
"70","1","deferred","1","1","0","1","deferred","0","1","0","deferred","0","1","deferred","deferred","deferred","0","1","0","1","deferred","deferred","deferred","deferred","deferred","1","deferred"
"71","1","deferred","1","1","0","1","deferred","deferred","1","1","1","deferred","1","deferred","deferred","NA","1","1","deferred","1","deferred","deferred","NA","1","1","1","0"
"72","1","deferred","1","1","0","1","deferred","0","1","deferred","1","deferred","deferred","deferred","deferred","NA","deferred","1","deferred","1","deferred","deferred","NA","1","deferred","1","0"
"73","1","deferred","1","1","0","1","1","0","1","deferred","deferred","0","0","NA","deferred","NA","deferred","0","0","1","NA","deferred","NA","deferred","deferred","1","0"
"75","1","deferred","1","1","0","1","deferred","0","1","1","deferred","1","deferred","NA","deferred","NA","1","1","deferred","1","NA","deferred","NA","1","1","1","deferred"
"76","1","deferred","1","1","0","1","1","deferred","1","1","1","1","1","deferred","deferred","NA","1","1","1","1","deferred","deferred","NA","1","1","1","0"
"77","1","deferred","1","1","0","1","deferred","1","1","deferred","deferred","deferred","deferred","deferred","deferred","NA","1","1","0","1","deferred","deferred","NA","deferred","deferred","1","1"
"78","1","deferred","1","1","0","1","deferred","deferred","1","deferred","1","0","1","deferred","deferred","NA","1","1","0","1","deferred","deferred","NA","1","1","1","0"
"79","deferred","deferred","1","1","0","1","deferred","0","1","1","deferred","deferred","deferred","NA","deferred","NA","deferred","1","deferred","deferred","NA","deferred","NA","deferred","1","1","deferred"
"81","1","deferred","1","1","deferred","1","deferred","deferred","1","1","deferred","deferred","1","deferred","deferred","deferred","1","1","deferred","1","deferred","deferred","deferred","1","1","1","deferred"
"82","1","deferred","1","1","deferred","1","deferred","1","1","1","1","1","1","deferred","deferred","deferred","1","1","1","1","deferred","deferred","deferred","1","1","1","0"
"83","1","deferred","1","1","deferred","1","deferred","0","deferred","1","deferred","0","deferred","NA","deferred","deferred","deferred","1","0","deferred","NA","deferred","NA","1","0","1","0"
"84","1","deferred","1","1","0","1","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","NA","deferred","1","deferred","1","deferred","deferred","NA","1","1","1","deferred"
"85","1","deferred","1","1","0","deferred","1","0","1","deferred","deferred","deferred","deferred","NA","deferred","NA","deferred","1","deferred","deferred","NA","deferred","NA","1","deferred","1","0"
"86","1","deferred","1","1","0","deferred","deferred","0","deferred","0","deferred","0","deferred","NA","deferred","NA","0","1","0","deferred","NA","deferred","NA","1","deferred","1","0"
"87","deferred","deferred","1","1","deferred","deferred","1","1","1","1","deferred","1","1","deferred","deferred","deferred","1","deferred","deferred","1","deferred","deferred","deferred","1","1","1","0"
"88","1","deferred","1","1","0","1","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred","1","deferred","deferred","NA","1","1","1","0"
"89","1","deferred","1","1","0","1","deferred","0","deferred","deferred","deferred","0","deferred","NA","deferred","NA","deferred","deferred","0","0","NA","deferred","NA","0","0","deferred","0"
"90","1","deferred","1","1","0","1","deferred","0","1","1","1","deferred","1","deferred","deferred","deferred","1","1","deferred","1","deferred","deferred","NA","1","1","1","0"
"91","1","deferred","1","1","0","1","deferred","0","1","1","deferred","0","1","deferred","deferred","deferred","1","1","0","1","deferred","deferred","NA","deferred","deferred","1","0"
"92","1","deferred","1","1","0","1","deferred","0","1","0","deferred","0","0","deferred","deferred","deferred","deferred","1","0","deferred","deferred","deferred","deferred","deferred","deferred","1","0"
"93","1","deferred","1","1","deferred","1","1","deferred","1","deferred","1","deferred","1","deferred","deferred","deferred","1","1","deferred","1","deferred","deferred","deferred","deferred","deferred","1","deferred"
"94","1","0","1","deferred","0","1","0","0","1","1","deferred","0","deferred","NA","deferred","NA","1","deferred","0","deferred","NA","deferred","NA","1","deferred","1","0"
"95","1","deferred","1","1","0","deferred","0","0","deferred","0","deferred","0","deferred","deferred","deferred","NA","deferred","deferred","0","0","deferred","deferred","NA","1","deferred","1","0"
"96","1","deferred","1","1","0","deferred","0","0","deferred","0","deferred","0","deferred","NA","deferred","NA","deferred","deferred","0","deferred","NA","deferred","NA","deferred","deferred","1","deferred"
"97","1","deferred","1","1","0","0","0","0","deferred","0","0","0","0","NA","deferred","NA","0","0","0","0","NA","deferred","NA","1","1","1","0"
"98","1","deferred","1","1","deferred","1","1","deferred","1","1","deferred","deferred","1","deferred","deferred","deferred","1","1","deferred","1","deferred","deferred","deferred","1","deferred","1","1"
"99","1","deferred","1","1","deferred","deferred","deferred","deferred","1","deferred","1","deferred","deferred","NA","deferred","NA","deferred","deferred","deferred","deferred","NA","deferred","NA","1","deferred","1","0"
